,https://roic.ai/company/CYBE,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,200000,300000,100000,38400000,900000,1700000,800000,600000,3991000,1304000,678000,745000,5146000,906000,1785000,938000,227000,118000,175000,201000,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-200000,- -,-6300000,- -,-6800000,- -,- -,- -,-175000,-85000,- -,-473000,-2579000,-1901000,-20949000,- -,- -,- -,-21000,-2979000,- -,- -,- -,-240000,- -,-353000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,200000,- -,- -,- -,- -,- -,-600000,300000,-2300000,- -,- -,- -,- -,- -,- -,185000,33000,14000,49000,32000,4000,166000,90000,741000,636000,646000,601000,621000,384000,-23000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,200000,200000,300000,-100000,38400000,-5400000,1100000,-5700000,-1700000,3991000,1304000,503000,660000,5146000,433000,-609000,-930000,-20708000,167000,207000,205000,145000,-2889000,741000,636000,646000,361000,621000,31000,-23000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000,-50000,-114000,53000,-42000,-85000,94000,-101000,-11000,-98000,-35000,259000,12000,-5000,-23000,- -
97,Net Change In Cash,- -,- -,200000,200000,300000,-100000,7300000,-5300000,-2800000,-1200000,5200000,2901000,-774000,-1314000,345000,14062000,-5824000,10464000,-11192000,-14348000,-339000,4250000,5364000,-6451000,-4239000,2070000,-897000,6366000,-3696000,2304000,-3412000,2563000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,8700000,3400000,6200000,5000000,10200000,13097000,12323000,11009000,11354000,25416000,19592000,30056000,18864000,4516000,4177000,8427000,13791000,7340000,3101000,5171000,4274000,10640000,6944000,9248000,5836000,8399000,- -
99,Cash at the Beginning of Period,- -,- -,1600000,600000,400000,1800000,1400000,8700000,9000000,6200000,5000000,10196000,13097000,12323000,11009000,11354000,25416000,19592000,30056000,18864000,4516000,4177000,8427000,13791000,7340000,3101000,5171000,4274000,10640000,6944000,9248000,5836000,8399000
100,Free Cash Flow,- -,- -,200000,-500000,700000,600000,-1100000,2900000,-24500000,3200000,-13500000,7053000,242000,-6473000,2862000,11225000,629000,8412000,4261000,-2083000,-7510000,451000,8320000,-1455000,-2989000,-535000,-3186000,7690000,-3772000,2017000,676000,4219000,- -
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768411/0000897101-96-000122-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768411/000089710101500075/0000897101-01-500075-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768411/000089710105000708/0000897101-05-000708-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710106000576/0000897101-06-000576-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710107000567/0000897101-07-000567-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710108000556/0000897101-08-000556-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710109000466/0000897101-09-000466-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710110000504/0000897101-10-000504-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710111000376/0000897101-11-000376-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710112000450/0000897101-12-000450-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710113000341/0000897101-13-000341-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710114000412/0000897101-14-000412-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000076841115000003/0000768411-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000076841116000015/0000768411-16-000015-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000076841117000004/0000768411-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710118000213/0000897101-18-000213-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710119000192/0000897101-19-000192-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710120000134/0000897101-20-000134-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710121000173/0000897101-21-000173-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710122000230/0000897101-22-000230-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
