,https://roic.ai/company/IEP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,4800000,9400000,-5200000,-2659860,13936694,-21520337,-37483000,34450000,-104589000,170190000,-17813000,-147424000,-61084000,-1081138000,-600147000,-1685462000,-4227815000,2363074000,-6217000000,-2290000000,737000000,-649000000,-3755000000,-379000000,2579000000,5733000000,-9641000000,-2401000000,-1435000000,2578000000,9272000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,28200000,25000000,21900000,25469408,35430198,43981740,46013000,51011000,55803000,76438000,81755000,122256000,18464000,51367000,247353000,290188000,-2915818000,841000000,265000000,41000000,1995000000,1514000000,717000000,-390000000,714000000,1655000000,-1436000000,915000000,-1460000000,-416000000,321000000
84,CAPEX,- -,- -,- -,- -,- -,-400000,-200000,-14600000,-5667525,-19428495,-9222593,-64900000,-41956000,-28002000,-52789000,-63726000,-22984000,-20147000,-92649000,-362689000,-61338000,-82564000,-794000000,-191000000,-422000000,-481000000,-890000000,-1161000000,-1411000000,-1359000000,-826000000,-991000000,-272000000,-250000000,-199000000,-305000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27326000,- -,-18226000,- -,-218791000,-293649000,-208645000,-47651000,-68000000,- -,116000000,-142000000,-1361000000,-285000000,-558000000,-855000000,-1052000000,-606000000,3350000000,-39000000,17000000,-20000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82595762,-372200000,-72109000,-212462000,-33859000,-21439000,-23200000,-34955000,-245166000,-1264895000,-243162000,-154697000,-2000000,-1000000,- -,-150000000,-250000000,-86000000,-78000000,-311000000,-100000000,-82000000,- -,-50000000,-337000000,-2158000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111800000,8300000,203900000,24357000,162046000,- -,3843000,93556000,305459000,566575000,337492000,565000000,3000000,4000000,154000000,202000000,38000000,- -,- -,67000000,- -,- -,458000000,98000000,445000000
88,Other Investing Activites,- -,- -,- -,- -,- -,9200000,2800000,15000000,12983745,21413837,17799804,-4261000,-71014000,76160000,19018000,-230273000,-72507000,435949000,154884000,72752000,944119000,-21925000,328000000,-205000000,-431000000,-476000000,-870000000,-1123000000,-1321000000,-1185000000,-769000000,1102000000,-760000000,217000000,-359000000,2261000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,8800000,2600000,400000,7316220,1985342,-74018551,-329561000,-176779000,39596000,-70599000,-153392000,-136917000,384690000,-308166000,-1180333000,1058887000,90915000,823000000,-203000000,-311000000,-614000000,-2279000000,-1456000000,-1957000000,-2351000000,-1854000000,414000000,2590000000,586000000,-581000000,528000000
90,Debt Repayment,- -,- -,- -,- -,- -,-8500000,-11900000,-15900000,-29300000,-23900000,-34500000,-26441000,-25251000,-16507000,-16331000,-15053000,-7660000,-3837000,-48284000,-148168000,-35764000,-32475000,-302000000,-46000000,-1389000000,-675000000,-663000000,-1526000000,-7656000000,-972000000,-2352000000,-5485000000,-1346000000,-2547000000,-2994000000,-1545000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,110900000,- -,272300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,513000000,593000000,- -,- -,1000000,612000000,- -,55000000,102000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-300000,-800000,-1400000,- -,- -,- -,- -,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000000,- -,- -,- -,- -,- -,- -,- -,-72000000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-9300000,-1868607,-105413,-156464,-1071000,-129000,-10000,-4100000,- -,- -,- -,-17916000,-12622000,-25245000,-37354000,- -,-77000000,-85000000,-48000000,-41000000,-51000000,-125000000,-116000000,-103000000,-81000000,-97000000,-112000000,-526000000,-101000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-28300000,-15000000,3600000,2065991,23335936,3974969,62364000,39163000,22400000,19600000,- -,12700000,13516000,598209000,863584000,69974000,3171495000,-858000000,-700000000,2457000000,-1323000000,1734000000,1891000000,9788000000,1914000000,2613000000,5697000000,1291000000,3170000000,2765000000,1939000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-37100000,-27700000,-23000000,-29102616,110230523,-30681495,307152000,13083000,5883000,-831000,-15053000,5040000,9679000,532009000,702794000,8965000,3101666000,-1177000000,-823000000,983000000,-2046000000,1543000000,907000000,2007000000,826000000,87000000,743000000,-152000000,566000000,-653000000,293000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3945000,-57000000,19000000,-6000000,-22000000,15000000,-14000000,-10000000,-7000000,-31000000,10000000,-7000000,-2000000,-4000000,3000000
97,Net Change In Cash,- -,- -,- -,- -,- -,-37100000,-27700000,-23000000,3683012,147646063,-60718306,23604000,-112685000,101282000,5008000,-86690000,-9621000,412833000,275210000,-230186000,1452144000,228355000,499000000,-742000000,707000000,-685000000,793000000,154000000,-350000000,-830000000,-245000000,-151000000,3427000000,-393000000,-1654000000,1145000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,18615572,166261635,105543329,129147000,16462000,117744000,147705000,61015000,51394000,467704000,762708000,576123000,1912235000,2112832000,2612000000,1870000000,2963000000,2278000000,3071000000,3262000000,2912000000,2078000000,1833000000,1682000000,5338000000,4945000000,3291000000,4436000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,15900000,15800000,15600000,14932560,18615572,166261635,105543000,129147000,16462000,142697000,147705000,61015000,54871000,487498000,806309000,460091000,1884477000,2113000000,2612000000,2256000000,2963000000,2278000000,3108000000,3262000000,2908000000,2078000000,1833000000,1911000000,5338000000,4945000000,3291000000
100,Free Cash Flow,- -,- -,- -,- -,- -,27800000,24800000,7300000,19801883,16001703,34759147,-18887000,9055000,27801000,23649000,18029000,99272000,-1683000,-41282000,-115336000,228850000,-2998382000,47000000,74000000,-381000000,1514000000,624000000,-444000000,-1801000000,-645000000,829000000,-2427000000,643000000,-1710000000,-615000000,16000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813762/0000950123-96-001504-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813762/000095012305003242/0000950123-05-003242-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000095012306003289/0000950123-06-003289-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420407011271/0001144204-07-011271-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420408015862/0001144204-08-015862-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420409012134/0001144204-09-012134-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420410011285/0001144204-10-011285-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420411013351/0001144204-11-013351-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376212000008/0000813762-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376213000018/0000813762-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376214000014/0000813762-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376215000011/0000813762-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376216000057/0000813762-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376217000010/0000813762-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376218000029/0000813762-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376219000006/0000813762-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376220000008/0000813762-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000155837021002010/0001558370-21-002010-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000155837022002150/0001558370-22-002150-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
