,https://roic.ai/company/KMT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,91100000,109000000,88400000,108100000,120900000,130800000,184100000,217700000,175900000,441700000,373500000,397403000,386711000,375284000,428332000,307563000,402404000,624658000,529265000,630675000,496935000,522926000,446064000,704340000,1031880000,962440000,775802000,648066000,652423000,659635000,729101000,542732000,567413000
82,Other Non-Cash Items,- -,- -,- -,500000,-11900000,10200000,-16600000,-21800000,-18800000,-104300000,-58000000,28300000,-302900000,159700000,43948000,47663000,304866000,26323000,159060000,-92289000,-539467000,50431000,-116099000,350850000,-20881000,-26510000,-430101000,-381865000,11965000,812055000,429103000,3719000,-82513000,-148575000,303759000,26469000
83,Cash Provided by Operating Activities,- -,- -,- -,63600000,68000000,43400000,47300000,42000000,30200000,56600000,85500000,99900000,101500000,226600000,221207000,187556000,155160000,181544000,177858000,202327000,19053000,199006000,279786000,192263000,164828000,230797000,289580000,284150000,271873000,351437000,219322000,192202000,277304000,300519000,223738000,235682000
84,CAPEX,- -,- -,- -,-57700000,-70700000,-55300000,-36600000,-23100000,-46900000,-43400000,-57600000,-73800000,-860100000,-100200000,-50663000,-59929000,-44040000,-49413000,-56962000,-88552000,-79593000,-92001000,-163489000,-104842000,-56679000,-83442000,-113036000,-82835000,-117376000,-100939000,-110697000,-118018000,-171004000,-212343000,-244151000,-127302000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5385000,-166077000,-65846000,-136604000,352364000,-210324000,20261000,-69485000,-16969000,1723000,-382562000,-500000,-624390000,- -,56127000,- -,- -,- -,23950000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14200000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12200000,- -,- -,- -,- -,- -,- -,2961000,- -,5915000,1652000,27811000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,3600000,6900000,4700000,1500000,-900000,4400000,-1500000,7600000,-17000000,61200000,10700000,7578000,-42575000,6154000,-3889000,30217000,39240000,-36404000,-213000,6072000,2619000,5417000,9894000,8333000,2637000,1592000,16385000,6637000,5270000,14133000,10862000,1865000,4326000
89,Cash Used for Investing Activites,- -,- -,- -,-54100000,-63800000,-50600000,-35100000,-24000000,-42500000,-44900000,-50000000,-90800000,-813100000,-102000000,-43085000,-102504000,-43271000,-219379000,-92591000,-185916000,239328000,-302538000,-131241000,-170056000,-40420000,-71825000,-487265000,-80698000,-740174000,-84554000,-47933000,-112748000,-156871000,-201481000,-218336000,-122976000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-860522000,-707358000,-467740000,-1324426000,-736562000,-450928000,-308736000,-94577000,-26216000,-190000,-400715000,- -,-309639000
91,Common Stock Issued,- -,- -,- -,1800000,3000000,4700000,3700000,- -,82300000,4400000,2700000,5600000,261800000,3300000,- -,22854000,143853000,7606000,27000000,37577000,75774000,50914000,14811000,- -,120696000,- -,- -,26665000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28700000,- -,- -,- -,-16494000,-12417000,- -,- -,- -,-93015000,-41401000,-65429000,-127720000,-306000,-57909000,-66876000,-121408000,-14165000,-318000,-295000,-241000,-217000,-214000,-209000,-197000
93,Dividends Paid,- -,- -,- -,-11600000,-12100000,-12200000,-12400000,-12600000,-14000000,-15900000,-16000000,-17500000,-18500000,-20300000,-20570000,-21056000,-21426000,-24498000,-24829000,-25434000,-29719000,-31759000,-35994000,-30593000,-39316000,-39801000,-43631000,-51011000,-56436000,-56979000,-63717000,-64128000,-65104000,-65746000,-66303000,-66735000
94,Other Financing Activites,- -,- -,- -,-4700000,11200000,15800000,-5800000,-10100000,-44500000,-7200000,-15500000,37300000,466800000,-107400000,-152765000,-77541000,-228258000,54348000,-80162000,-12622000,-19070000,-60475000,-39093000,1003309000,568117000,469425000,1566232000,934463000,791937000,33070000,48120000,40436000,312708000,-4757000,491963000,-197674000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-14500000,2100000,8300000,-14500000,-22700000,23800000,-18700000,-28800000,-3300000,710100000,-124400000,-173335000,-92237000,-118248000,37456000,-77991000,-479000,-66030000,-82721000,-125705000,-15526000,-58167000,-96025000,131299000,52147000,270408000,-332963000,-110469000,-50149000,247197000,-471432000,425451000,-574245000
96,Effect of Forex Changes on Cash,- -,- -,- -,-100000,300000,-200000,- -,-200000,1500000,600000,-400000,-1000000,-2000000,-1200000,128000,-2198000,3804000,5087000,3571000,1348000,-1595000,2710000,13205000,-23336000,-17935000,23489000,-21713000,5251000,-1494000,-6355000,-4835000,-255000,-2106000,-1744000,-6184000,8902000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,4915000,-9383000,-2555000,4708000,10847000,17280000,190756000,-183543000,36045000,-16655000,48306000,86436000,-88099000,260850000,-199387000,-72435000,56085000,29050000,365524000,-374138000,424669000,-452637000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17400000,22323000,12940000,10385000,15093000,25940000,43220000,233976000,50433000,86478000,69823000,118129000,204565000,116466000,377316000,177929000,105494000,161579000,190629000,556153000,182015000,606684000,154047000
99,Cash at the Beginning of Period,- -,- -,- -,8900000,3800000,10300000,11300000,9000000,4100000,17200000,10800000,17100000,21900000,18400000,17408000,22323000,12940000,10385000,15093000,25940000,43220000,233976000,50433000,86478000,69823000,118129000,204565000,116466000,377316000,177929000,105494000,161579000,190629000,556153000,182015000,606684000
100,Free Cash Flow,- -,- -,- -,5900000,-2700000,-11900000,10700000,18900000,-16700000,13200000,27900000,26100000,-758600000,126400000,170544000,127627000,111120000,132131000,120896000,113775000,-60540000,107005000,116297000,87421000,108149000,147355000,176544000,201315000,154497000,250498000,108625000,74184000,106300000,88176000,-20413000,108380000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55242/000005524294000015/0000055242-94-000015-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55242/000095012802000680/0000950128-02-000680-index.html,- -,https://www.sec.gov/Archives/edgar/data/55242/000095015204006816/j0811401e10vk.htm,https://www.sec.gov/Archives/edgar/data/55242/000095015205007561/j1588301e10vk.htm,https://www.sec.gov/Archives/edgar/data/55242/000095015206007298/l22101ae10vk.htm,https://www.sec.gov/Archives/edgar/data/55242/000095015207006922/0000950152-07-006922-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095015208006526/0000950152-08-006526-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095012309035279/0000950123-09-035279-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095012310076593/0000950123-10-076593-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095012311076137/0000950123-11-076137-index.html,https://www.sec.gov/Archives/edgar/data/55242/000119312512351892/0001193125-12-351892-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524213000017/0000055242-13-000017-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524214000020/0000055242-14-000020-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524215000024/0000055242-15-000024-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524216000060/0000055242-16-000060-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524217000024/0000055242-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524218000025/0000055242-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524219000019/0000055242-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524220000026/0000055242-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/55242/000005524221000042/0000055242-21-000042-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
