,https://roic.ai/company/ESTE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,-208000,-122000,-84000,- -,- -,- -,- -,-675000,-1524000,-1135000,-836000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-1600000,-500000,-300000,-400000,-200000,-100000,800000,245000,202000,224000,-100000,-109000,-460000,-1000,- -,- -,- -,445000,-445000,- -,3000,- -,- -,- -,3952000,10578000,-141000,36516000,83642000,156323000,232844000,135989000,660440000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-1600000,-500000,-300000,-400000,-200000,-100000,800000,-319000,-169000,-49000,-100000,-109000,-460000,-1000,- -,- -,9000,454000,-425000,14000,-17000,-208000,-122000,-84000,3952000,106673000,-141000,45092000,48107000,51797000,87809000,-56033000,197880000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,200000,-100000,100000,-200000,- -,100000,-300000,9000,5000,-45000,- -,227000,455000,-424000,138000,-10000,468000,-814000,2445000,3048000,-1483000,817000,-854000,2727000,-4598000,75024000,-77183000,-13064000,12755000,-22579000,13446000,-12328000,2519000
98,Cash at the End of Period,- -,- -,376000,200000,500000,600000,400000,400000,476000,- -,92000,97000,52000,- -,265000,720000,296000,434000,424000,892000,78000,2523000,5571000,4088000,4905000,4051000,6778000,2180000,100447000,23264000,10200000,22955000,376000,13822000,1494000,4013000
99,Cash at the Beginning of Period,- -,- -,376000,- -,600000,500000,600000,400000,376000,300000,83000,92000,97000,100000,38000,265000,720000,296000,434000,424000,892000,78000,2523000,5571000,4088000,4905000,4051000,6778000,25423000,100447000,23264000,10200000,22955000,376000,13822000,1494000
100,Free Cash Flow,- -,- -,- -,-100000,-200000,400000,- -,100000,100000,-1700000,299000,167000,-803000,-100000,232000,732000,-494000,133000,-195000,190000,-1311000,2542000,3006000,-1466000,1025000,-732000,-2593000,-8550000,-27410000,-80584000,-26822000,-70087000,-80341000,-78547000,43291000,-52408000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10254/0000010254-97-000011-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10254/000103570405000391/0001035704-05-000391-index.htm,https://www.sec.gov/Archives/edgar/data/10254/000095013406013201/d37466e10ksb.htm,https://www.sec.gov/Archives/edgar/data/10254/000095013407014448/d47924e10ksb.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/10254/000001025410000003/e10k_3-10.htm,- -,https://www.sec.gov/Archives/edgar/data/10254/000135448812003035/este_10k.htm,https://www.sec.gov/Archives/edgar/data/10254/000135448813003461/este_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/10254/000156459016014606/este-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/10254/000156459017004470/este-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/10254/000156459018005824/este-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025419000038/este-12312018x10kv2.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025420000038/este-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025421000045/0000010254-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025422000047/0000010254-22-000047-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
