,https://roic.ai/company/UHT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,5800000,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1949000,10003000,- -,4100000,- -,- -,- -,114000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-3000000,- -,-4100000,-5000000,-700000,1328000,835000,-9261000,3705000,-27057000,3415000,895000,-7777000,-1377000,-12741000,15197000,19080000,10205000,17819000,1709000,- -,-755000,40858000,14983000,-2927000,18980000,-23960000,-3537000,57455000,-2266000,-9234000,-21738000,8406000
89,Cash Used for Investing Activites,- -,- -,- -,-11400000,- -,1700000,-5000000,-2800000,-4812000,-6959000,-19456000,-541000,-27215000,-14437000,-8913000,-8332000,-1426000,-13053000,11885000,8408000,-2045000,-4336000,-26923000,-12362000,-17302000,-3284000,-8565000,-13514000,-4038000,-44309000,-74834000,39461000,-7959000,-16472000,-27208000,-24425000
90,Debt Repayment,- -,- -,- -,-61100000,-52000000,-5100000,-1600000,-31600000,-2100000,-5100000,- -,-800000,-23600000,- -,-67000,-48686000,-1493000,-95000,-435000,-662000,-4177000,-9307000,-407000,-452000,-3528000,-291000,-18084000,-14401000,-16277000,-17826000,-3230000,-81471000,-23397000,-4201000,-1913000,-2079000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,32600000,- -,- -,- -,- -,- -,553000,23000,55158000,488000,757000,593000,668000,499000,1213000,529000,- -,17797000,244000,350000,5757000,19274000,1668000,13492000,9362000,229000,212000,- -,215000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181000,- -,- -,- -,- -,- -,- -,-236000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-221000,-267000,- -
93,Dividends Paid,- -,- -,- -,-10300000,-10400000,-10900000,-11500000,-14100000,-14897000,-15032000,-15174000,-15264000,-15716000,-16215000,-16529000,-20583000,-22440000,-22960000,-23488000,-25588000,-26631000,-27197000,-27740000,-28406000,-29865000,-30703000,-31195000,-31751000,-32718000,-34089000,-35138000,-36054000,-36831000,-37411000,-37973000,-38532000
94,Other Financing Activites,- -,- -,- -,70400000,49700000,100000,5400000,- -,3568000,10155000,16625000,- -,47210000,10800000,5139000,- -,-1446000,6304000,-13057000,-10000000,7092000,17421000,32186000,18656000,7798000,23324000,18110000,22904000,-94000,56411000,59013000,22154000,26679000,16515000,22783000,33858000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-1000000,-12700000,-15900000,-7700000,-13100000,-13429000,-9977000,1451000,-16064000,7894000,-4862000,-11615000,-14111000,-24891000,-15994000,-36387000,-35582000,-23217000,-18106000,4568000,-10202000,-7798000,-7426000,-30819000,-17491000,-29815000,6164000,34137000,-86009000,-33320000,-25106000,-17370000,-6538000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,475000,- -,-359000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-1000000,-12700000,-15900000,-7700000,-13100000,-42000,137000,-2000,1101000,-666000,280000,-558000,335000,-31000,30000,2960000,-1871000,-919000,333000,-513000,2420000,-2051000,10662000,-8601000,289000,524000,33000,36000,-543000,1649000,1074000,-368000,16762000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,2000,139000,137000,1238000,572000,852000,294000,629000,598000,628000,3588000,1717000,798000,1131000,618000,3038000,987000,11649000,3048000,3337000,3861000,3894000,3930000,3387000,5036000,6110000,5742000,22504000
99,Cash at the Beginning of Period,- -,- -,- -,800000,100000,200000,200000,1200000,44000,2000,139000,137000,1238000,572000,852000,294000,629000,598000,628000,3588000,1717000,798000,1131000,618000,3038000,987000,11649000,3048000,3337000,3861000,3894000,3930000,3387000,5036000,6110000,5742000
100,Free Cash Flow,- -,- -,- -,4300000,12900000,14200000,13800000,12600000,11859000,9279000,7808000,13460000,18497000,1727000,10162000,22223000,26237000,28765000,26439000,22912000,23408000,15541000,17128000,24984000,22080000,-18982000,13181000,26619000,17196000,21413000,-19656000,36965000,38875000,37547000,41944000,34736000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798783/000095010903001836/0000950109-03-001836-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312504040446/0001193125-04-040446-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312505049481/0001193125-05-049481-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312506055113/0001193125-06-055113-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312507054153/0001193125-07-054153-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312508055535/0001193125-08-055535-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312509051831/0001193125-09-051831-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312510051322/0001193125-10-051322-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312511063597/0001193125-11-063597-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312512111276/0001193125-12-111276-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312513105230/0001193125-13-105230-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312514087617/0001193125-14-087617-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312515079092/0001193125-15-079092-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459016014024/0001564590-16-014024-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459017002865/0001564590-17-002865-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459018003812/0001564590-18-003812-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459019004923/0001564590-19-004923-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459020006816/0001564590-20-006816-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459021008850/0001564590-21-008850-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459022006745/0001564590-22-006745-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
