,https://roic.ai/company/HOLX,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,-5300000,- -,-100000,- -,-79400000,-82400000,-69300000,-48800000,-20938000,- -,- -,- -,- -,- -,- -,-1000000,-263000,-550000,-795000,-99000,-250000,-7725000,-29700000,-6400000,-5200000,- -,-6000000,-3000000,-2400000,- -
87,Sales/Maturities of Investments,- -,- -,2500000,- -,4700000,- -,1000000,31100000,72500000,95000000,46700000,50074000,- -,- -,- -,- -,- -,- -,2150000,3574000,- -,678000,- -,- -,2104000,36200000,10000000,36300000,87100000,100000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-400000,-300000,- -,-200000,100000,-100000,-3700000,-100000,-5218000,-327000,31250000,224000,907000,-5795000,5735000,-27743000,-20986000,-6597000,67152000,7579000,426000,52452000,-3400000,-300000,-5000000,-600000,-7200000,-39800000,-2700000,-8700000
89,Cash Used for Investing Activites,- -,- -,2100000,-6200000,4200000,-600000,- -,-50600000,-12100000,-600000,-11100000,-12101000,-4657000,25112000,-7922000,-6621000,-13494000,-206676000,-59226000,-2680300000,-61519000,-66980000,-266587000,-3850784000,18754000,-67000000,-86100000,-68400000,285800000,-195200000,-280700000,-141600000,-1329600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10775000,-2837000,-1362000,- -,-265000000,-595000000,-3821700000,-692800000,-529500000,-4152300000,-2280700000,-797500000,-1369700000
91,Common Stock Issued,- -,- -,- -,- -,- -,600000,600000,64600000,- -,2800000,300000,549000,904000,29341000,3055000,5003000,15868000,10639000,10578000,171014000,10887000,12594000,25404000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,-969000,- -,- -,- -,- -,- -,- -,- -,- -,-250000000,-200100000,-275800000,-200100000,-653600000,-409800000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,2300000,-100000,700000,-400000,3700000,-2700000,-714000,3961000,-28303000,-718000,-1083000,-947000,79960000,-32069000,2140916000,-288736000,-177332000,-16368000,3328099000,16230000,69900000,2885000000,283100000,420400000,4023300000,2049300000,791200000,1249700000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,2900000,- -,65300000,-400000,6000000,-2400000,-165000,4865000,1038000,2337000,3920000,14921000,90599000,-22460000,2311930000,-288624000,-167575000,7674000,3328099000,-248770000,-525100000,-936700000,-659700000,-309200000,-404800000,-431500000,-659900000,-529800000
96,Effect of Forex Changes on Cash,- -,- -,- -,-200000,400000,-100000,- -,- -,-700000,200000,-700000,-786000,19000,-29000,195000,-23000,-141000,882000,-1084000,-968000,1303000,282000,-404000,561000,-1746000,-2700000,-8100000,-2000000,7300000,-6800000,-2200000,4100000,-1700000
97,Net Change In Cash,- -,- -,- -,- -,- -,2900000,- -,65300000,-400000,6000000,-11900000,-13730000,-10024000,33082000,-659000,23158000,45659000,-84071000,70480000,-4742000,197525000,222439000,196707000,-151902000,262060000,-86400000,-244800000,57100000,-7800000,126100000,-64900000,99200000,469300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36500000,22778000,12754000,45836000,45177000,68335000,113994000,29923000,100403000,95661000,293186000,515625000,712332000,560430000,822490000,736100000,491300000,548400000,540600000,666700000,601800000,701000000,1170300000
99,Cash at the Beginning of Period,- -,- -,8100000,9000000,2400000,6700000,5900000,12900000,28800000,28100000,48400000,36508000,22778000,12754000,45836000,45177000,68335000,113994000,29923000,100403000,95661000,293186000,515625000,712332000,560430000,822500000,736100000,491300000,548400000,540600000,666700000,601800000,701000000
100,Free Cash Flow,- -,- -,-1600000,-900000,-500000,-3500000,700000,-1300000,10500000,-8000000,-6600000,-6498000,-14581000,823000,-3415000,18695000,36674000,-9459000,130410000,311312000,480662000,404232000,392018000,286949000,403692000,428200000,696700000,688700000,-99300000,627300000,535900000,740200000,2167700000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/859737/000095010995005384/0000950109-95-005384-index.html,https://www.sec.gov/Archives/edgar/data/859737/000092701696002077/0000927016-96-002077-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/859737/000119312503098850/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312504209557/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312505237204/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312506253369/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312507253993/0001193125-07-253993-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312508244529/0001193125-08-244529-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312509241357/0001193125-09-241357-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312510268147/0001193125-10-268147-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312511320641/0001193125-11-320641-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312512482840/0001193125-12-482840-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312513453681/0001193125-13-453681-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973714000008/0000859737-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973715000034/0000859737-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973716000071/0000859737-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973717000023/0000859737-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973718000020/0000859737-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973719000026/0000859737-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973720000039/0000859737-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/859737/000085973721000023/0000859737-21-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
