,https://roic.ai/company/JBHT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,-13100000,-16600000,-14900000,-14600000,-31400000,-1011000,-4707000,-8355000,-15327000,-15169000,-54206000,12776000,-7449000,-3910000,-18876000,-52532000,-34937000,-14574000,37833000,50043000,-30180000,-40848000,-60292000,-54532000,-102508000,-85276000,-747000,-120994000,-166111000,-130931000,50310000,-109758000,-382216000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,5900000,1300000,2900000,15700000,5600000,11269000,41280000,-6281000,22165000,9458000,32042000,-21424000,4706000,-45360000,40955000,21132000,-28147000,7923000,14993000,-16460000,13891000,1883000,56179000,15097000,11530000,15284000,8600000,60818000,85237000,98037000,-85327000,-5482000,140295000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,3312000,2479000,5967000,-5136000,19230000,24511000,5697000,118965000,107852000,-2646000,155821000,198604000,-7487000,-35538000,-11601000,123247000,-47304000,75027000,51772000,-32093000,109060000,326950000,372547000,416884000,150633000,445533000,757314000,577483000
82,Other Non-Cash Items,- -,- -,- -,- -,97000000,103600000,124100000,169600000,149000000,2325000,47213000,-26969000,31062000,-49300000,-66205000,-32422000,-117620000,-24463000,152625000,-130924000,-87037000,220683000,64090000,45042000,-153591000,140452000,-102140000,-18731000,-17976000,-278338000,-229085000,-76093000,-48492000,279654000,-320959000,-275974000,-29095000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,79000000,87000000,94400000,138200000,121400000,171289000,175317000,142995000,160736000,182868000,135673000,125073000,171599000,174363000,332610000,393737000,331852000,423063000,457805000,505146000,356923000,428078000,635692000,548044000,574351000,646779000,873308000,854143000,855153000,1087841000,1098347000,1122859000,1223898000
84,CAPEX,- -,- -,- -,- -,-136000000,-121900000,-151800000,-289400000,-285700000,-282581000,-361790000,-321608000,-264090000,-571025000,-235097000,-324994000,-166221000,-398677000,-508632000,-726871000,-489270000,-893391000,-694187000,-303241000,-353156000,-262449000,-502282000,-439494000,-493431000,-808569000,-725122000,-638430000,-526928000,-995650000,-854115000,-738545000,-947563000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136879000,- -,-115654000,-12136000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8756000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6275000,7646000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,23800000,23500000,35900000,37800000,82400000,53418000,43737000,59507000,84597000,45583000,205365000,125754000,114223000,77909000,126409000,201187000,72720000,72427000,31821000,94662000,101559000,36433000,56753000,69900000,50890000,148888000,148590000,153042000,12525000,108877000,165807000,137724000,70545000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-112200000,-98400000,-115900000,-251600000,-203300000,-229163000,-162833000,-132927000,-89544000,-260545000,-19430000,-99918000,-24243000,-161432000,-190517000,-249896000,-212644000,-410761000,-340487000,-202304000,-243951000,-226016000,-445529000,-369594000,-442541000,-659681000,-576532000,-485388000,-651282000,-886773000,-803962000,-612957000,-877018000
90,Debt Repayment,- -,- -,- -,- -,-6700000,-6700000,-53300000,-122900000,-12400000,-18809000,-10000000,-11740000,-5000000,-5000000,-10000000,-63370000,-31803000,-49043000,-171456000,-171844000,- -,-3500000,-14000000,-287068000,-1323800000,-1218420000,-1200696000,-1668233000,-1911177000,-2360749000,-2388466000,-1724365000,-2612501000,-3137900000,-2154000000,-220100000,- -
91,Common Stock Issued,- -,- -,- -,- -,300000,400000,2800000,60400000,3900000,2634000,2431000,2109000,328000,2868000,412000,937000,2722000,71407000,9964000,15073000,10883000,9223000,10312000,8956000,7026000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-9400000,- -,-7000000,- -,-2080000,-7057000,-17777000,-22034000,-5814000,- -,-7576000,- -,- -,- -,-7028000,-239234000,-257395000,-603371000,-2023000,-1882000,-250892000,-246406000,-50000000,-132686000,-148419000,-287125000,-268401000,-199028000,-170868000,-292182000,-119390000,- -
93,Dividends Paid,- -,- -,- -,- -,-5700000,-5600000,-6500000,- -,-7700000,-7747000,-7725000,-7574000,-7321000,-7101000,-7126000,-1782000,- -,- -,- -,-7288000,-37955000,-47734000,-48847000,-50144000,-55692000,-59910000,-62243000,-83431000,-52811000,-93604000,-97364000,-98990000,-101362000,-104994000,-111817000,-114234000,-124442000
94,Other Financing Activites,- -,- -,- -,- -,46300000,39300000,72600000,182200000,99700000,82628000,11985000,24440000,-37250000,98250000,-96150000,39400000,-74400000,-3912000,- -,-7028000,119794000,287063000,546174000,14853000,1266846000,1326968000,1316981000,1623353000,1965106000,2615804000,2475784000,1723812000,2717255000,3205682000,2291014000,222124000,-180191000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,34200000,18000000,15600000,112700000,83500000,56626000,-10366000,-10542000,-71277000,83203000,-112864000,-32391000,-103481000,18452000,-161492000,-178115000,-146512000,-12343000,-109732000,-315426000,-107502000,-202254000,-192364000,-178311000,-131568000,13032000,-297171000,-367944000,-195636000,-208080000,-266985000,-231600000,-304633000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,34200000,18000000,15600000,112700000,83500000,-1248000,2118000,-474000,-85000,5526000,3379000,-7236000,43875000,31383000,-19399000,-34274000,-27304000,-41000,7586000,-12584000,5470000,-192000,-2201000,139000,242000,130000,-395000,811000,8235000,-7012000,27400000,278302000,42247000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2142000,4260000,3786000,3701000,9227000,12606000,5370000,49245000,80628000,61229000,23838000,7412000,7371000,14957000,2373000,7843000,7651000,5450000,5589000,5831000,5961000,5566000,6377000,14612000,7600000,35000000,313302000,355549000
99,Cash at the Beginning of Period,- -,- -,- -,- -,700000,1800000,8400000,2500000,1800000,3390000,2142000,4260000,3786000,3701000,9227000,12606000,5370000,49245000,80628000,58112000,34716000,7412000,7371000,14957000,2373000,7843000,7651000,5450000,5589000,5831000,5961000,5566000,6377000,14612000,7600000,35000000,313302000
100,Free Cash Flow,- -,- -,- -,- -,-57000000,-34900000,-57400000,-151200000,-164300000,-111292000,-186473000,-178613000,-103354000,-388157000,-99424000,-199921000,5378000,-224314000,-176022000,-333134000,-157418000,-470328000,-236382000,201905000,3767000,165629000,133410000,108550000,80920000,-161790000,148186000,215713000,328225000,92191000,244232000,384314000,276335000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728535/000091205795001864/0000912057-95-001864-index.html,https://www.sec.gov/Archives/edgar/data/728535/000091205796005725/0000912057-96-005725-index.html,https://www.sec.gov/Archives/edgar/data/728535/000091205797006927/0000912057-97-006927-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728535/000091205701007504/0000912057-01-007504-index.html,https://www.sec.gov/Archives/edgar/data/728535/000110465902000654/j3125_10k405.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465903003945/j8280_10k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465904006498/a04-3086_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465905010620/a05-1778_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465906015770/a06-1990_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465907014908/a07-5539_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465908014088/a08-2564_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465909013065/0001104659-09-013065-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774910000493/0001437749-10-000493-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774911001088/jbh_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774912001745/0001437749-12-001745-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774913001883/0001437749-13-001883-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774914002605/jbht20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774915003305/jbht20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774916025879/0001437749-16-025879-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774917003083/0001437749-17-003083-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774918003239/0001437749-18-003239-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774919003134/0001437749-19-003134-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774920004119/0001437749-20-004119-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774921003667/0001437749-21-003667-index.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774922004457/0001437749-22-004457-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
