,https://roic.ai/company/VALU,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,-3900000,-8300000,-16300000,-19000000,5800000,-35100000,-15600000,34100000,-24700000,-24400000,-25613000,-37766000,-14900000,91314000,-16666000,-4831000,-25013000,-12702000,-19545000,-2212000,81146000,-26224000,-7174000,-5427000,-7761000,-9784000,-8826000,-24851000,-7876000,-4522000,-10137000,-18318000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,10400000,20100000,25500000,29000000,22500000,27200000,30100000,11800000,20400000,24600000,19637000,25648000,20145000,16816000,21628000,36590000,18919000,25181000,20356000,14372000,-8658000,10660000,2376000,1168000,3487000,1407000,2004000,-3678000,1071000,11831000,13745000,16410000
84,CAPEX,- -,- -,- -,- -,-2000000,-800000,-100000,-500000,-5800000,-1400000,-6000000,-2700000,-900000,-900000,-398000,-721000,-447000,-229000,-271000,-1630000,-942000,-795000,-609000,-1186000,-817000,-1907000,-3431000,-2788000,-2687000,-2544000,-1962000,-1684000,-408000,-122000,-2000,-178000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55092000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9309000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-23900000,-22300000,-63300000,-79200000,-108300000,-106100000,-113800000,-92800000,-57100000,-18100000,- -,-103957000,-70767000,-213525000,-118041000,-44131000,-10716000,-21022000,-31833000,-47519000,-48039000,-28670000,-2468000,-2545000,-2553000,-656000,-3854000,-13697000,-4368000,-11196000,-21705000,-15555000
87,Sales/Maturities of Investments,- -,- -,- -,- -,23800000,7500000,42600000,60500000,97000000,121900000,82400000,263600000,61300000,13300000,54406000,129637000,93638000,101296000,276464000,21690000,12080000,12890000,12415000,83286000,69941000,38021000,11285000,- -,- -,57000,10206000,803000,3536000,8346000,13050000,23114000
88,Other Investing Activites,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,100000,- -,- -,100000,2900000,-2467000,-2145000,-1649000,-1608000,-1907000,- -,- -,- -,- -,-983000,-736000,-5492000,2493000,2623000,4679000,5408000,6082000,18640000,8836000,8861000,- -,-145000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2200000,-15700000,-20800000,-19200000,-17100000,14500000,-37400000,168100000,3400000,-2800000,-3551000,22814000,20775000,-114066000,156245000,-24071000,422000,-8927000,-20027000,34581000,21085000,3753000,11262000,-253000,1920000,4689000,12207000,4470000,7596000,-3309000,-8657000,7381000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,100000,- -,300000,- -,100000,- -,- -,- -,- -,- -,- -,9000,35000,45000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90000,-946000,-182000,-550000,-122000,-796000,-741000,-354000,-608000,-1214000,-1526000
93,Dividends Paid,- -,- -,- -,- -,-6000000,-6000000,-6000000,-6000000,-7500000,-8000000,-6000000,-158700000,-10000000,-10000000,-9979000,-9980000,-9978000,-9979000,-9982000,-184656000,-9981000,-10980000,-11979000,-14972000,-38928000,-23956000,-7452000,-5935000,-5909000,-5888000,-6167000,-6616000,-8929000,-7362000,-7724000,-8068000
94,Other Financing Activites,- -,- -,- -,- -,100000,- -,- -,- -,- -,-3000000,- -,-36900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2311000,20000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-5800000,-6000000,-5700000,-6000000,-7400000,-11000000,-6000000,-195600000,-10000000,-10000000,-9979000,-9971000,-9943000,-9934000,-9982000,-184656000,-9981000,-10980000,-11979000,-14972000,-38928000,-24046000,-8398000,-6117000,-6459000,-6010000,-6963000,-7357000,-9283000,-7970000,-6627000,-9574000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6107000,38491000,30977000,-107184000,167891000,-172137000,9360000,5274000,-11650000,33981000,-26501000,-9633000,5240000,-5202000,-1052000,86000,7248000,-6565000,-616000,552000,-1539000,14217000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47933000,86424000,117401000,10217000,178108000,5971000,15331000,20605000,8955000,42936000,16435000,6802000,12042000,6840000,5788000,5874000,13122000,6557000,5941000,6962000,5423000,19640000
99,Cash at the Beginning of Period,- -,- -,- -,- -,11100000,13500000,12000000,10900000,16400000,14300000,45000000,31800000,16100000,29900000,41826000,47933000,86424000,117401000,10217000,178108000,5971000,15331000,20605000,8955000,42936000,16435000,6802000,12042000,6840000,5788000,5874000,13122000,6557000,6410000,6962000,5423000
100,Free Cash Flow,- -,- -,- -,- -,8400000,19300000,25400000,28500000,16700000,25800000,24100000,9100000,19500000,23700000,19239000,24927000,19698000,16587000,21357000,34960000,17977000,24386000,19747000,13186000,-9475000,8753000,-1055000,-1620000,800000,-1137000,42000,-5362000,663000,11709000,13743000,16232000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717720/000091205796015699/0000912057-96-015699-index.html,https://www.sec.gov/Archives/edgar/data/717720/000091205797025346/0000912057-97-025346-index.html,https://www.sec.gov/Archives/edgar/data/717720/000104746998028697/0001047469-98-028697-index.html,https://www.sec.gov/Archives/edgar/data/717720/000104746999029109/0001047469-99-029109-index.html,https://www.sec.gov/Archives/edgar/data/717720/000091205700033557/0000912057-00-033557-index.html,https://www.sec.gov/Archives/edgar/data/717720/000091205701525768/0000912057-01-525768-index.html,https://www.sec.gov/Archives/edgar/data/717720/000089710102000510/0000897101-02-000510-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/717720/000114420405023123/v022446_10k.htm,https://www.sec.gov/Archives/edgar/data/717720/000114420406030146/v048234_10-k.htm,https://www.sec.gov/Archives/edgar/data/717720/000114420407037635/0001144204-07-037635-index.html,https://www.sec.gov/Archives/edgar/data/717720/000114420408040511/0001144204-08-040511-index.html,https://www.sec.gov/Archives/edgar/data/717720/000114420409037660/0001144204-09-037660-index.html,https://www.sec.gov/Archives/edgar/data/717720/000114420410038267/0001144204-10-038267-index.html,https://www.sec.gov/Archives/edgar/data/717720/000118811211002049/0001188112-11-002049-index.html,https://www.sec.gov/Archives/edgar/data/717720/000118811212002275/0001188112-12-002275-index.html,https://www.sec.gov/Archives/edgar/data/717720/000118811213002106/0001188112-13-002106-index.html,https://www.sec.gov/Archives/edgar/data/717720/000157104914003107/0001571049-14-003107-index.html,https://www.sec.gov/Archives/edgar/data/717720/000157104915005763/0001571049-15-005763-index.html,https://www.sec.gov/Archives/edgar/data/717720/000143774916035289/valu20160430_10k.htm,https://www.sec.gov/Archives/edgar/data/717720/000143774917013113/0001437749-17-013113-index.html,https://www.sec.gov/Archives/edgar/data/717720/000143774918013821/0001437749-18-013821-index.html,https://www.sec.gov/Archives/edgar/data/717720/000143774919014729/valu20190430_10k.htm,https://www.sec.gov/Archives/edgar/data/717720/000143774920015851/0001437749-20-015851-index.htm,https://www.sec.gov/Archives/edgar/data/717720/000143774921017788/0001437749-21-017788-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
