,https://roic.ai/company/HAS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14220000,-422560000,71173000,-108845000,28690000,-86616000,-112366000,-227808000,-149923000,-50376000,180113000,-211450000,210823000,-159500000
79,Inventory,- -,- -,- -,- -,-25900000,14900000,23800000,-15200000,-34100000,28700000,-64700000,43000000,40700000,-44600000,-44200000,69657000,109002000,38783000,34846000,-15838000,10677000,-17623000,-44267000,-69871000,105329000,-151634000,17463000,22546000,-37511000,-28944000,-99353000,-12065000,-25301000,-37211000,-4631000,62757000,-173900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56143000,- -,- -,- -,-22362000,140092000,-957000,149663000,203783000,-80461000,107426000,62277000,49288000,313200000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,488800000,488800000,555600000,655800000,570400000,423700000,60400000,340401000,610000000,464700000,579200000,569600000,919500000,812422000,1000500000,914114000,1229144000,1502200000,1311400000,1547800000,1117200000,1644200000,1800951000,1609748000,2382229000,1808180000,5490439000,1443304000,-73100000
82,Other Non-Cash Items,- -,- -,- -,- -,-100000,25600000,-23300000,-47200000,-574600000,-12300000,-115800000,-150300000,368200000,-104000000,327200000,-169345000,-221420000,599860000,-4942000,-8698000,-221476000,25996000,-113382000,146452000,-654348000,-507769000,31459000,-233039000,314768000,-719938000,-288846000,163333000,-820481000,770950000,-3829112000,4068861000,-529400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,185000000,161600000,120100000,229800000,217200000,283800000,227400000,280000000,543800000,126600000,391500000,162556000,372475000,473139000,454155000,358506000,496624000,320647000,601794000,593185000,265623000,367981000,396069000,534796000,401132000,454411000,552445000,774873000,724378000,645997000,653061000,976340000,817900000
84,CAPEX,- -,- -,- -,- -,-42300000,-36200000,-399400000,-90400000,-99800000,-110900000,-100600000,-101900000,-99400000,-809700000,-107500000,-125055000,-50045000,-58661000,-63070000,-79239000,-70584000,-82103000,-91532000,-117143000,-104129000,-112597000,-99402000,-112091000,-112031000,-113388000,-142022000,-154900000,-134877000,-140426000,-133636000,-125754000,-132700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,-154757000,-371482000,- -,- -,- -,-110698000,64400000,- -,-12436000,- -,-155451000,-8761000,-4412948000,378500000
86,Purchases of Investments,- -,- -,- -,- -,- -,-8600000,- -,-144000000,-141400000,-192400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-941120000,-43700000,-42000000,-18000000,- -,-11585000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,144000000,141800000,59300000,1700000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,941120000,43700000,42000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79990000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-73900000,3200000,-5000000,-3600000,-26600000,-200000,-110400000,-25700000,-169900000,17000000,-321600000,-55655000,-7734000,-3653000,-1809000,-5728000,-50087000,-1501000,-2933000,-20000,-3898000,8409000,3372000,5919000,4986000,48503000,38375000,28945000,3396000,9400000,1452000,38471000,-3800000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-116200000,-41600000,-404400000,-94000000,-126000000,-244200000,-209300000,-127300000,-269300000,-792700000,-429100000,-180710000,-57779000,-62314000,-64879000,-84967000,-120671000,-83604000,-112465000,-271920000,-497509000,-104188000,-107615000,-106172000,-217743000,-485000,-103647000,-138391000,-131481000,-286477000,-60955000,-4500231000,242000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-135737000,- -,-186000,- -,- -,-215273000,-425000000,- -,- -,-350000000,- -,-8828000,-284131000,-1225700000
91,Common Stock Issued,- -,- -,- -,- -,10900000,1000000,17500000,16300000,9700000,- -,6700000,17700000,37300000,58400000,50400000,2523000,8391000,3100000,39892000,25836000,45278000,86257000,82661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,975185000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-35800000,- -,- -,- -,-31200000,-15200000,-83700000,-134900000,-179000000,-237500000,-367548000,- -,- -,-3378000,- -,-48030000,-456744000,-784349000,-360244000,-88112000,-639563000,-423008000,-98005000,-103488000,-459564000,-87224000,-150075000,-151311000,-250054000,-61387000,-47399000,- -
93,Dividends Paid,- -,- -,- -,- -,-10400000,-11000000,-13100000,-16500000,-20100000,-23700000,-27200000,-33000000,-39700000,-42300000,-45500000,-42494000,-20709000,-20772000,-20851000,-37088000,-58901000,-75282000,-94097000,-107065000,-111458000,-133048000,-154028000,-225464000,-156129000,-216855000,-225797000,-248881000,-276973000,-309258000,-336604000,-372652000,-374500000
94,Other Financing Activites,- -,- -,- -,- -,-21700000,-66600000,117200000,-123000000,-20800000,-34900000,38100000,3400000,11800000,654500000,378200000,279678000,-190343000,-141665000,-388970000,-64572000,-96988000,-21510000,361868000,145655000,436349000,602202000,201351000,104090000,133881000,870463000,-33436000,65898000,466111000,-177789000,2242207000,1110131000,140400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-21200000,-112400000,121600000,-123200000,-31200000,-89800000,2400000,-95600000,-125500000,491600000,145600000,-127841000,-202661000,-159337000,-373307000,-75824000,-158641000,-467279000,-433917000,-457391000,236779000,-170595000,-375685000,-219379000,-341009000,-230956000,-346457000,-333058000,-312173000,-737101000,2810573000,405949000,-1459800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1100000,3600000,-5900000,-7300000,300000,900000,3600000,800000,-6200000,-9600000,-5600000,-7049000,-6055000,10789000,9406000,6540000,-46000,3368000,3646000,-7942000,762000,-1447000,1123000,-1232000,-9632000,-12252000,-18758000,2111000,18225000,-21282000,-4681000,-12751000,-30600000
97,Net Change In Cash,- -,- -,- -,- -,-21200000,-112400000,121600000,-123200000,-31200000,-89800000,2400000,-95600000,-125500000,491600000,102500000,-153044000,105980000,262277000,25375000,204255000,217266000,-226868000,59058000,-144068000,5655000,91751000,-86108000,208013000,-167252000,210718000,83583000,305535000,298949000,-398863000,3397998000,-3130693000,-430500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280200000,127115000,233095000,495372000,520747000,725002000,942268000,715400000,774458000,630390000,636045000,727796000,641688000,849701000,682449000,893167000,976750000,1282285000,1581234000,1182371000,4580369000,1449676000,1019200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,231800000,278200000,289300000,120600000,126000000,186300000,137000000,161000000,219000000,361800000,177700000,280159000,127115000,233095000,495372000,520747000,725002000,942268000,715400000,774458000,630390000,636045000,727796000,641688000,849701000,682449000,893167000,976750000,1282285000,1581234000,1182371000,4580369000,1449700000
100,Free Cash Flow,- -,- -,- -,- -,142700000,125400000,-279300000,139400000,117400000,172900000,126800000,178100000,444400000,-683100000,284000000,37501000,322430000,414478000,391085000,279267000,426040000,238544000,510262000,476042000,161494000,255384000,296667000,422705000,289101000,341023000,410423000,619973000,589501000,505571000,519425000,850586000,685200000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46080/000004608095000005/0000046080-95-000005-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46080/000091205702012556/a2073921z10-k405.htm,https://www.sec.gov/Archives/edgar/data/46080/000104746903010819/a2105770z10-k.htm,https://www.sec.gov/Archives/edgar/data/46080/000104746904007655/a2130162z10-k.htm,https://www.sec.gov/Archives/edgar/data/46080/000104746905005891/a2152676z10-k.htm,https://www.sec.gov/Archives/edgar/data/46080/000095013506001133/b58828hce10vk.htm,https://www.sec.gov/Archives/edgar/data/46080/000095013507001259/b63637hoe10vk.htm,https://www.sec.gov/Archives/edgar/data/46080/000095013508001244/b68106hie10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/b84226e10vk.htm,https://www.sec.gov/Archives/edgar/data/46080/000119312512072846/0001193125-12-072846-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312513080002/0001193125-13-080002-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312514069828/d635020d10k.htm,https://www.sec.gov/Archives/edgar/data/46080/000119312515064946/d873185d10k.htm,https://www.sec.gov/Archives/edgar/data/46080/000119312516475520/0001193125-16-475520-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312517052143/0001193125-17-052143-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312518058659/0001193125-18-058659-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312519052025/0001193125-19-052025-index.html,https://www.sec.gov/Archives/edgar/data/46080/000004608020000028/0000046080-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/46080/000004608021000035/0000046080-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/46080/000004608022000023/0000046080-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
