,https://roic.ai/company/WDFC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,4300000,6000000,6300000,6800000,6700000,7800000,7100000,8300000,13100000,12800000,15100000,14500000,14100000,15900000,35800000,32158000,111415000,131867000,131454000,124357000,124187000,112744000,114914000,106681000,89670000,92584000,78551000,115408000,143557000,178265000,181399000,199273000,230330000,161570000,157187000,202324000,229821000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8900000,15000,16000,16000,17000,17000,17000,17000,18000,18000,18000,18000,19000,19000,19000,19000,20000,20000,20000,20000,20000,20000,20000
64,Retained Earnings,27100000,30900000,30800000,34100000,35500000,35700000,38000000,39700000,41400000,36400000,38300000,40400000,42400000,44300000,46400000,42507000,40117000,48699000,64068000,76152000,89983000,103335000,118260000,128627000,138367000,157805000,176008000,193265000,214034000,237596000,260683000,289642000,315764000,351266000,374060000,398731000,430735000
65,Other Comprehensive Income/Loss,-700000,-900000,-1000000,-1200000,-1500000,-2000000,-1900000,-2300000,-2300000,-2700000,-3000000,-3200000,-3700000,-3800000,-3800000,-3800000,-4843000,-5991000,512000,1659000,2102000,5083000,7504000,2766000,-2101000,-4334000,-358000,-2727000,-5043000,1103000,-8722000,-27298000,-28075000,-27636000,-32482000,-28208000,-26030000
66,Other Total Stockholders Equity,2200000,2500000,3000000,3600000,3800000,5300000,4600000,7800000,6600000,8400000,9200000,10000000,12600000,14500000,4700000,14070000,19931000,40454000,40607000,34590000,37964000,47296000,42490000,32581000,36663000,43035000,25557000,-5095000,-29503000,-69303000,-94123000,-121969000,-148322000,-168161000,-196123000,-210230000,-204343000
67,Total Stockholders Equity,28600000,32500000,32800000,36500000,37800000,39000000,40700000,45200000,45700000,42100000,44500000,47200000,51300000,55000000,56200000,52792000,55221000,83178000,105204000,112418000,130066000,155731000,168272000,163992000,172947000,196524000,201226000,185462000,179507000,169415000,157858000,140395000,139387000,155489000,145475000,160313000,200382000
68,Total Liabilities And Stockholders Equity,32900000,38500000,39100000,43300000,44500000,46800000,47800000,53500000,58800000,54900000,59600000,61700000,65400000,70900000,92000000,84950000,166636000,215045000,236658000,236775000,254253000,268475000,283186000,270673000,262617000,289108000,279777000,300870000,323064000,347680000,339257000,339668000,369717000,317059000,302662000,362637000,430203000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,32900000,38500000,39100000,43300000,44500000,46800000,47800000,53500000,58800000,54900000,59600000,61700000,65400000,70900000,92000000,84950000,166636000,215045000,236658000,236775000,254253000,268475000,283186000,270673000,262617000,289108000,279777000,300870000,323064000,347680000,339257000,339668000,369717000,317059000,302662000,362637000,430203000
