,https://roic.ai/company/APH,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,44200000,41300000,28500000,32400000,29900000,27400000,15100000,- -,- -,- -,- -,- -,102418000,108056000,115391000,141405000,167571000,168777000,223882000,200157000,218512000,241193000,278563000,246641000,371200000,358400000,504900000,598400000,467400000,622800000,635800000,209000000
58,Total Non-Current Liabilities,440500000,375100000,510800000,417800000,288300000,241400000,253300000,963000000,975500000,771700000,732549000,719410000,676012000,640336000,547535000,907375000,844744000,890338000,1009902000,953207000,1018152000,1618024000,1884767000,1678078000,3043500000,3171600000,3140400000,4381100000,3529400000,4086600000,4571100000,5852000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,514500000,465900000,616700000,518000000,398500000,345800000,350200000,1080300000,1099700000,917600000,975088000,922810000,911926000,857978000,825107000,1243305000,1292403000,1410819000,1644734000,1456366000,1673142000,2260439000,2773281000,3287956000,4089100000,4180000000,4775600000,5960500000,5980700000,6219300000,6875400000,8299000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000,42000,43000,44000,88000,89000,89000,181000,171000,174000,176000,163000,160000,158000,300000,300000,300000,300000,300000,300000,300000,- -
64,Retained Earnings,-38600000,-50500000,-41900000,-17100000,21200000,84100000,151600000,178400000,214900000,250500000,358386000,442096000,522440000,626430000,789741000,985317000,1142536000,1431635000,1467099000,1774625000,2260581000,2102497000,2210120000,2424372000,2453500000,2804400000,3122700000,2941500000,3028700000,3348400000,3705400000,4278000000
65,Other Comprehensive Income/Loss,-72100000,-94400000,-104600000,-116500000,-133600000,-150600000,-163100000,-169800000,-190000000,-206900000,-228999000,-251201000,-81219000,-64944000,-55078000,-77742000,-81084000,-43644000,-140591000,-100090000,-84757000,-120057000,-117004000,-54951000,-205800000,-349500000,-469000000,-201000000,-390200000,-430900000,-278100000,-286000000
66,Other Total Stockholders Equity,138300000,374200000,296200000,306900000,391000000,410600000,372000000,- -,- -,- -,- -,- -,-274282000,-238124000,-253147000,-218429000,-158547000,-123258000,22746000,71368000,144855000,189166000,336683000,489930000,659400000,783300000,1020900000,1249000000,1378200000,1612500000,1957300000,2368000000
