,https://roic.ai/company/PTC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207044000,197303000,173015000,176664000,183882000,197769000,218740000,250838000,228892000,238821000,279935000,315309000,326947000,369271000,368240000,400420000,446296000,487590000,385509000,416804000,482131000
52,Other Current Liabilities,1800000,3800000,6500000,21800000,20900000,32700000,62400000,106600000,150800000,385000000,416300000,331408000,123952000,94560000,103916000,136934000,140965000,126142000,192887000,210300000,191367000,202439000,172482000,141889000,120660000,212594000,185659000,236077000,197453000,194216000,210204000,239046000,235906000
53,Total Current Liabilities,2200000,4500000,7700000,27000000,28900000,44300000,82000000,146000000,187200000,419500000,457200000,362352000,359636000,315697000,297500000,332665000,344762000,346704000,430342000,566353000,491431000,452994000,469391000,481744000,528613000,626667000,617260000,654519000,678909000,735279000,638155000,680760000,779282000
54,Long-Term Debt,600000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,362500000,243125000,586875000,618125000,758125000,712406000,643268000,669134000,1005314000,1620406000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5378000,7019000,14389000,12220000,9966000,13273000,18610000,13237000,12611000,11852000,11123000,9661000,15546000
56,Deferred Tax Liabilities,- -,1100000,1200000,1500000,1000000,600000,800000,- -,- -,31800000,- -,- -,- -,229000,1555000,1527000,- -,- -,- -,30768000,29164000,22452000,25919000,31854000,42088000,36601000,42361000,13754000,17880000,5589000,41683000,12431000,4165000
57,Other Non-Current Liabilities,5400000,100000,- -,- -,- -,- -,- -,800000,400000,54100000,38300000,33989000,38500000,69105000,83477000,90239000,118017000,110641000,65464000,49927000,62658000,77295000,97293000,106057000,78634000,82649000,53386000,69952000,53142000,58445000,102495000,236324000,49693000
58,Total Non-Current Liabilities,6000000,1400000,1200000,1500000,1000000,600000,800000,800000,400000,85900000,38300000,33989000,38500000,69334000,85032000,91766000,118017000,110641000,65464000,80695000,97200000,106766000,337601000,512631000,373813000,719398000,732482000,855068000,796039000,719154000,824435000,1263730000,1689810000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215023000,208799000
