,https://roic.ai/company/EVI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52088,-80000,-80093,200000,-767612,-142135,-243,362164,69221,36727,-4582,-95046,-52258,-25715,-17570,-23355,-65446,-23540,-65110,-58021,-1563,-14945000,-14181000,-15521000,-4754000,-7642000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21666000,-66079000,-82435000,-37930000,-62500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,65000,11250,- -,- -,18000,10000,9063,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,- -,45000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3020,- -,- -,- -,- -,-293,-510,-115,- -,- -,- -,- -,- -,- -,- -,- -,-707000,-728000,-573000,-853000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,- -,- -,- -,- -,-350722,-667324,-562356,-562750,-281372,- -,- -,- -,-351687,-4220238,-2813494,-1406746,-1406746,-1040000,-1403000,-1619000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-200000,-300000,-300000,-500000,- -,- -,-320000,- -,400000,-480000,-480000,-360000,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25846000,71628000,112691000,24942000,53569000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-200000,-300000,-300000,-500000,- -,- -,-320000,- -,-200000,-415000,-468750,-363020,-800000,-332722,-657324,-553293,-563043,-281882,-115,- -,- -,-351687,-4220238,-2813494,-1406746,-1406746,9140000,3439000,27954000,-13561000,-9784000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-200000,-300000,-300000,-500000,- -,114767,50000,-23107,200000,17820,-606676,888445,349784,128110,-160135,1524587,1189712,-406679,1571218,600424,845642,-379080,-583680,3280080,-5315366,32925,-3215000,603000,3708000,4751000,-3732000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411924,50000,475508,1000000,982588,375912,1264357,1614141,1742251,1582116,3106703,4296415,3889736,5460954,6061378,6907020,6527940,5944260,9224340,3908974,3941899,727000,1330000,5038000,9789000,6057000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,200000,500000,300000,500000,200000,297157,- -,498615,800000,964768,982588,375912,1264357,1614141,1742251,1582116,3106703,4296415,3889736,5460954,6061378,6907020,6527940,5944260,9224340,3908974,3942000,727000,1330000,5038000,9789000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,600000,100000,500000,200000,200000,114767,420000,-23107,100000,1062820,-124553,1153739,771986,350706,372001,2010023,1752755,-124797,1571333,600424,845642,-27393,3636558,6093574,-3908620,1439671,2353000,10516000,-11704000,19691000,10870000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65312/000091068005000588/0000910680-05-000588-index.htm,https://www.sec.gov/Archives/edgar/data/65312/000091068006000960/f10ksb-06302006.htm,https://www.sec.gov/Archives/edgar/data/65312/000091068007000891/f10ksb063007_a.htm,https://www.sec.gov/Archives/edgar/data/65312/000091068008000648/f10ksb063008.htm,https://www.sec.gov/Archives/edgar/data/65312/000091068009000455/0000910680-09-000455-index.html,https://www.sec.gov/Archives/edgar/data/65312/000091068010000283/0000910680-10-000283-index.html,https://www.sec.gov/Archives/edgar/data/65312/000091068011000376/0000910680-11-000376-index.html,https://www.sec.gov/Archives/edgar/data/65312/000091431712001335/0000914317-12-001335-index.html,https://www.sec.gov/Archives/edgar/data/65312/000091431713001214/0000914317-13-001214-index.html,https://www.sec.gov/Archives/edgar/data/65312/000091431714001227/0000914317-14-001227-index.html,https://www.sec.gov/Archives/edgar/data/65312/000117494715001454/0001174947-15-001454-index.html,https://www.sec.gov/Archives/edgar/data/65312/000117494716003153/form10k-16337_evi.htm,https://www.sec.gov/Archives/edgar/data/65312/000117494717001325/0001174947-17-001325-index.html,https://www.sec.gov/Archives/edgar/data/65312/000117494718001160/0001174947-18-001160-index.html,https://www.sec.gov/Archives/edgar/data/65312/000117494719001060/form10k-22743_evi.htm,https://www.sec.gov/Archives/edgar/data/65312/000117494720000945/0001174947-20-000945-index.htm,https://www.sec.gov/Archives/edgar/data/65312/000117494721000839/0001174947-21-000839-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
