,https://roic.ai/company/HL-PB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162708000,-1780000,-2938000,-5890000,-7039000,-9137000,-10851000,-11156000,-6986000,-113375000,-286657000,-722453000,-7285000
91,Common Stock Issued,- -,- -,- -,- -,300000,100000,1500000,300000,111400000,65300000,1300000,21900000,23400000,100000,12142000,35000,5890000,2997000,105461000,1646000,262000,3896000,203677000,183504000,128334000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-200000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-313000,-209000,- -,- -,-693000,-469000,-2144000,-286000,-3740000,-1874000,-4440000,-2868000,-2694000,-2231000,-2745000,-4525000
93,Dividends Paid,- -,- -,- -,- -,-1400000,-1400000,- -,- -,-4100000,-8100000,-8100000,-8100000,-8100000,-8100000,-8050000,-6037000,- -,- -,- -,- -,-2900000,-690000,-552000,-7427000,- -,-4513000,-9414000,-17673000,-6543000,-4099000,-4291000,-4419000,-4528000,-4945000,-5466000,-9152000,-20672000
94,Other Financing Activites,- -,- -,- -,- -,42600000,-300000,-1400000,- -,- -,-50200000,34200000,3600000,-16000000,20900000,12534000,11619000,-50283000,-7038000,-8530000,-4673000,2376000,-3000000,- -,153542000,-4480000,52893000,5606000,-750000,488817000,53480000,-127000,7994000,9134000,106130000,327543000,714971000,-116000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,41300000,-1700000,100000,300000,107300000,7000000,27400000,17400000,-700000,12900000,16626000,5617000,-44393000,-4041000,96931000,-3027000,-262000,-107000,202916000,329619000,-38854000,45907000,-7215000,-26457000,474949000,36504000,-17143000,-12021000,-5248000,-14884000,33189000,-19379000,-32598000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4905000,-3783000,-5152000,-74000,1095000,-1515000,875000,-1107000,-530000
97,Net Change In Cash,- -,- -,- -,- -,41300000,-1700000,100000,300000,107300000,7000000,27400000,17400000,-700000,12900000,239000,-1346000,6187000,11982000,85845000,-52777000,-28152000,69570000,297245000,-336653000,68208000,178928000,-17143000,-75479000,21191000,-2510000,-54456000,14568000,16330000,-158725000,35063000,67406000,80180000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2719000,1373000,7560000,19542000,105387000,52610000,6308000,75878000,373123000,36470000,104678000,283606000,266463000,190984000,212175000,209665000,155209000,169777000,186107000,28414000,63477000,130883000,211063000
99,Cash at the Beginning of Period,- -,- -,- -,- -,300000,13100000,17000000,5600000,3300000,40000000,7300000,4000000,7200000,3800000,2480000,2719000,1373000,7560000,19542000,105387000,34460000,6308000,75878000,373123000,36470000,104678000,283606000,266463000,190984000,212175000,209665000,155209000,169777000,187139000,28414000,63477000,130883000
100,Free Cash Flow,- -,- -,- -,- -,-33300000,-1300000,-14100000,-13700000,-44100000,-71900000,-33500000,-11400000,-18800000,-20500000,-19694000,-20944000,-9852000,9016000,6442000,-28037000,-50831000,34149000,23961000,-53889000,91461000,130395000,-17655000,-44080000,-124092000,-39413000,-30998000,60540000,17840000,-42712000,-555000,89777000,111289000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719413/000143774920002531/0001437749-20-002531-index.htm,https://www.sec.gov/Archives/edgar/data/719413/000143774921003217/0001437749-21-003217-index.htm,https://www.sec.gov/Archives/edgar/data/719413/000143774922004164/0001437749-22-004164-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
