,https://roic.ai/company/SM,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,-1200000,-1200000,-1200000,-1400000,-1400000,-1400000,-1400000,-2100000,-2200000,-2200000,-2775000,-2795000,-2787000,-3150000,-2849000,-5691000,-5603000,-6284000,-6186000,-6247000,-6297000,-6382000,-6511000,-6663000,-6723000,-6772000,-7751000,-11144000,-11191000,-11254000,-2276000,-2393000
94,Other Financing Activites,-7800000,2400000,-11100000,3100000,-600000,8400000,24000000,-21000000,-3200000,-9700000,9001000,42000000,46657000,-4087000,25997000,-37693000,338469000,237307000,2585185000,2060141000,570320000,987550000,2000913000,1689736000,1872016000,2363291000,1577930000,405829000,484333000,1586314000,1431932000,2216199000
95,Cash Used/Provided by Financing Activities,-9000000,1200000,800000,4900000,-2000000,7000000,22600000,28100000,-7700000,-12100000,13025000,29080000,46260000,-3707000,1435000,-61093000,243558000,215126000,-42815000,-127496000,-141096000,618495000,422096000,130711000,740046000,166185000,1327189000,-12289000,-368673000,111769000,-235378000,-159831000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-9000000,1200000,800000,4900000,-2000000,7000000,22600000,28100000,-7700000,6400000,-7576000,-2503000,7038000,3673000,-8409000,8507000,-13461000,42046000,-37379000,4518000,-5572000,114117000,-113268000,276322000,-282128000,-102000,9354000,301571000,-235978000,-77955000,- -,332706000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,6619000,4116000,11154000,14827000,6418000,14925000,1464000,43510000,6131000,10649000,5077000,119194000,5926000,282248000,120000,18000,9372000,313943000,77965000,10000,10000,332716000
99,Cash at the Beginning of Period,1000000,400000,600000,10800000,14800000,10000000,1700000,3300000,7100000,7800000,14195000,6619000,4116000,11154000,14827000,6418000,14925000,1464000,43510000,6131000,10649000,5077000,119194000,5926000,282248000,120000,18000,12372000,313943000,77965000,10000,10000
100,Free Cash Flow,7200000,-3600000,9700000,6200000,3300000,-5000000,-3300000,-38400000,-13200000,500000,27026000,-43312000,-43014000,4083000,-31028000,138498000,-257995000,-189839000,-149219000,56777000,-171855000,-872561000,-591632000,-276625000,-1062776000,-523240000,-2260897000,-462859000,-615814000,-202783000,235286000,481610000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/893538/000114420406007665/v036350_10k.htm,https://www.sec.gov/Archives/edgar/data/893538/000110465907013545/a07-5298_110k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353808000013/form10k_123107.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353809000012/0000893538-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353810000011/0000893538-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/893538/000110465911010268/a11-3036_110k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353812000012/0000893538-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353813000011/0000893538-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353814000010/sm-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353815000011/sm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353816000122/0000893538-16-000122-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353817000013/0000893538-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353818000005/0000893538-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353819000012/0000893538-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353820000009/0000893538-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353821000008/0000893538-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353822000020/0000893538-22-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
