,https://roic.ai/company/PCH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,1400000,277500000,-41500000,-72500000,35100000,-30700000,-12400000,10600000,-32700000,21800000,37200000,-45978000,-31992000,745157000,-41051000,78023000,-54149000,117769000,123264000,141107000,-98838000,46886000,66747000,60000,12220000,97523000,74674000,-28095000,40675000,28242000,142905000,-50000000,105593000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,225500000,230000000,142800000,146800000,172200000,182900000,247600000,224800000,154900000,217500000,204600000,93912000,85076000,419766000,184957000,562143000,66716000,181985000,145774000,35231000,112045000,125244000,77115000,79981000,90252000,131372000,74014000,102117000,162659000,178894000,139068000,335263000,504886000
84,CAPEX,- -,- -,- -,- -,-142700000,-317700000,-267000000,-179500000,-201700000,-95300000,-160200000,-231400000,-149300000,-137200000,-247700000,-166422000,-50918000,-51614000,-79686000,-48900000,-105574000,-53684000,-90072000,-64079000,-15697000,-5215000,-5338000,-5636000,-10280000,-13261000,-18987000,-5866000,-12855000,-29880000,-39153000,-22693000,-75414000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3419000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-140700000,- -,-1100000,-9900000,-19000000,- -,-100400000,-48000000,-13600000,-13200000,-51700000,-4493000,-35284000,- -,-38091000,-71884000,- -,- -,- -,- -,-31843000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,220500000,- -,1000000,- -,11900000,- -,167000000,13500000,13800000,57500000,1500000,2356000,28500000,- -,- -,54275000,36136000,7305000,37321000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-32900000,-15200000,6000000,16900000,3600000,-8300000,-7700000,-27300000,-61300000,-10000000,53100000,1871000,-89270000,88895000,-13610000,-7301000,-6425000,-5270000,-100737000,-20677000,821000,-36430000,9841000,-3011000,-1724000,-369422000,4732000,99217000,-37165000,-21448000,43670000,-19499000,-20198000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-316300000,-112400000,-262100000,-171500000,-217100000,-91700000,-268300000,-139700000,-210700000,-146600000,-188800000,-167544000,-173116000,65781000,-131387000,-128085000,-57724000,-22818000,-183504000,-47435000,-46719000,-41645000,4503000,-8647000,-12004000,-382683000,-14255000,93351000,-50020000,-47909000,4517000,-42192000,-59145000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8338000,-129432000,-11000,-5011000,-21662000,-36663000,- -,-22500000,-113335000,-11000000,-220250000,-190000000,-46000000,-46366000
91,Common Stock Issued,- -,- -,- -,- -,1600000,1600000,1300000,2400000,1200000,500000,200000,700000,3000000,600000,1300000,861000,5627000,8146000,6856000,57547000,16137000,9016000,9950000,3902000,1839000,2156000,1430000,1075000,1904000,398000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-400000,-35600000,-38900000,- -,- -,- -,-11300000,-5000000,- -,-3300000,- -,-25892000,-10453000,- -,- -,-75352000,-1868000,- -,- -,- -,-81132000,- -,- -,- -,- -,- -,- -,-5956000,- -,- -,-25173000,-15364000,- -
93,Dividends Paid,- -,- -,- -,- -,-30700000,- -,- -,-41500000,-44200000,-45900000,-47100000,-48300000,-49500000,-50500000,-50400000,-49698000,-33108000,-17071000,-17217000,-92426000,-17503000,-165116000,-77460000,-80674000,-81132000,-81578000,-73921000,-50041000,-51868000,-57848000,-61017000,-60842000,-61931000,-146768000,-107722000,-107853000,-388241000
94,Other Financing Activites,- -,- -,- -,- -,116100000,-82500000,176200000,56300000,76000000,-43600000,77500000,-32300000,103600000,-15100000,33200000,148482000,122089000,-475124000,-44992000,-322371000,-8271000,-1441000,106528000,89152000,225178000,-105000,-1890000,8460000,-3020000,307819000,27000000,59324000,-1835000,195017000,184123000,44232000,33298000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,86600000,-116500000,138600000,17200000,33000000,-89000000,19300000,-84900000,57100000,-68300000,-15900000,73753000,84155000,-484049000,-55353000,-432602000,-11505000,-157541000,39018000,4042000,-64679000,-79538000,-79392000,-62168000,-89647000,250369000,-56517000,-120809000,-74766000,-172001000,-138772000,-124985000,-401309000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,86600000,-116500000,138600000,17200000,33000000,-89000000,19300000,100000,1300000,2700000,-200000,121000,-3885000,1498000,-1783000,1456000,-2513000,1626000,1288000,-8162000,647000,4061000,2226000,9166000,-11399000,-942000,3242000,74659000,37873000,-41016000,4813000,168086000,44432000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700000,9000000,11700000,11500000,11652000,7767000,8973000,7190000,8646000,6133000,7759000,9047000,885000,1532000,5593000,7819000,16985000,5586000,4644000,7886000,82584000,120457000,79441000,84254000,252340000,296772000
99,Cash at the Beginning of Period,- -,- -,- -,- -,-8900000,-13000000,-11900000,7300000,-200000,6800000,9000000,7600000,7700000,9000000,11700000,11531000,11652000,7475000,8973000,7190000,8646000,6133000,7759000,9047000,885000,1532000,5593000,7819000,16985000,5586000,4644000,7925000,82584000,120457000,79441000,84254000,252340000
100,Free Cash Flow,- -,- -,- -,- -,82800000,-87700000,-124200000,-32700000,-29500000,87600000,87400000,-6600000,5600000,80300000,-43100000,-72510000,34158000,368152000,105271000,513243000,-38858000,128301000,55702000,-28848000,96348000,120029000,71777000,74345000,79972000,118111000,55027000,96251000,149804000,149014000,99915000,312570000,429472000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1338749/000119312507038308/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338749/000119312508034507/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338749/000119312509042452/0001193125-09-042452-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000119312510033994/0001193125-10-033994-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000119312511043305/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338749/000133874912000006/0001338749-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000133874913000007/0001338749-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000133874914000007/pch10k2013.htm,https://www.sec.gov/Archives/edgar/data/1338749/000133874915000008/pch10k2014.htm,https://www.sec.gov/Archives/edgar/data/1338749/000133874916000089/0001338749-16-000089-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459017001760/0001564590-17-001760-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459018002349/0001564590-18-002349-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459019004862/0001564590-19-004862-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459020005284/0001564590-20-005284-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459021006637/0001564590-21-006637-index.htm,https://www.sec.gov/Archives/edgar/data/1338749/000095017022001428/0000950170-22-001428-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
