,https://roic.ai/company/PHM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-186900000,-107400000,-157500000,-124700000,-224800000,-258200000,-210025000,-648266000,-503137000,-1414294000,-2072588000,-1688571000,-1151972000,622359000,1114686000,396593000,-43181000,54891000,455223000,265064000,-346596000,-927768000,-897092000,-569030000,-50362000,-237741000,2988000,-1266398000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20802000,-17377000,-23671000,-23898000,75257000,65684000,-101403000,- -,- -,640685000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,615800000,726800000,787900000,935600000,1600729000,2241535000,2782013000,3547636000,4884909000,6281300000,7064539000,5793262000,5794589000,4257871000,4117263000,3962738000,4741812000,4649480000,4973162000,5653771000,6935698000,6849494000,7844249000,8326661000,9673607000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,122700000,186500000,105000000,-260100000,-253400000,-91300000,-827400000,-235100000,-323700000,-329500000,-845202000,-1385695000,-900942000,-1751882000,-3042989000,-2970618000,-1664079000,4588271000,2512292000,3319962000,1739852000,333578000,-278003000,387710000,-781696000,-1905501000,-2227382000,-204928000,-1007530000,-609372000,-1205965000,60267000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,169800000,227200000,175100000,-180700000,-77400000,-38400000,-73100000,-45200000,-131300000,11500000,23322000,-418796000,162200000,-301848000,-698280000,18704000,-267526000,1218255000,1220392000,738853000,580256000,17222000,760140000,881136000,309249000,-348129000,68270000,663077000,1449744000,1077545000,1784342000,1004021000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-158800000,-24700000,- -,- -,- -,-39120000,-75219000,-88887000,-98629000,-70116000,-18878000,-39252000,-15179000,-21238000,-13942000,-28899000,-48790000,-45440000,-39295000,-32051000,-59039000,-58119000,-58354000,-72781000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143000000,49000000,- -,- -,1749000000,- -,- -,- -,- -,-82000000,- -,-430000000,- -,- -,-164000000,-84004000,-111991000
86,Purchases of Investments,- -,- -,- -,- -,- -,-231000000,-128400000,-97900000,-688100000,- -,-70100000,-42200000,-14500000,- -,- -,- -,- -,- -,- -,- -,-31172000,-58229000,-217541000,-54619000,-35144000,-22890000,-4603000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,222700000,66600000,- -,1147700000,182400000,142100000,256100000,45400000,9300000,29400000,- -,- -,- -,- -,- -,- -,- -,- -,6777000,17414000,12603000,325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,142100000,166100000,-32700000,39400000,830000000,38800000,36700000,37100000,104800000,-2200000,-5185000,9824000,4626000,5023000,-123336000,-48224000,20972000,66240000,10776000,-37459000,-9168000,-89351000,9706000,-45977000,14376000,-30854000,-41192000,-50242000,-41942000,-62229000,-23943000,-12141000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,133800000,104300000,-130600000,499000000,1012400000,110800000,250600000,68000000,-44700000,2500000,-5185000,9824000,4626000,-34097000,-198555000,-25283000,-86886000,-221417000,-55944000,1693811000,-19455000,-93629000,9706000,-45977000,-67624000,-30854000,-471192000,-50242000,-41942000,-226229000,-107947000,-124132000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2227429000,-953044000,-321076000,-618800000,-512958000,-250631000,-364193000,-1605919000,-2854747000,-1656939000,-331826000,-765267000,-836893000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28784000,13537000,39672000,39493000,43959000,31248000,8350000,7862000,4543000,4782000,8668000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-16500000,- -,- -,- -,- -,-11700000,-99600000,-74700000,- -,- -,-66383000,- -,-4344000,-18304000,-14687000,-143246000,-122295000,-6245000,-5260000,-7384000,-4023000,-2836000,-961000,-127661000,-253019000,-442738000,-603206000,-916323000,-302473000,-285783000,-185529000,-908145000
93,Dividends Paid,- -,- -,- -,- -,- -,-2900000,-2900000,-6500000,-6600000,-6600000,-6500000,-6000000,-5200000,-6500000,-6900000,-6583000,-8110000,-9773000,-13612000,-25427000,-33550000,-40879000,-40997000,-41119000,- -,- -,- -,- -,-38382000,-75646000,-115958000,-124666000,-112748000,-104020000,-122350000,-130179000,-147834000
94,Other Financing Activites,- -,- -,- -,- -,- -,-312600000,-318700000,-34400000,-269600000,-756100000,-40600000,-175000000,111800000,60600000,-80700000,158233000,291704000,348643000,121286000,805787000,845944000,58645000,-448260000,-525818000,- -,- -,- -,171604000,19411000,50204000,763171000,2684526000,2853903000,1483162000,6399000,785359000,214313000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-332000000,-321600000,-40900000,-276200000,-762700000,-58800000,-280600000,31900000,54100000,-87600000,114051000,297131000,374198000,128863000,809632000,700396000,-96179000,-487640000,-567654000,-2230031000,-948399000,-323912000,-448157000,-659590000,-529092000,-159718000,350735000,-1029915000,-580270000,-733560000,-295616000,-1678559000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1994000,-46000,333000,-385000,-179000,-1841000,337000,-11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-332000000,-321600000,-40900000,-276200000,-762700000,-58800000,- -,- -,- -,-73600000,132188000,-111841000,541024000,-209076000,-87249000,694150000,-450976000,509019000,594953000,202970000,-387609000,-400319000,321689000,175569000,-287467000,-538701000,-52187000,-417080000,827532000,117756000,1380779000,-798670000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51700000,183985000,72144000,613168000,404092000,314634000,1002268000,551292000,1060311000,1655264000,1858234000,1470625000,1083071000,1404760000,1580329000,1292862000,754161000,723248000,306168000,1133700000,1251456000,2632235000,1833565000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,81800000,53500000,63400000,67000000,109000000,281500000,295200000,190500000,247300000,125300000,51797000,183985000,72144000,613168000,401883000,308118000,1002268000,551292000,1060311000,1655264000,1858234000,1483390000,1083071000,1404760000,1580329000,1292862000,775435000,723248000,306168000,1133700000,1251456000,2632235000
100,Free Cash Flow,- -,- -,- -,- -,- -,169800000,227200000,175100000,-180700000,-77400000,-38400000,-73100000,-45200000,-290100000,-13200000,23322000,-418796000,162200000,-340968000,-773499000,-70183000,-366155000,1148139000,1201514000,699601000,565077000,-4016000,746198000,852237000,260459000,-393569000,28975000,631026000,1390705000,1019426000,1725988000,931240000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822416/000095012402000710/0000950124-02-000710-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012403000575/0000950124-03-000575-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012404000578/0000950124-04-000578-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012405001416/0000950124-05-001416-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012406001106/0000950124-06-001106-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012407001049/0000950124-07-001049-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012408000805/0000950124-08-000805-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000119312509038910/0001193125-09-038910-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000119312510034418/0001193125-10-034418-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000119312511029989/0001193125-11-029989-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241612000010/0000822416-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241613000006/0000822416-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241614000010/0000822416-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241615000007/0000822416-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241616000048/0000822416-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241617000008/0000822416-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241618000009/0000822416-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241619000008/0000822416-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241620000007/0000822416-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241621000007/0000822416-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241622000007/0000822416-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
