,https://roic.ai/company/CAH,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122800000,99500000,79500000,85000000,93000000,96000000,110000000,111000000,96000000,85000000,82000000,90000000,89000000
77,Change in Working Capital,- -,- -,- -,- -,-5200000,7800000,8600000,129700000,112500000,29800000,236800000,252800000,240800000,289700000,803000000,421500000,1532400000,954700000,839000000,-2246700000,-350800000,66200000,-319100000,723500000,590900000,-1017900000,-434900000,389600000,-156000000,-356000000,1685000000,-2254000000,4869000000,-5464000000,-22000000,289000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-648800000,20600000,-457200000,-129000000,216000000,925000000,-870000000,-866000000,-665000000,-871000000,-751000000,82000000,-904000000
79,Inventory,- -,- -,- -,- -,-5800000,-42600000,-132400000,27800000,-232200000,-159000000,-148400000,-169400000,-459300000,-318500000,-926300000,-1517800000,-1071100000,-234400000,245500000,90100000,-368200000,217400000,613100000,-341800000,477400000,-664700000,-495000000,-370000000,142000000,-779000000,-1179000000,-673000000,-1211000000,-551000000,-409000000,-1584000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,749000000,451000000,1356500000,319000000,426000000,-196000000,1948000000,2815000000,564000000,2574000000,1864000000,-162000000,2325000000
81,Other Working Capital,- -,- -,- -,- -,76100000,83900000,92500000,222200000,334700000,364500000,601300000,854100000,1094900000,1384600000,2187600000,2609100000,4141500000,5096200000,5935200000,3688500000,3337700000,3403900000,3084800000,3808300000,4399200000,3381300000,2946400000,3336000000,3180000000,2824000000,4509000000,2255000000,7124000000,1660000000,1638000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,2900000,-53200000,-136000000,-57400000,-228100000,-149800000,-279500000,-461900000,-504600000,-766200000,-1218000000,-836900000,-2087900000,-1443500000,-93100000,3583300000,1066700000,-1108000000,122400000,-899500000,426900000,932700000,-26100000,492400000,933000000,901000000,-980000000,1046000000,-2462000000,5824000000,5636000000,161000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,17700000,-23400000,-93800000,106500000,-74900000,10500000,122200000,39200000,143100000,345700000,638200000,871700000,983900000,1398000000,2624700000,2850200000,2140300000,1223100000,1512100000,1567300000,2134100000,1394600000,1176000000,1727000000,2524000000,2540000000,2971000000,1184000000,2768000000,2722000000,1960000000,2429000000
84,CAPEX,- -,- -,- -,- -,-3800000,-10900000,-8900000,-5300000,-11300000,-43000000,-73100000,-75200000,-114700000,-467400000,-307800000,-341200000,-285400000,-423200000,-410200000,-571700000,-443200000,-357400000,-376100000,-533400000,-255800000,-291300000,-263000000,-195000000,-249000000,-300000000,-465000000,-387000000,-384000000,-328000000,-375000000,-400000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67500000,-364300000,-383800000,-26800000,-2089700000,-273200000,-362200000,-1629800000,-514900000,-5300000,-32000000,-2299500000,-174000000,-2239000000,-519000000,-503000000,-3614000000,-132000000,-6142000000,-82000000,- -,-3000000
86,Purchases of Investments,- -,- -,- -,- -,-2900000,-69100000,-100700000,-330400000,-115200000,-146600000,-163700000,-3400000,- -,- -,-7700000,- -,- -,- -,- -,-99800000,-398600000,- -,- -,- -,- -,-155600000,-35000000,-12000000,-129000000,-342000000,-200000000,-194000000,-9000000,-18000000,-20000000,-22000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,2200000,52700000,120000000,294100000,187200000,124100000,218000000,57700000,- -,- -,56000000,- -,- -,- -,- -,- -,- -,366500000,132000000,- -,270700000,715400000,92000000,71000000,47000000,243000000,186000000,305000000,65000000,3000000,886000000,47000000
88,Other Investing Activites,- -,- -,- -,- -,100000,-26600000,-16000000,100000,1100000,-16500000,-35400000,3000000,2500000,57800000,39700000,72100000,18300000,106300000,62900000,67300000,16800000,3157900000,32600000,-4200000,144200000,3000000,3000000,- -,- -,53000000,13000000,3000000,862000000,763000000,2000000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4400000,-53900000,-5600000,-41500000,61800000,-82000000,-54200000,-17900000,-112200000,-409600000,-287300000,-633400000,-650900000,-343700000,-2437000000,-877400000,-1187200000,1537200000,-726400000,-542900000,127100000,-2028000000,-377000000,-2375000000,-850000000,-849000000,-4080000000,-405000000,-5608000000,338000000,493000000,-378000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-304600000,-1551900000,-228600000,- -,-305000000,-2000000,-1221000000,-6000000,-310000000,-954000000,-1102000000,-1399000000,- -
91,Common Stock Issued,- -,- -,- -,- -,1200000,51600000,500000,2300000,5300000,18100000,28600000,41200000,50900000,62000000,87200000,252100000,140000000,197300000,216700000,110500000,240800000,552600000,227900000,39300000,40000000,63000000,42000000,121000000,227000000,72000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1000000,- -,-200000,-700000,-20700000,-600000,-1100000,-2000000,-3100000,-40100000,-334200000,-139400000,-308300000,-1191700000,-1500000000,-500300000,-1499900000,-3662000000,-1181600000,- -,-230200000,-269800000,-450000000,-450000000,-673000000,-1036000000,-651000000,-600000000,-550000000,-600000000,-350000000,-200000000
93,Dividends Paid,- -,- -,- -,- -,- -,-1000000,-1400000,-1600000,-4000000,-4900000,-7600000,-9100000,-11500000,-56700000,-28000000,-36600000,-45000000,-44800000,-52300000,-51700000,-101800000,-144400000,-173100000,-200400000,-253100000,-274200000,-300000000,-353000000,-415000000,-460000000,-512000000,-577000000,-581000000,-577000000,-569000000,-573000000
94,Other Financing Activites,- -,- -,- -,- -,-12200000,77100000,46300000,-2100000,26200000,44600000,135300000,-112600000,-5300000,-107000000,243300000,32600000,328200000,326900000,519900000,-1215600000,328700000,615000000,323600000,-2500000,1267700000,517000000,254000000,1262000000,153000000,2705000000,30000000,5233000000,-191000000,-14000000,118000000,-544000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-12000000,127700000,45200000,-2100000,6800000,57200000,155200000,-82500000,31000000,-141800000,-31700000,108700000,114900000,-712300000,-815700000,-1657100000,-1032200000,-2638800000,-803200000,-468200000,-727500000,-192600000,-454000000,275000000,-710000000,60000000,-1139000000,3746000000,-2276000000,-2293000000,-2200000000,-1317000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-2000000,4000000,1000000,-13000000,11000000
97,Net Change In Cash,- -,- -,- -,- -,-12000000,127700000,45200000,-2100000,6800000,57200000,155200000,-82500000,31000000,-208100000,319200000,347000000,447900000,342000000,-628000000,315700000,-79100000,121500000,-17500000,556200000,1533700000,-826000000,345000000,-373000000,964000000,1751000000,-2260000000,4523000000,-5116000000,768000000,240000000,636000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165200000,504600000,934100000,1382000000,1724000000,1096000000,1411700000,1320900000,1308800000,1291300000,1847500000,2755300000,1929300000,2274000000,1901000000,2865000000,4616000000,2356000000,6879000000,1763000000,2531000000,2771000000,3407000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6200000,7500000,57900000,3700000,61200000,54900000,64600000,304300000,243100000,373300000,185400000,587100000,934100000,1382000000,1724000000,1096000000,1400000000,1187300000,1308800000,1291300000,1221600000,2755300000,1929000000,2274000000,1901000000,2865000000,4616000000,2356000000,6879000000,1763000000,2531000000,2771000000
100,Free Cash Flow,- -,- -,- -,- -,13900000,-34300000,-102700000,101200000,-86200000,-32500000,49100000,-36000000,28400000,-121700000,330400000,530500000,698500000,974800000,2214500000,2278500000,1697100000,865700000,1136000000,1033900000,1878300000,1103300000,913000000,1532000000,2275000000,2240000000,2506000000,797000000,2384000000,2394000000,1585000000,2029000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/721371/000095015295002183/0000950152-95-002183-index.html,https://www.sec.gov/Archives/edgar/data/721371/000095015296004334/0000950152-96-004334-index.html,https://www.sec.gov/Archives/edgar/data/721371/000095015297006910/0000950152-97-006910-index.html,- -,https://www.sec.gov/Archives/edgar/data/721371/000095015299007328/0000950152-99-007328-index.html,https://www.sec.gov/Archives/edgar/data/721371/000095015200006483/0000950152-00-006483-index.html,- -,https://www.sec.gov/Archives/edgar/data/721371/000095015202007264/0000950152-02-007264-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/721371/000119312506184453/d10k.htm,https://www.sec.gov/Archives/edgar/data/721371/000095015207007107/0000950152-07-007107-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312508184519/0001193125-08-184519-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312509182992/0001193125-09-182992-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312510198300/0001193125-10-198300-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312511233322/0001193125-11-233322-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137112000069/0000721371-12-000069-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137113000154/0000721371-13-000154-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137114000181/0000721371-14-000181-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137115000107/0000721371-15-000107-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137116000277/a16q4_10kx63016xform10-k.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137117000083/0000721371-17-000083-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137118000077/0000721371-18-000077-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137119000090/0000721371-19-000090-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137120000089/0000721371-20-000089-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137121000080/0000721371-21-000080-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
