,https://roic.ai/company/RAMP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16100000,10295000,-13024000,-947000,6678000,7733000,-497000,-13014000,-11161000,-22000000,-44411000,-20518000,-24828000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8215000,-23667000,46624000,-8888000,180000,-29142000,25529000,4302000,-14359000,25308000,24923000,-116000
81,Other Working Capital,- -,- -,- -,- -,- -,12200000,15300000,16700000,21100000,23000000,18500000,22800000,48400000,46300000,127100000,160038000,138127000,182555000,117450000,-9777000,-30630000,-41137000,25088000,45433000,204519000,203649000,229756000,206389000,236520000,416056000,166039000,152010000,138306000,181990000,1096958000,735011000,660466000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-400000,-6700000,700000,-13900000,-6600000,9100000,-8200000,-57000000,-18900000,-45000000,-126918000,-45390000,-12085000,135209000,171630000,-31136000,-27818000,-122706000,-15416000,-153198000,-15561000,-14772000,29695000,-62238000,-142451000,228001000,22029000,2409000,-87642000,-2550416000,339206000,6223000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,10300000,10100000,13000000,14000000,24600000,36900000,39300000,35100000,64200000,59400000,104558000,48101000,150605000,253793000,259883000,247014000,275833000,259952000,267806000,268841000,239282000,166219000,229451000,150132000,164976000,104984000,119965000,115830000,112153000,-460503000,-28782000,-20560000
84,CAPEX,- -,- -,- -,- -,- -,-16000000,-14100000,-7100000,-28800000,-27300000,-24400000,-39000000,-59800000,-55800000,-127700000,-120616000,-111486000,-14875000,-13212000,-22178000,-14330000,-6848000,-41668000,-54945000,-78249000,-84973000,-63576000,-56853000,-58370000,-63815000,-87628000,-62303000,-62470000,-57936000,-8642000,-11711000,-2182000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32960000,-16030000,-5331000,-14105000,-55591000,-95628000,-210236000,-33067000,-43398000,-15903000,-3428000,-14006000,-255000,- -,-500000,-265672000,-5386000,-121395000,-1478000,-2500000,-105365000,-76012000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,- -,-9700000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11800000,- -,8918000,- -,- -,1678000,2533000,3760000,2758000,3603000,2599000,- -,- -,370000,- -,3823000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-1400000,-1300000,200000,-100000,-3700000,-2700000,-7900000,-4300000,-22900000,-74200000,-4180000,3011000,-64781000,-41666000,-47258000,-20294000,3220000,-56687000,14250000,-52075000,-83915000,-76767000,3260000,-66940000,-71560000,-86664000,60650000,-37857000,-58843000,2230388000,7744000,-2182000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-17400000,-15400000,-6900000,-28900000,-31000000,-27100000,-46900000,-64100000,-78700000,-190100000,-157756000,-115587000,-84987000,-68983000,-123349000,-127719000,-210104000,-128664000,-80490000,-65379000,-89343000,-90773000,3375000,-66940000,-68237000,-352336000,55264000,-159252000,-60321000,2225388000,-97621000,-87894000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86772000,-104521000,-102101000,-154876000,-26871000,-235895000,-28421000,-87231000,-32243000,-227320000,-233293000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,700000,700000,1800000,2500000,1400000,12900000,2300000,4800000,6600000,24600000,84970000,26145000,11441000,18061000,22037000,44377000,58614000,33464000,47943000,10866000,5925000,9320000,12205000,11957000,80490000,5039000,10417000,15709000,8665000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-200000,-900000,-1200000,- -,- -,- -,- -,- -,- -,- -,-7478000,- -,-26734000,-64470000,-64152000,-233770000,-299301000,-50551000,-1756000,-306000,- -,-65535000,-74378000,-52663000,-9868000,-52764000,-30542000,-80219000,-628334000,-206712000,-52232000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3415000,-14649000,-17406000,-18174000,-9476000,-9312000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,5000000,5300000,-3300000,9500000,4000000,-20100000,5600000,23500000,10900000,300000,-20355000,39293000,-85492000,-176394000,-82076000,-95212000,130750000,182228000,-151059000,34000,-4790000,164000,-1636000,69000,306325000,4645000,3345000,72852000,217334000,20119000,4736000,8737000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,5700000,5800000,-2400000,10800000,5400000,-7200000,7900000,28300000,17500000,24900000,64615000,57960000,-74051000,-185067000,-127924000,-129636000,-61812000,-101783000,-163143000,-86940000,-103692000,-92617000,-209842000,-89223000,98257000,-28605000,-126233000,25776000,-81540000,-841508000,-201976000,-43495000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,100000,- -,-100000,- -,- -,-100000,- -,- -,- -,-97000,-222000,-67000,72000,254000,171000,-397000,566000,712000,-2017000,691000,90000,-309000,-643000,616000,-1619000,-377000,-1640000,1644000,-1922000,-468000,1010000
97,Net Change In Cash,- -,- -,- -,- -,- -,5700000,5800000,-2400000,10800000,5400000,2700000,300000,-800000,3000000,-105900000,11320000,-9748000,-8500000,-185000,8864000,-10170000,3520000,30071000,24885000,114505000,46938000,-17081000,22675000,-6674000,195612000,-277576000,48619000,-19286000,-28064000,921455000,-328847000,-150939000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,3400000,2700000,5700000,9600000,23924000,14176000,5676000,5491000,14355000,4185000,7705000,37776000,62661000,177166000,224104000,207023000,229648000,222974000,418586000,141010000,189629000,170343000,142279000,1061473000,732626000,581687000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,2700000,1300000,1900000,5700000,1500000,500000,3100000,3500000,2700000,115500000,12604000,23924000,14176000,5676000,5491000,14355000,4185000,7705000,37776000,62661000,177166000,224104000,206973000,229648000,222974000,418586000,141010000,189629000,170343000,140018000,1061473000,732626000
100,Free Cash Flow,- -,- -,- -,- -,- -,-5700000,-4000000,5900000,-14800000,-2700000,12500000,300000,-24700000,8400000,-68300000,-16058000,-63385000,135730000,240581000,237705000,232684000,268985000,218284000,212861000,190592000,154309000,102643000,172598000,91762000,101161000,17356000,57662000,53360000,54217000,-469145000,-40493000,-22742000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733269/000090451195000007/0000904511-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326996000003/0000733269-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326997000006/0000733269-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326998000006/0000733269-98-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/733269/000073326900000012/0000733269-00-000012-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326901500016/0000733269-01-500016-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326902000004/0000733269-02-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733269/000073326906000021/0000733269-06-000021-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326907000023/0000733269-07-000023-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000116923208002230/0001169232-08-002230-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326909000013/0000733269-09-000013-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326910000065/0000733269-10-000065-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326911000016/0000733269-11-000016-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326912000015/0000733269-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326913000012/0000733269-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326914000018/0000733269-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326915000018/0000733269-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326916000060/0000733269-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326917000039/0000733269-17-000039-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326918000016/0000733269-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326919000022/0000733269-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326920000028/0000733269-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326921000017/0000733269-21-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
