,https://roic.ai/company/TCI,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,-12200000,- -,-1800000,-8300000,-2165000,-4770000,-2768000,-37095000,-34555000,-99163000,-107547000,-66063000,-95731000,-124659000,-276137000,-79955000,-95289000,-183188000,-157313000,-68110000,-253450000,-263894000,-185094000,-402471000,-174947000,-201673000,-180950000,-83070000,-124616000,-77518000,-31736000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,53000,126000,- -,398000,- -,- -,- -,- -,- -,577000,- -,- -,1530000,- -,- -,937000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1400000,-100000,-1400000,-500000,- -,- -,-904000,-445000,-536000,-53000,-126000,-9490000,- -,- -,-3086000,- -,- -,-577000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-3600000,-3400000,- -,- -,- -,-267000,-1115000,-1090000,-6196000,-3036000,-4683000,-172000,-104000,- -,-263000,-210000,-288000,- -,- -,- -,- -,-1110000,-1113000,-1110000,-1005000,-900000,-900000,-900000,-900000,- -,- -,- -
94,Other Financing Activites,- -,- -,3500000,13300000,8000000,6100000,6054000,12136000,3954000,72788000,79515000,90272000,59380000,31399000,171718000,143711000,327063000,195548000,232808000,414548000,196282000,53456000,81492000,115886000,136146000,204312000,171608000,396285000,243013000,239965000,177301000,99559000,29430000,-103585000
95,Cash Used/Provided by Financing Activities,- -,- -,-13700000,9800000,4800000,-2700000,3889000,7099000,-833000,34158000,38428000,-11927000,-52850000,-44326000,76281000,19052000,47577000,115383000,137231000,230783000,39546000,-14654000,-171958000,-147588000,-50061000,-199269000,-3407000,193712000,61163000,155995000,51785000,22041000,-2306000,-103585000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-5339000,9057000,-8660000,23813000,-14228000,30761000,-18943000,-11977000,212000,-4124000,15411000,-16383000,-659000,6436000,-5256000,-318000,5594000,8732000,-3371000,3085000,-3885000,2970000,2335000,25199000,18223000,-23304000,3706000,-14246000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,563000,9620000,960000,24773000,10505000,41266000,22323000,10346000,10558000,6434000,21845000,5462000,4803000,11239000,5983000,5665000,11259000,19991000,16620000,16086000,12201000,15171000,17506000,42705000,106565000,83261000,86967000,72721000
99,Cash at the Beginning of Period,- -,- -,1700000,2100000,2600000,11800000,5902000,563000,9620000,960000,24733000,10505000,41266000,22323000,10346000,10558000,6434000,21845000,5462000,4803000,11239000,5983000,5665000,11259000,19991000,13001000,16086000,12201000,15171000,17506000,88342000,106565000,83261000,86967000
100,Free Cash Flow,- -,- -,600000,-4300000,-17700000,-3700000,-15492000,-8149000,-14546000,-53416000,-83571000,-41419000,-33539000,-20564000,-133036000,-74071000,-215372000,-210410000,-179974000,-18444000,-246290000,-83870000,-58665000,-76903000,-21119000,-66695000,-29382000,-50919000,8038000,-32484000,-181187000,-35747000,5631000,-10986000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733590/000119312504054077/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312505066975/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312506070210/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312507072162/0001193125-07-072162-index.html,https://www.sec.gov/Archives/edgar/data/733590/000119312508070802/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312509068876/0001193125-09-068876-index.html,https://www.sec.gov/Archives/edgar/data/733590/000119312510073303/0001193125-10-073303-index.html,https://www.sec.gov/Archives/edgar/data/733590/000119312511084653/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312512147343/d295176d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000101054913000233/0001010549-13-000233-index.htm,https://www.sec.gov/Archives/edgar/data/733590/000101054914000144/tci10k123113.htm,https://www.sec.gov/Archives/edgar/data/733590/000101054915000093/tci10k123114.htm,https://www.sec.gov/Archives/edgar/data/733590/000138713116004817/0001387131-16-004817-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713117001815/0001387131-17-001815-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713118001366/0001387131-18-001366-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713119002386/0001387131-19-002386-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713120003378/0001387131-20-003378-index.html,https://www.sec.gov/Archives/edgar/data/733590/000073359021000003/0000733590-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/733590/000073359022000003/0000733590-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
