,https://roic.ai/company/CRD-B,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7776000,-9207000,-13569000,-332000,-617000,-121000,-151461000,3677000,3381000,-6260000,-14803000,-10365000,-674000,-2515000,-4695000,-68259000,-3672000,-36029000,36687000,-2296000,9985000,-46398000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -,836000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,2200000,-23000000,100000,7300000,1100000,-24700000,-4800000,-3000000,1000000,-10300000,-6400000,-11722000,-7078000,-10613000,-12308000,-5296000,740000,-405000,345000,594000,-15023000,-14255000,-10347000,-17754000,-16976000,-15423000,-20775000,-18940000,-26793000,-16186000,-12436000,-22796000,-15203000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-8100000,-46000000,-16100000,-7400000,-8100000,-36400000,-17400000,-10500000,-11300000,-40400000,-36800000,-28830000,-28275000,-33371000,-23776000,-16579000,-14709000,-174606000,-19087000,-28036000,-31169000,-42531000,-34933000,-33803000,-33528000,-31767000,-101178000,-32966000,-81866000,6449000,-23420000,-27037000,-70826000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64167000,-42720000,-315955000,-92995000,-115284000,-99677000,-64010000,-121758000,-59723000,-135910000,-81041000,-169737000,-52738000
91,Common Stock Issued,- -,- -,- -,- -,700000,1200000,1100000,1300000,900000,600000,1000000,1600000,5300000,8400000,1500000,1302000,836000,578000,419000,731000,622000,1912000,736000,2036000,- -,477000,- -,520000,1884000,1270000,1320000,1743000,1154000,1387000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16900000,-9400000,-24300000,-37300000,-19800000,-13800000,-26598000,- -,- -,- -,- -,- -,- -,- -,- -,-1903000,-703000,- -,-2840000,-3631000,-3390000,-1240000,- -,-7422000,-10409000,-26210000,-2666000,-19134000
93,Dividends Paid,- -,- -,- -,- -,-9000000,-11900000,-13600000,-15600000,-17300000,-18900000,-19500000,-20100000,-21800000,-25100000,-26200000,-26939000,-27146000,-19428000,-11682000,-11706000,-11743000,-8869000,- -,- -,-274000,-218000,-5263000,-9880000,-8840000,-11717000,-13511000,-13565000,-13700000,-13528000,-13171000,-9645000,-12663000
94,Other Financing Activites,- -,- -,- -,- -,-400000,14800000,-7100000,-10900000,1700000,-1500000,-200000,-3000000,200000,9800000,16700000,30814000,-7816000,7751000,6886000,-11263000,-7703000,142743000,-17925000,-14256000,39789000,82684000,303254000,40277000,86739000,118046000,145330000,78429000,90034000,99721000,67016000,107679000,109192000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-8700000,4100000,-19600000,-25200000,-14700000,-36700000,-28100000,-45800000,-53600000,-26700000,-21800000,-21421000,-34126000,-11099000,-4377000,-22238000,-18824000,135786000,-17189000,-12220000,-26555000,39520000,-17964000,-64918000,-39132000,4532000,67889000,-55151000,10343000,-58739000,-53406000,-74369000,24657000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-800000,-300000,-400000,-100000,100000,- -,-1300000,-800000,-800000,-956000,-841000,972000,1768000,832000,-420000,929000,2173000,-8450000,3290000,30000,294000,-588000,-388000,-2868000,-4756000,-5244000,3208000,-1021000,293000,1082000,881000
97,Net Change In Cash,- -,- -,- -,- -,-8700000,4100000,-19600000,-25200000,-14700000,-36700000,-28100000,-45800000,-53600000,-47000000,9300000,4420000,-170000,9125000,10473000,-2234000,5870000,14826000,-10819000,22269000,-2770000,23186000,-15927000,-6456000,4796000,-23497000,23610000,5503000,-27558000,-892000,-1317000,-7146000,9033000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8400000,17700000,22136000,21966000,31091000,41564000,43571000,49441000,61674000,50855000,73124000,70354000,93540000,77613000,71157000,75953000,52456000,76066000,81569000,54011000,53119000,51802000,44656000,53689000
99,Cash at the Beginning of Period,- -,- -,- -,- -,45900000,59100000,34100000,53500000,57100000,40100000,39000000,40800000,55500000,55400000,8400000,17716000,22136000,21966000,31091000,45805000,43571000,46848000,61674000,50855000,73124000,70354000,93540000,77613000,71157000,75953000,52456000,76066000,81569000,54011000,53119000,51802000,44656000
100,Free Cash Flow,- -,- -,- -,- -,19700000,-6200000,39800000,21800000,26300000,60400000,34700000,63500000,53800000,-9200000,38200000,46295000,51082000,43434000,25722000,25085000,24495000,29977000,-4825000,38964000,26955000,-1612000,6778000,59677000,46831000,-22591000,28736000,69665000,-4154000,22399000,54092000,55798000,23367000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25475/000002547512000032/0000025475-12-000032-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547513000071/0000025475-13-000071-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547514000033/0000025475-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547515000033/0000025475-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547516000150/0000025475-16-000150-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547517000077/0000025475-17-000077-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547518000081/0000025475-18-000081-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547519000048/0000025475-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547520000048/0000025475-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000156459021010973/0001564590-21-010973-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000095017022003607/0000950170-22-003607-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
