,https://roic.ai/company/SCI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25240000,-284000,-12038000,20567000,47888000,81763000,-16699000,1788000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,120200000,45500000,106500000,276000000,578800000,-61700000,223019000,119351000,290616000,4377000,221584000,378427000,-169610000,-5113000,28728000,11946000,15291000,-57515000,-125905000,-248837000,-155152000,-210987000,-183474000,-347683000,-224368000,-183166000,-439782000,163181000
82,Other Non-Cash Items,- -,- -,- -,- -,-14900000,-9400000,-59500000,-1700000,-57500000,-192400000,-161800000,-303100000,-380700000,-573900000,899800000,1028117000,818167000,179896000,409515000,-387626000,169016000,636213000,-263210000,-70314000,34740000,-35201000,56675000,57043000,133307000,-268239000,89443000,59309000,242145000,-108685000,3249000,264927000,-1901000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,100900000,90600000,55100000,145500000,131000000,162400000,90700000,209900000,299400000,329600000,432900000,238655000,383335000,352172000,374108000,107805000,312658000,324219000,356182000,350181000,372070000,354379000,388112000,369246000,384709000,317355000,472186000,463595000,502340000,615830000,628755000,804351000,920608000
84,CAPEX,- -,- -,- -,- -,-26200000,-30300000,-38500000,-66800000,-59600000,-81100000,-125200000,-193200000,-230500000,-973000000,-314100000,-83370000,-74164000,-100045000,-116000000,-96007000,-99416000,-99527000,-157011000,-154101000,-83790000,-97899000,-118375000,-115628000,-113084000,-144499000,-150986000,-193446000,-214501000,-250070000,-51373000,-222211000,-303660000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224000000,-1218000000,402000000,24000000,-52000000,-208000000,-75000000,-55000000,-1044000000,409000000,-24000000,-21000000,-76000000,-195000000,-107000000,-42248000,-80686000
86,Purchases of Investments,- -,- -,- -,- -,-43900000,-44200000,-37500000,-47000000,-2400000,- -,- -,- -,-1495200000,-1233000000,-1917400000,- -,- -,- -,- -,- -,- -,- -,- -,-21741000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,20900000,24100000,25100000,30000000,- -,- -,- -,- -,1531600000,1200300000,1716100000,- -,- -,- -,- -,- -,- -,- -,158691000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-63600000,163500000,-110900000,-99000000,-212400000,-271400000,-719100000,-286900000,-439300000,-54200000,91400000,399404000,399574000,426970000,78578000,385806000,46643000,10426000,-17013000,-285000,-16695000,26189000,3118000,-4326000,291000,-12178000,7580000,-1686000,54616000,27549000,-120138000,-276123000,-334246000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-112800000,113100000,-161800000,-182800000,-274400000,-352500000,-844300000,-480100000,-633400000,-1059900000,-424000000,316034000,325410000,326925000,-37422000,289799000,171227000,-1307101000,386667000,-152127000,-152485000,-279710000,-190257000,-174954000,-1156793000,252323000,-167406000,-216132000,-235885000,-414621000,-278511000,-318371000,-414932000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-143799000,-297496000,-431238000,-89796000,-229045000,-118196000,-1022705000,-386198000,-944643000,-1637591000,-333410000,-1233076000,-78087000,-70775000
91,Common Stock Issued,- -,- -,- -,- -,98300000,2100000,3500000,2500000,4300000,363600000,335800000,- -,- -,- -,- -,- -,- -,- -,- -,10605000,7834000,5946000,52938000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-155100000,-18000000,-6600000,-1600000,- -,- -,- -,- -,- -,-45800000,- -,- -,- -,- -,-110258000,-225152000,-27870000,-505121000,-142155000,- -,-116878000,-197302000,-186766000,-1708000,-242874000,-345261000,-227928000,-199637000,-277611000,-129589000,-516870000,-554313000
93,Dividends Paid,- -,- -,- -,- -,-31500000,-30000000,-26300000,-29600000,-32900000,-36000000,-43700000,-55300000,-69900000,-88400000,-96800000,- -,- -,- -,- -,- -,-22637000,-29431000,-34629000,-41501000,-40195000,-40001000,-44795000,-60296000,-57229000,-71517000,-87570000,-98418000,-108750000,-123849000,-131402000,-137392000,-146919000
94,Other Financing Activites,- -,- -,- -,- -,-53200000,-39900000,168200000,63800000,163200000,59900000,272900000,312200000,406700000,1130000000,-124200000,-564463000,-727438000,-505482000,-300149000,-249982000,-86236000,616568000,-120718000,96945000,159261000,499931000,93227000,244595000,1002248000,799129000,480551000,1082059000,1809551000,405689000,1174974000,239571000,306387000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,13600000,-222900000,127400000,30100000,133000000,387500000,565000000,256900000,336800000,1041600000,-266800000,-564463000,-727438000,-505482000,-300149000,-349635000,-326191000,565213000,-607530000,-230510000,-178430000,-88186000,-238666000,-231512000,825115000,-537967000,-338478000,-188930000,-136427000,-329181000,-319093000,-492778000,-465620000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12100000,-131000,76000,-2282000,2269000,660000,1515000,1168000,1941000,-8599000,10193000,4618000,-1466000,1359000,-866000,-2284000,-10025000,1854000,5025000,-5045000,3885000,2788000,-111000
97,Net Change In Cash,- -,- -,- -,- -,13600000,-222900000,127400000,30100000,133000000,- -,- -,- -,- -,- -,-270000000,-9905000,-18617000,171333000,38806000,48354000,158997000,-406902000,128714000,-40197000,51348000,-8899000,-42277000,-35861000,52165000,35751000,-42736000,60387000,135053000,-133017000,35036000,-4010000,39945000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88200000,47909000,29292000,200625000,239431000,287785000,446782000,39880000,168594000,128397000,179745000,170846000,128569000,92708000,144873000,177335000,134599000,194986000,330039000,207584000,242620000,238610000,278555000
99,Cash at the Beginning of Period,- -,- -,- -,- -,35300000,36900000,17800000,38400000,31300000,20800000,218300000,57500000,44100000,46900000,358200000,57814000,47909000,29292000,200625000,239431000,287785000,446782000,39880000,168594000,128397000,179745000,170846000,128569000,92708000,141584000,177335000,134599000,194986000,340601000,207584000,242620000,238610000
100,Free Cash Flow,- -,- -,- -,- -,74700000,60300000,16600000,78700000,71400000,81300000,-34500000,16700000,68900000,-643400000,118800000,155285000,309171000,252127000,258108000,11798000,213242000,224692000,199171000,196080000,288280000,256480000,269737000,253618000,271625000,172856000,321200000,270149000,287839000,365760000,388798000,582140000,616948000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89089/000095012995000273/0000950129-95-000273-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89089/000095012905003137/h23508e10vk.htm,https://www.sec.gov/Archives/edgar/data/89089/000095012906002253/h33422e10vk.htm,https://www.sec.gov/Archives/edgar/data/89089/000095012907001051/h43626e10vk.htm,https://www.sec.gov/Archives/edgar/data/89089/000095012908001405/h54273e10vk.htm,https://www.sec.gov/Archives/edgar/data/89089/000095013409004094/0000950134-09-004094-index.html,https://www.sec.gov/Archives/edgar/data/89089/000095012310017351/0000950123-10-017351-index.html,https://www.sec.gov/Archives/edgar/data/89089/000095012311013833/h78443e10vk.htm,https://www.sec.gov/Archives/edgar/data/89089/000008908912000005/0000089089-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908913000003/0000089089-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908914000002/sci-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/89089/000008908915000001/sci-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/89089/000008908916000035/0000089089-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908917000006/0000089089-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908918000006/0000089089-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908919000005/0000089089-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908920000010/0000089089-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908921000012/0000089089-21-000012-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
