,https://roic.ai/company/ETN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-256000000,-175000000,-170000000,-172000000,-227000000,-267000000,-399000000,-347000000,-438000000,-483000000,-496000000,-386000000,-295000000,-228000000,-273000000,-330000000,-363000000,-360000000,-354000000,-448000000,-195000000,-394000000,-568000000,-593000000,-614000000,-632000000,-506000000,-497000000,-520000000,-565000000,-587000000,-389000000,-575000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1058000000,-143000000,-151000000,-387000000,-117000000,-1602000000,-115000000,-35000000,-153000000,-252000000,-627000000,-911000000,-191000000,-1314000000,-2782000000,14000000,-222000000,-325000000,-6936000000,768000000,284000000,-71000000,1000000,607000000,- -,-1216000000,1208000000,-1495000000
86,Purchases of Investments,- -,- -,- -,- -,-60300000,-85000000,-39000000,-86000000,-108000000,-7000000,-10000000,- -,- -,- -,- -,- -,-154000000,-135000000,-436000000,- -,-4000000,-418000000,- -,- -,-64000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,65400000,74000000,138000000,- -,22000000,252000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,606000000,- -,- -,247000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,12600000,-21000000,-17000000,18000000,-6000000,70000000,39000000,6000000,294000000,319000000,460000000,477000000,425000000,101000000,-8000000,18000000,10000000,-42000000,-39000000,-417000000,20000000,-396000000,93000000,-36000000,-970000000,-141000000,-504000000,-530000000,-824000000,-398000000,-650000000,-811000000,-269000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-238300000,-207000000,-88000000,-240000000,-319000000,-1010000000,-507000000,-492000000,-531000000,-281000000,-1638000000,-24000000,-59000000,-415000000,-969000000,-333000000,-1268000000,-1011000000,-1460000000,-3199000000,-225000000,-1012000000,-800000000,-6972000000,-202000000,143000000,-575000000,-529000000,-217000000,-398000000,-1866000000,397000000,-1764000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-989000000,-1311000000,-102000000,-65000000,-1324000000,-1096000000,-582000000,-1027000000,-653000000,-1554000000,-574000000,-507000000,-504000000,-1013000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,4000000,29000000,81000000,270000000,11000000,18000000,36000000,17000000,147000000,- -,37000000,45000000,409000000,138000000,68000000,108000000,141000000,1522000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-166600000,-150000000,- -,- -,- -,- -,-40000000,-63000000,-315000000,-349000000,-5000000,-417000000,-12000000,- -,- -,-250000000,-450000000,-386000000,-340000000,-100000000,- -,- -,-343000000,- -,- -,- -,-682000000,-730000000,-850000000,-1271000000,-1029000000,-1608000000,-122000000
93,Dividends Paid,- -,- -,- -,- -,-75400000,-75000000,-75000000,-76000000,-83000000,-91000000,-117000000,-124000000,-133000000,-126000000,-128000000,-127000000,-120000000,-123000000,-134000000,-163000000,-184000000,-220000000,-251000000,-320000000,-334000000,-363000000,-462000000,-512000000,-796000000,-929000000,-1026000000,-1037000000,-1068000000,-1149000000,-1201000000,-1175000000,-1219000000
94,Other Financing Activites,- -,- -,- -,- -,185600000,-82000000,121000000,-67000000,-112000000,295000000,44000000,-66000000,211000000,124000000,943000000,156000000,-581000000,-444000000,-194000000,-206000000,724000000,82000000,777000000,1716000000,584000000,204000000,489000000,7316000000,156000000,-619000000,468000000,700000000,1030000000,413000000,1243000000,29000000,1819000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-56400000,-307000000,50000000,-114000000,-114000000,474000000,-102000000,-235000000,-201000000,-334000000,957000000,-388000000,-676000000,-522000000,81000000,-481000000,158000000,-416000000,327000000,1829000000,-1061000000,-261000000,-381000000,5480000000,-1736000000,-2130000000,-2267000000,-1720000000,-2442000000,-2581000000,-1494000000,-3258000000,-535000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,-16000000,-15000000,20000000,-9000000,-25000000,-42000000,-28000000,11000000,43000000,-4000000,-15000000,-5000000
97,Net Change In Cash,- -,- -,- -,- -,-56400000,-307000000,50000000,-114000000,-114000000,-14000000,38000000,-34000000,31000000,27000000,1000000,3000000,30000000,-37000000,-14000000,24000000,25000000,4000000,28000000,46000000,152000000,-7000000,52000000,192000000,338000000,-134000000,-513000000,275000000,18000000,-278000000,87000000,68000000,-141000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,56000000,22000000,53000000,80000000,81000000,82000000,112000000,75000000,61000000,85000000,110000000,114000000,142000000,188000000,340000000,333000000,385000000,577000000,915000000,781000000,268000000,543000000,561000000,283000000,370000000,438000000,297000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,16400000,26000000,30000000,21000000,30000000,32000000,18000000,56000000,22000000,53000000,80000000,79000000,82000000,112000000,75000000,61000000,85000000,110000000,114000000,142000000,188000000,340000000,333000000,385000000,577000000,915000000,781000000,268000000,543000000,561000000,283000000,370000000,438000000
100,Free Cash Flow,- -,- -,- -,- -,48100000,343000000,-141000000,191000000,208000000,255000000,248000000,346000000,325000000,159000000,186000000,29000000,470000000,672000000,601000000,508000000,772000000,1071000000,807000000,968000000,1213000000,888000000,680000000,1071000000,1671000000,1246000000,1865000000,2055000000,2146000000,2093000000,2864000000,2555000000,1588000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551182/000155118213000005/0001551182-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118214000011/etn12312013form10-k.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/etn12312014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118216000041/0001551182-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118217000014/0001551182-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118218000074/0001551182-18-000074-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118219000045/0001551182-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118220000050/0001551182-20-000050-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118221000022/0001551182-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118222000004/0001551182-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
