,https://roic.ai/company/AN,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,10000000,6500000,3500000,4100000,142900000,356800000,2563200000,2865900000,1136400000,1034900000,574400000,648400000,180800000,266500000,468300000,355300000,336600000,98300000,387200000,229700000,213600000,159400000,78200000,117200000,-457700000,-1114400000,-838200000,-774100000,-689100000,-13200000,- -
82,Other Non-Cash Items,- -,- -,- -,4200000,11700000,24500000,-5900000,-158200000,-205900000,-4246400000,-1925500000,808200000,-399000000,659600000,-23100000,175300000,-188300000,-206800000,8600000,-159700000,2322300000,-267600000,77200000,-22100000,-78300000,63900000,-115300000,478100000,570000000,-330900000,-155300000,-23200000,-40100000,-34200000
83,Cash Provided by Operating Activities,- -,- -,- -,-3000000,-600000,9700000,10800000,24500000,489000000,-596700000,-71700000,-642600000,54500000,540100000,534100000,263900000,420700000,579900000,299100000,206900000,685400000,369500000,251800000,376400000,316600000,484100000,485100000,507200000,516000000,540100000,511000000,769200000,1207600000,1627700000
84,CAPEX,- -,- -,- -,-7500000,-13000000,-7300000,-5500000,-48900000,-203400000,-653100000,-1659300000,-1121400000,-148200000,-163600000,-163400000,-123500000,-133200000,-131500000,-176100000,-160200000,-117400000,-75500000,-161800000,-149100000,-177400000,-202700000,-209600000,-257800000,-249500000,-313400000,-400800000,-269300000,-156000000,-215700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-313300000,-92000000,-166500000,-49100000,-197900000,-15900000,-142700000,48400000,17400000,65700000,-60100000,-59300000,-134800000,-77800000,-163800000,-277600000,-260000000,27800000,106000000,110900000,8600000,-384000000
86,Purchases of Investments,- -,- -,- -,- -,-7600000,- -,- -,- -,- -,-300000000,-195500000,-88600000,-900000,-174900000,-61300000,-26900000,-17800000,-23900000,-6500000,-13700000,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,- -,-50000000,-5500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,9600000,- -,- -,- -,- -,402300000,94100000,116800000,91600000,20400000,221200000,79400000,22600000,13400000,13400000,22800000,13000000,5100000,1300000,- -,400000,- -,500000,- -,- -,- -,- -,- -,105400000,109400000
88,Other Investing Activites,- -,- -,- -,-3800000,-3400000,-5600000,-3400000,-22900000,-1050600000,554500000,1186700000,1984000000,389600000,366600000,11000000,125900000,-4200000,115900000,3300000,12200000,13900000,18600000,20400000,2200000,14000000,22700000,-3100000,26000000,19800000,57300000,49500000,42600000,18300000,35500000
89,Cash Used for Investing Activites,- -,- -,- -,-11300000,-14400000,-12900000,-8900000,-71800000,-1254000000,3700000,-574000000,890800000,18800000,-43500000,-159000000,5800000,-330500000,-42000000,-308600000,-90500000,-75100000,13900000,-200200000,-206200000,-297800000,-257800000,-376000000,-509400000,-489700000,-228300000,-295300000,-115800000,-73700000,-460300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-993800000,-81900000,-463200000,-1166100000,-1262800000,-1089900000,-2503900000,-2548000000,-1356700000,-2084000000,-415800000,-491000000,-1647200000,-574800000
91,Common Stock Issued,- -,- -,- -,30500000,11500000,- -,- -,241300000,574400000,552700000,- -,- -,- -,- -,- -,142200000,94200000,112800000,75700000,96600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-500000,- -,- -,-900000,- -,- -,- -,-136000000,-1158000000,-188900000,-256800000,-389900000,- -,-236800000,-237100000,-1380600000,-644200000,-58800000,-136100000,-524400000,-579800000,-575600000,-67300000,-487700000,-237300000,-514200000,-436000000,-100000000,-44700000,-367200000,-2318200000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-8500000,-6900000,2600000,-1500000,-41200000,70800000,-152800000,1426400000,531900000,-38200000,-196300000,62900000,-412600000,-13800000,-278000000,1120900000,411200000,520300000,-101900000,857600000,1567200000,1802700000,930400000,2888700000,2786200000,1835300000,2212600000,278400000,-124600000,1407700000,1216500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,21500000,4600000,2600000,-2400000,197000000,645200000,399900000,1290400000,-626100000,-227100000,-453100000,-327000000,-270400000,-156400000,-402300000,-184000000,-136400000,-532300000,-319900000,-130000000,-178700000,-35700000,-226800000,-102900000,900000,-35600000,-307400000,-237400000,-660300000,-606700000,-1676500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,21500000,4600000,2600000,-2400000,197000000,645200000,399900000,1290400000,-377900000,-153800000,43500000,48100000,-700000,-66200000,135600000,-193500000,-20000000,78000000,63500000,-78400000,-8500000,-16900000,-500000,6200000,-1300000,-9300000,4400000,-21700000,-6900000,527200000,-509100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396000000,82200000,128100000,176200000,170800000,107200000,243800000,52200000,32800000,111000000,173700000,95100000,86600000,69700000,69200000,75400000,74100000,64800000,69200000,49400000,42500000,569700000,60600000
99,Cash at the Beginning of Period,- -,- -,- -,8800000,16000000,5600000,3300000,10000000,183400000,341100000,129200000,773900000,236000000,84600000,128100000,171500000,173400000,108200000,245700000,52800000,33000000,110200000,173500000,95100000,86600000,69700000,69200000,75400000,74100000,64800000,71100000,49400000,42500000,569700000
100,Free Cash Flow,- -,- -,- -,-10500000,-13600000,2400000,5300000,-24400000,285600000,-1249800000,-1731000000,-1764000000,-93700000,376500000,370700000,140400000,287500000,448400000,123000000,46700000,568000000,294000000,90000000,227300000,139200000,281400000,275500000,249400000,266500000,226700000,110200000,499900000,1051600000,1412000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350698/000095014496001288/0000950144-96-001288-index.html,https://www.sec.gov/Archives/edgar/data/350698/000095014497001873/0000950144-97-001873-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350698/000095016801000660/0000950168-01-000660-index.html,- -,https://www.sec.gov/Archives/edgar/data/350698/000095014403002512/0000950144-03-002512-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014404002190/0000950144-04-002190-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014405001788/0000950144-05-001788-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014406001745/0000950144-06-001745-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014407001673/0000950144-07-001673-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014408001449/0000950144-08-001449-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014409001303/0000950144-09-001303-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000119312510033229/0001193125-10-033229-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000119312511035910/0001193125-11-035910-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069812000016/0000350698-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069813000021/0000350698-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069814000018/0000350698-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069815000045/0000350698-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069816000276/0000350698-16-000276-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069817000028/0000350698-17-000028-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069818000032/0000350698-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069819000047/0000350698-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069820000042/0000350698-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069821000031/0000350698-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069822000025/0000350698-22-000025-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
