,https://roic.ai/company/BAX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10456/000095013195000701/0000950131-95-000701-index.html,https://www.sec.gov/Archives/edgar/data/10456/000091205796004966/0000912057-96-004966-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013197001923/0000950131-97-001923-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013198001860/0000950131-98-001860-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013199001586/0000950131-99-001586-index.html,- -,https://www.sec.gov/Archives/edgar/data/10456/000095013101500106/0000950131-01-500106-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013102000882/0000950131-02-000882-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013103001306/0000950131-03-001306-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312504040579/0001193125-04-040579-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312505052405/0001193125-05-052405-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013706002686/c02804e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000095013707002905/n12610e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000095013708002771/c22852e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000095013709001173/0000950137-09-001173-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095012310015380/0000950123-10-015380-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095012311017190/c61460e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000119312512075661/0001193125-12-075661-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312513069609/0001193125-13-069609-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312514061654/d596470d10k.htm,https://www.sec.gov/Archives/edgar/data/10456/000119312515065871/d848964d10k.htm,https://www.sec.gov/Archives/edgar/data/10456/000119312516479471/0001193125-16-479471-index.html,https://www.sec.gov/Archives/edgar/data/10456/000156459017002240/0001564590-17-002240-index.html,https://www.sec.gov/Archives/edgar/data/10456/000156459018002954/0001564590-18-002954-index.html,https://www.sec.gov/Archives/edgar/data/10456/000156459019003727/0001564590-19-003727-index.html,https://www.sec.gov/Archives/edgar/data/10456/000162828020003693/0001628280-20-003693-index.html,https://www.sec.gov/Archives/edgar/data/10456/000162828021001867/0001628280-21-001867-index.htm,https://www.sec.gov/Archives/edgar/data/10456/000162828022003432/0001628280-22-003432-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,137000000,219000000,- -,388000000,446000000,40000000,591000000,441000000,-198000000,596000000,649000000,669000000,300000000,315000000,797000000,740000000,612000000,778000000,881000000,388000000,956000000,1396000000,1707000000,2014000000,2205000000,1420000000,2224000000,2326000000,2012000000,2497000000,968000000,4965000000,717000000,1624000000,1001000000,1102000000,1284000000
74,Depreciation and Amortization,134000000,285000000,- -,335000000,368000000,383000000,427000000,447000000,494000000,524000000,336000000,348000000,398000000,426000000,372000000,405000000,441000000,439000000,545000000,601000000,580000000,575000000,581000000,631000000,638000000,685000000,670000000,712000000,823000000,1005000000,759000000,800000000,761000000,785000000,789000000,823000000,890000000
75,Deferred Income Tax,- -,- -,- -,- -,9000000,-130000000,66000000,32000000,-172000000,30000000,-17000000,74000000,-1000000,-56000000,92000000,-170000000,116000000,72000000,106000000,-119000000,201000000,8000000,126000000,280000000,267000000,76000000,172000000,-17000000,-224000000,-78000000,-50000000,-302000000,211000000,-267000000,-310000000,-88000000,-146000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000000,140000000,120000000,119000000,130000000,150000000,159000000,126000000,115000000,107000000,115000000,122000000,130000000,146000000
77,Change in Working Capital,- -,418000000,- -,556000000,128000000,-446000000,528000000,-426000000,268000000,85000000,-817000000,278000000,278000000,350000000,-544000000,-840000000,404000000,626000000,309000000,115000000,-782000000,2409000000,383000000,-230000000,294000000,141000000,-155000000,708000000,-403000000,211000000,1737000000,-2216000000,612000000,-1359000000,1190000000,805000000,-161000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98000000,-167000000,-122000000,-229000000,-41000000,- -,-125000000,- -,- -,- -,- -,-65000000,-126000000,-170000000
79,Inventory,- -,- -,- -,- -,-42000000,-24000000,-94000000,-139000000,-167000000,112000000,-90000000,59000000,-102000000,-80000000,17000000,-114000000,-178000000,-269000000,-151000000,28000000,88000000,-35000000,-211000000,-163000000,-60000000,20000000,-315000000,-129000000,-311000000,-439000000,-118000000,80000000,76000000,-197000000,4000000,-162000000,-37000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000
81,Other Working Capital,463000000,881000000,- -,1437000000,1565000000,1119000000,1647000000,1221000000,1489000000,1574000000,757000000,1035000000,1313000000,1663000000,1119000000,279000000,683000000,1309000000,1618000000,1733000000,951000000,3360000000,3743000000,3513000000,3807000000,3948000000,3793000000,4501000000,4098000000,4309000000,6046000000,3830000000,4442000000,3083000000,4273000000,5078000000,-125000000
82,Other Non-Cash Items,-271000000,-922000000,- -,-1279000000,-333000000,949000000,-843000000,269000000,373000000,81000000,1185000000,-576000000,-359000000,-44000000,366000000,1079000000,-424000000,-722000000,-416000000,395000000,595000000,-2205000000,-492000000,-326000000,-635000000,561000000,-213000000,-753000000,840000000,-579000000,-1893000000,-1708000000,-571000000,1198000000,-688000000,-904000000,209000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,618000000,796000000,769000000,763000000,765000000,1316000000,1336000000,793000000,616000000,991000000,1083000000,1214000000,1149000000,1193000000,1425000000,1380000000,1550000000,2183000000,2305000000,2515000000,2909000000,3003000000,2817000000,3106000000,3198000000,3215000000,1647000000,1654000000,1837000000,2096000000,2104000000,1868000000,2222000000
84,CAPEX,- -,- -,- -,- -,-331000000,-367000000,-532000000,-537000000,-516000000,-502000000,-399000000,-398000000,-496000000,-596000000,-631000000,-648000000,-787000000,-848000000,-789000000,-558000000,-444000000,-526000000,-692000000,-954000000,-1014000000,-963000000,-960000000,-1161000000,-1525000000,-1898000000,-911000000,-719000000,-634000000,-681000000,-696000000,-709000000,-743000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62000000,-44000000,-294000000,-622000000,-331000000,-179000000,-345000000,-840000000,-492000000,-184000000,-20000000,-47000000,184000000,387000000,-99000000,-156000000,-319000000,-590000000,-408000000,-3837000000,356000000,50000000,-11000000,-676000000,-257000000,-418000000,-494000000,-10502000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,91000000,153000000,-193000000,-189000000,-139000000,159000000,91000000,-15000000,-23000000,3000000,75000000,-60000000,35000000,34000000,87000000,26000000,124000000,- -,- -,-894000000,-990000000,-945000000,-837000000,-1161000000,-1525000000,-1898000000,-911000000,-671000000,-634000000,-681000000,-682000000,-685000000,-698000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-240000000,-214000000,-725000000,-726000000,-655000000,-405000000,-352000000,-707000000,-1141000000,-924000000,-735000000,-1053000000,-1592000000,-1306000000,-886000000,-552000000,-367000000,-342000000,-305000000,-993000000,-1146000000,-1264000000,-1427000000,-1569000000,-5362000000,-1542000000,-861000000,-730000000,-1310000000,-938000000,-1100000000,-1179000000,-11200000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-950000000,-399000000,-567000000,-23000000,-22000000,-540000000,-1029000000,-3776000000,-1397000000,-1000000,-5000000,- -,-1407000000,-2823000000
91,Common Stock Issued,- -,- -,- -,- -,65000000,67000000,81000000,85000000,52000000,177000000,103000000,193000000,110000000,118000000,346000000,233000000,692000000,594000000,749000000,181000000,176000000,1521000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-7000000,-132000000,-109000000,-460000000,-124000000,-47000000,-500000000,-267000000,- -,- -,-184000000,-375000000,-288000000,-1169000000,-714000000,-18000000,- -,-737000000,-1855000000,-1986000000,-1216000000,-1453000000,-1583000000,-1480000000,-913000000,-550000000,- -,-292000000,-564000000,-2452000000,-1270000000,-500000000,-600000000
93,Dividends Paid,- -,- -,- -,- -,-201000000,-216000000,-231000000,-245000000,-278000000,-286000000,-306000000,-320000000,-316000000,-331000000,-338000000,-84000000,-341000000,-349000000,-346000000,-361000000,-359000000,-364000000,-704000000,-546000000,-632000000,-688000000,-709000000,-804000000,-1023000000,-1095000000,-910000000,-268000000,-315000000,-376000000,-423000000,-473000000,-530000000
94,Other Financing Activites,- -,- -,- -,- -,-375000000,-321000000,501000000,304000000,690000000,-774000000,-293000000,610000000,471000000,386000000,-269000000,106000000,406000000,1594000000,-440000000,-378000000,-1264000000,-543000000,588000000,1551000000,1235000000,992000000,1178000000,1191000000,4121000000,1272000000,4329000000,1633000000,941000000,230000000,2191000000,2035000000,12198000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-518000000,-602000000,242000000,-316000000,340000000,-930000000,-996000000,216000000,265000000,173000000,-445000000,-120000000,469000000,670000000,-751000000,-576000000,-1447000000,-123000000,-1971000000,-1931000000,-1012000000,-1716000000,-1137000000,-1115000000,1645000000,-1402000000,-357000000,-324000000,61000000,-2603000000,498000000,-345000000,8245000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,6000000,-7000000,2000000,12000000,-3000000,11000000,20000000,-17000000,-36000000,4000000,-6000000,-68000000,-23000000,30000000,-30000000,-68000000,-4000000,-74000000,25000000,1000000,-96000000,-124000000,-33000000,-57000000,-18000000,-79000000,-195000000,-27000000,5000000,-117000000,-5000000,57000000,-47000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,8000000,285000000,-296000000,244000000,-103000000,-27000000,3000000,587000000,-242000000,184000000,-268000000,1644000000,54000000,-408000000,655000000,-101000000,220000000,365000000,-537000000,192000000,-712000000,588000000,593000000,-1562000000,1497000000,401000000,-780000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,471000000,476000000,761000000,465000000,709000000,606000000,579000000,582000000,1169000000,927000000,1109000000,841000000,2485000000,2539000000,2131000000,2786000000,2685000000,2905000000,3270000000,2733000000,2925000000,2213000000,2801000000,3394000000,1832000000,3335000000,3736000000,2956000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,201000000,67000000,40000000,299000000,32000000,479000000,468000000,476000000,761000000,465000000,709000000,606000000,579000000,582000000,1169000000,925000000,1109000000,841000000,2485000000,2539000000,2131000000,2786000000,2685000000,2905000000,3270000000,2733000000,2925000000,2213000000,2801000000,3394000000,1838000000,3335000000,3736000000
100,Free Cash Flow,- -,- -,- -,- -,287000000,429000000,237000000,226000000,249000000,814000000,937000000,395000000,120000000,395000000,452000000,566000000,362000000,345000000,636000000,822000000,1106000000,1657000000,1613000000,1561000000,1895000000,2040000000,1857000000,1945000000,1673000000,1317000000,736000000,935000000,1203000000,1415000000,1408000000,1159000000,1479000000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10456/000095013195000701/0000950131-95-000701-index.html,https://www.sec.gov/Archives/edgar/data/10456/000091205796004966/0000912057-96-004966-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013197001923/0000950131-97-001923-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013198001860/0000950131-98-001860-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013199001586/0000950131-99-001586-index.html,- -,https://www.sec.gov/Archives/edgar/data/10456/000095013101500106/0000950131-01-500106-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013102000882/0000950131-02-000882-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013103001306/0000950131-03-001306-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312504040579/0001193125-04-040579-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312505052405/0001193125-05-052405-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013706002686/c02804e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000095013707002905/n12610e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000095013708002771/c22852e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000095013709001173/0000950137-09-001173-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095012310015380/0000950123-10-015380-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095012311017190/c61460e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000119312512075661/0001193125-12-075661-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312513069609/0001193125-13-069609-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312514061654/d596470d10k.htm,https://www.sec.gov/Archives/edgar/data/10456/000119312515065871/d848964d10k.htm,https://www.sec.gov/Archives/edgar/data/10456/000119312516479471/0001193125-16-479471-index.html,https://www.sec.gov/Archives/edgar/data/10456/000156459017002240/0001564590-17-002240-index.html,https://www.sec.gov/Archives/edgar/data/10456/000156459018002954/0001564590-18-002954-index.html,https://www.sec.gov/Archives/edgar/data/10456/000156459019003727/0001564590-19-003727-index.html,https://www.sec.gov/Archives/edgar/data/10456/000162828020003693/0001628280-20-003693-index.html,https://www.sec.gov/Archives/edgar/data/10456/000162828021001867/0001628280-21-001867-index.htm,https://www.sec.gov/Archives/edgar/data/10456/000162828022003432/0001628280-22-003432-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
