,https://roic.ai/company/MDT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,-3500000,-1400000,-11500000,-72600000,-109300000,-289200000,-655500000,-499600000,-86400000,-684200000,-258400000,-1390000000,-721000000,-416500000,-2684000000,-1805300000,-8064500000,-11837000000,-6433000000,-2960000000,-7478000000,-6249000000,-8080000000,-12321000000,-10895000000,-7582000000,-5406000000,-4371000000,-3200000000,-2532000000,-11039000000,-11808000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,14600000,12100000,93000000,158500000,465200000,866900000,103100000,651500000,268900000,923000000,941000000,545500000,1473200000,807500000,6626800000,10894000000,8557000000,2845000000,3791000000,6443000000,6104000000,10511000000,8111000000,5890000000,9924000000,5356000000,4227000000,4683000000,9574000000,11345000000
88,Other Investing Activites,- -,- -,- -,- -,-54300000,-6200000,-4100000,-25200000,-181000000,-12400000,-75800000,-99100000,-42300000,-30700000,-45000000,-118800000,-157700000,3700000,15500000,-45200000,100500000,-56000000,-87000000,-503000000,-149000000,-176000000,-21000000,-14000000,-29000000,89000000,-14000000,22000000,-22000000,36000000,-37000000,-54000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-113100000,-73400000,-78200000,-162800000,-258100000,-240000000,-429900000,78000000,-173800000,-1307200000,-376600000,-1025500000,-4381700000,-249600000,-1650800000,-1602900000,-2866600000,-1701000000,-2790000000,-2740000000,-4759000000,-1815000000,-2651000000,-3101000000,-3594000000,-17058000000,2245000000,-1571000000,5858000000,-774000000,-3203000000,-2866000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-933000000,-464000000,-2603000000,-24000000,-4914000000,-1866000000,-1418000000,-5271000000,-865000000,-7664000000,-8661000000,-6110000000,-10531000000
91,Common Stock Issued,- -,- -,- -,- -,50300000,14400000,17100000,17400000,16300000,21900000,24800000,44200000,54300000,1001000000,194000000,148700000,120500000,155900000,241400000,338900000,1034900000,331000000,403000000,416000000,165000000,85000000,96000000,267000000,1307000000,649000000,491000000,428000000,403000000,992000000,662000000,474000000
92,Common Stock Repurchased,- -,- -,- -,- -,-37500000,-4600000,-38300000,-142900000,-53400000,-59100000,-33600000,-476600000,-168200000,-377200000,-497400000,- -,-25600000,-418500000,-880500000,-511000000,-4663600000,-1039000000,-1544000000,-759000000,-1030000000,-1140000000,-1440000000,-1247000000,-2553000000,-1920000000,-2830000000,-3544000000,-2171000000,-2877000000,-1326000000,-652000000
93,Dividends Paid,- -,- -,- -,- -,-18900000,-23800000,-29300000,-33300000,-39000000,-47200000,-60400000,-90700000,-102900000,-131900000,-189500000,-240700000,-278800000,-304200000,-351500000,-404900000,-464800000,-504000000,-565000000,-843000000,-907000000,-969000000,-1021000000,-1055000000,-1116000000,-1337000000,-2139000000,-2376000000,-2494000000,-2693000000,-2894000000,-3120000000
94,Other Financing Activites,- -,- -,- -,- -,10500000,3000000,-10600000,6200000,9200000,-75300000,10800000,32000000,-11800000,64200000,50400000,-153700000,2349400000,-177000000,-19500000,88200000,5409900000,-1799000000,871000000,1274000000,3000000000,2621000000,507000000,4848000000,3310000000,19975000000,206000000,3074000000,-28000000,7808000000,5470000000,9693000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,4400000,-11000000,-61100000,-152600000,-66900000,-159700000,-58400000,-491100000,-228600000,556100000,-442500000,-245700000,2165500000,-743800000,-1010100000,-488800000,1316400000,-3011000000,-835000000,-845000000,764000000,-2006000000,-1882000000,-2101000000,-918000000,15949000000,-9543000000,-3283000000,-11954000000,-5431000000,-4198000000,-4136000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,100000,-200000,- -,100000,-100000,2100000,-200000,-4200000,-2300000,-1600000,-3000000,2200000,6400000,-25400000,-61300000,-89200000,104900000,-5000000,-60000000,-82000000,-7000000,62000000,-71000000,7000000,37000000,-353000000,113000000,65000000,114000000,-78000000,-86000000,215000000
97,Net Change In Cash,- -,- -,- -,- -,4400000,-11000000,-61100000,-152600000,-66900000,-159700000,-58400000,-491100000,-228600000,556100000,219900000,562500000,-619600000,1059400000,123600000,638500000,762100000,-1738000000,-196000000,211000000,129000000,-18000000,-134000000,-312000000,484000000,3440000000,-1967000000,2091000000,-1298000000,724000000,-253000000,-547000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,448400000,1030300000,410700000,1470100000,1593700000,2232200000,2994300000,1256000000,1060000000,1271000000,1400000000,1382000000,1248000000,860000000,1403000000,4843000000,2876000000,4967000000,3669000000,4393000000,4140000000,3593000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,38000000,46800000,88800000,100800000,77000000,108700000,98300000,151100000,197400000,519500000,228500000,467800000,1030300000,410700000,1470100000,1593700000,2232200000,2994000000,1256000000,1060000000,1271000000,1400000000,1382000000,1172000000,919000000,1403000000,4843000000,2876000000,4967000000,3669000000,4393000000,4140000000
100,Free Cash Flow,- -,- -,- -,- -,51500000,60800000,74200000,214400000,296100000,290300000,336700000,273400000,441900000,-788500000,699900000,1391800000,1203800000,1697800000,2421200000,2367400000,963200000,2285000000,2883000000,3215000000,3496000000,3193000000,3971000000,4426000000,4563000000,4331000000,4172000000,5626000000,3616000000,5873000000,6021000000,4885000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1613103/000161310315000028/0001613103-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310316000093/0001613103-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000018/0001613103-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/0001613103-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000028/0001613103-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310320000021/0001613103-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310321000027/0001613103-21-000027-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
