,https://roic.ai/company/BMY,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,747000000,1748000000,2056000000,1962000000,1959000000,1842000000,1812000000,2850000000,3205000000,3141000000,4167000000,4711000000,5245000000,2066000000,3106000000,2388000000,3000000000,1585000000,2165000000,5247000000,10612000000,3102000000,3709000000,1960000000,2563000000,2004000000,1565000000,4457000000,1007000000,4920000000,3439000000,-9015000000,7014000000
74,Depreciation and Amortization,- -,- -,196000000,244000000,246000000,295000000,308000000,328000000,448000000,519000000,591000000,625000000,678000000,746000000,781000000,735000000,789000000,909000000,929000000,927000000,892000000,816000000,707000000,744000000,801000000,681000000,763000000,467000000,376000000,382000000,789000000,637000000,1746000000,10380000000,10686000000
75,Deferred Income Tax,- -,- -,- -,85000000,-31000000,-196000000,-27000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,249000000,286000000,-812000000,-236000000,-416000000,1430000000,163000000,422000000,415000000,-1230000000,-491000000,-542000000,-347000000,-204000000,1010000000,86000000,-924000000,983000000,-1393000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181000000,183000000,193000000,161000000,154000000,191000000,213000000,235000000,205000000,199000000,221000000,441000000,779000000,583000000
77,Change in Working Capital,- -,- -,-624000000,-44000000,-34000000,506000000,184000000,-1069000000,-224000000,266000000,226000000,287000000,739000000,462000000,-669000000,-1768000000,2633000000,570000000,435000000,-1587000000,-2102000000,6349000000,-408000000,-1111000000,1004000000,-6296000000,5234000000,-329000000,-3749000000,2465000000,428000000,1215000000,4544000000,62000000,282000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,752000000,- -,- -
79,Inventory,- -,- -,-123000000,-168000000,-114000000,-163000000,129000000,-36000000,-50000000,-227000000,-288000000,-139000000,-317000000,75000000,-10000000,206000000,127000000,-133000000,-370000000,78000000,-54000000,130000000,82000000,156000000,-193000000,-103000000,-45000000,-254000000,97000000,-152000000,-29000000,-216000000,463000000,2672000000,13000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253000000,472000000,315000000,593000000,-232000000,412000000,-44000000,-919000000,104000000,320000000,-59000000,229000000,188000000,245000000
81,Other Working Capital,- -,- -,2893000000,2849000000,2815000000,3321000000,3505000000,2436000000,2212000000,2478000000,2704000000,2991000000,3730000000,4192000000,3523000000,1755000000,4388000000,4958000000,5393000000,3806000000,1704000000,8053000000,7645000000,6534000000,7538000000,1242000000,6476000000,6147000000,2398000000,4863000000,5291000000,6506000000,11050000000,11112000000,11394000000
82,Other Non-Cash Items,- -,- -,871000000,-281000000,-402000000,-539000000,156000000,1200000000,463000000,-994000000,-1546000000,67000000,-1114000000,-1267000000,45000000,-76000000,-3265000000,-977000000,-1716000000,1394000000,2614000000,-10316000000,-7192000000,1141000000,-1250000000,11672000000,-4715000000,1335000000,3752000000,-4455000000,1842000000,-1139000000,-1179000000,10863000000,-965000000
83,Cash Provided by Operating Activities,- -,- -,1190000000,1752000000,1835000000,2028000000,2580000000,2301000000,2499000000,2641000000,2476000000,4120000000,4470000000,4652000000,5402000000,957000000,3512000000,3176000000,1836000000,2083000000,3153000000,3707000000,4065000000,4491000000,4840000000,6941000000,3545000000,3148000000,1832000000,2850000000,5275000000,5940000000,8067000000,14052000000,16207000000
84,CAPEX,- -,- -,-555000000,-513000000,-628000000,-647000000,-570000000,-573000000,-513000000,-601000000,-767000000,-788000000,-709000000,-589000000,-1023000000,-997000000,-990000000,-809000000,-738000000,-793000000,-843000000,-941000000,-730000000,-424000000,-367000000,-548000000,-537000000,-526000000,-820000000,-1215000000,-1055000000,-951000000,-836000000,-753000000,-973000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-667000000,-350000000,-316000000,-254000000,-93000000,-266000000,-196000000,-2405000000,-275000000,-18000000,214000000,843000000,507000000,-159000000,-191000000,-2232000000,-829000000,-211000000,-7462000000,9000000,3366000000,-403000000,975000000,14000000,3000000,-8782000000,-12214000000,- -
86,Purchases of Investments,- -,- -,-8679000000,-1330000000,-2865000000,-269000000,-1049000000,-482000000,-80000000,-379000000,-363000000,-256000000,-4000000,-10000000,-2582000000,-381000000,-23918000000,-779000000,-30000000,- -,-19878000000,-422000000,-3489000000,-5823000000,-6819000000,-3607000000,-1859000000,-5719000000,-3143000000,-3089000000,-5437000000,-2305000000,-3961000000,-4172000000,-5478000000
87,Sales/Maturities of Investments,- -,- -,7639000000,1733000000,4090000000,169000000,993000000,35000000,349000000,406000000,530000000,309000000,51000000,45000000,1412000000,383000000,22448000000,- -,1043000000,762000000,20634000000,1567000000,2075000000,3197000000,5960000000,4890000000,1815000000,4095000000,2794000000,4809000000,6412000000,2379000000,3809000000,6280000000,6775000000
88,Other Investing Activites,- -,- -,-35000000,-54000000,-26000000,1177000000,29000000,263000000,-37000000,173000000,322000000,482000000,169000000,766000000,-266000000,-109000000,59000000,-248000000,73000000,-270000000,44000000,5066000000,-4000000,67000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-753000000,-1835000000
89,Cash Used for Investing Activites,- -,- -,-1630000000,-164000000,571000000,430000000,-597000000,-1424000000,-631000000,-717000000,-532000000,-346000000,-759000000,16000000,-4864000000,-1379000000,-2419000000,-1622000000,1191000000,206000000,-202000000,5079000000,-4380000000,-3812000000,-1437000000,-6727000000,-572000000,1216000000,-1572000000,1480000000,-66000000,-874000000,-9770000000,-10859000000,-538000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1917000000,-238000000,-969000000,-79000000,-2108000000,-597000000,-676000000,-1957000000,-15000000,-1224000000,-5000000,-9256000000,-2750000000,-6022000000
91,Common Stock Issued,- -,- -,197000000,145000000,46000000,37000000,38000000,24000000,71000000,206000000,117000000,140000000,8000000,352000000,251000000,138000000,44000000,141000000,166000000,170000000,333000000,5000000,827000000,252000000,601000000,463000000,564000000,288000000,266000000,181000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-51000000,-562000000,-447000000,-228000000,-419000000,-701000000,-244000000,-852000000,-1162000000,-1561000000,-1419000000,-2338000000,-1589000000,-164000000,- -,- -,- -,- -,- -,- -,- -,-576000000,-1221000000,-2403000000,-433000000,- -,- -,-231000000,-2469000000,-320000000,-7300000000,-1546000000,-6287000000
93,Dividends Paid,- -,- -,-722000000,-1116000000,-1249000000,-1428000000,-1485000000,-1485000000,-1495000000,-1507000000,-1515000000,-1551000000,-1707000000,-1930000000,-2137000000,-2168000000,-2169000000,-2174000000,-2186000000,-2199000000,-2213000000,-2461000000,-2483000000,-2202000000,-2254000000,-2286000000,-2309000000,-2398000000,-2477000000,-2547000000,-2577000000,-2613000000,-2679000000,-4075000000,-4396000000
94,Other Financing Activites,- -,- -,-432000000,39000000,73000000,-129000000,166000000,523000000,-191000000,268000000,409000000,-8000000,-80000000,-241000000,5243000000,1077000000,1073000000,1570000000,-1617000000,-1322000000,-1333000000,1791000000,1877000000,152000000,296000000,2001000000,1707000000,349000000,817000000,167000000,2193000000,-597000000,26856000000,7220000000,481000000
95,Cash Used/Provided by Financing Activities,- -,- -,-1008000000,-1494000000,-1577000000,-1748000000,-1700000000,-1639000000,-1859000000,-1885000000,-2151000000,-2980000000,-3198000000,-4157000000,1768000000,-1117000000,-1052000000,-463000000,-3637000000,-3351000000,-3213000000,-2582000000,-17000000,-3343000000,-2657000000,-4333000000,-1068000000,-2437000000,-3351000000,-2445000000,-4077000000,-3535000000,7621000000,-1151000000,-16224000000
96,Effect of Forex Changes on Cash,- -,- -,-8000000,-8000000,10000000,-8000000,1000000,-17000000,-6000000,-3000000,-18000000,-6000000,-37000000,-49000000,12000000,17000000,36000000,40000000,-20000000,30000000,45000000,-29000000,39000000,14000000,-3000000,-1000000,25000000,58000000,-95000000,-33000000,52000000,-41000000,-9000000,111000000,-102000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,-779000000,3000000,36000000,-225000000,788000000,476000000,462000000,2318000000,-1522000000,77000000,1131000000,-630000000,-1032000000,-217000000,6175000000,-293000000,-2650000000,743000000,-4120000000,1930000000,1985000000,-3186000000,1852000000,1184000000,1490000000,5909000000,2153000000,-657000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,1642000000,1645000000,1681000000,1456000000,2244000000,2720000000,3182000000,5500000000,3978000000,2444000000,3680000000,3050000000,2018000000,1801000000,7976000000,7683000000,5033000000,5776000000,1656000000,3586000000,5571000000,2385000000,4237000000,5421000000,6911000000,12820000000,14973000000,14316000000
99,Cash at the Beginning of Period,- -,- -,1966000000,510000000,596000000,1435000000,2137000000,2421000000,1642000000,1645000000,1681000000,1456000000,2244000000,2720000000,3182000000,5500000000,2367000000,2549000000,3680000000,3050000000,2018000000,1801000000,7976000000,7683000000,5033000000,5776000000,1656000000,3586000000,5571000000,2385000000,4237000000,5421000000,6911000000,12820000000,14973000000
100,Free Cash Flow,- -,- -,635000000,1239000000,1207000000,1381000000,2010000000,1728000000,1986000000,2040000000,1709000000,3332000000,3761000000,4063000000,4379000000,-40000000,2522000000,2367000000,1098000000,1290000000,2310000000,2766000000,3335000000,4067000000,4473000000,6393000000,3008000000,2622000000,1012000000,1635000000,4220000000,4989000000,7231000000,13299000000,15234000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14272/000001427295000004/0000014272-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427296000002/0000014272-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427297000008/0000014272-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427298000002/0000014272-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427299000002/0000014272-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/14272/000001427201500006/0000014272-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/14272/000091205702013034/a2074555z10-k405.htm,- -,https://www.sec.gov/Archives/edgar/data/14272/000119312504041353/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312505041808/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312506052456/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312507039915/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312508035566/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312509033538/0001193125-09-033538-index.html,https://www.sec.gov/Archives/edgar/data/14272/000119312510035167/0001193125-10-035167-index.html,https://www.sec.gov/Archives/edgar/data/14272/000119312511040120/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312512066416/0001193125-12-066416-index.html,https://www.sec.gov/Archives/edgar/data/14272/000119312513061678/0001193125-13-061678-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427214000054/bmy-20131231x10xk.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/bmy-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/0000014272-16-000288-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/0000014272-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/0000014272-18-000055-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/0000014272-19-000047-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/0000014272-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/0000014272-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/0000014272-22-000051-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
