,https://roic.ai/company/SWK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5100000,-3300000,-5300000,- -,-81500000,- -,- -,-79300000,-355900000,- -,-22300000,-286600000,-570900000,-642500000,- -,-370400000,-24300000,-1152500000,553300000,-840400000,- -,-7100000,-35300000,-1844200000,-527600000,-608800000,-1265300000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29000000,-36000000,- -,- -,- -,-61400000,- -,-23300000,- -,-260600000,-18700000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19100000,- -,- -,- -,3600000,- -,- -,104700000,- -,25700000,8000000,41000000,- -
88,Other Investing Activites,- -,- -,- -,- -,34100000,13300000,6700000,32800000,19000000,1300000,-15500000,22200000,- -,29400000,5700000,-10200000,-34800000,-2400000,- -,9700000,-43600000,25100000,12500000,- -,-67100000,-41400000,-275800000,-370600000,-361600000,- -,-313700000,-353400000,-421600000,-487200000,-347200000,-334100000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-84100000,-64900000,-109100000,-138100000,-50700000,-70200000,-85300000,-61800000,- -,-125400000,-151100000,-70000000,-169800000,-395500000,- -,-52000000,-383500000,-626300000,-716900000,- -,-464600000,-115200000,-1464300000,182700000,-1198400000,- -,-382200000,-284000000,-2289100000,-989100000,-1208600000,-1577100000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118400000,-184400000,-602600000,-1441300000,-302200000,- -,-46600000,- -,- -,-977500000,-1150000000,-1154300000,- -
91,Common Stock Issued,- -,- -,- -,- -,100500000,3300000,184600000,3600000,4600000,4200000,5700000,36500000,- -,40500000,21900000,8900000,25400000,17400000,- -,4300000,38700000,64400000,96500000,- -,19100000,61200000,119600000,126400000,154600000,- -,71300000,418500000,90800000,38500000,146000000,897000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-107100000,-64800000,-37200000,-25000000,-42300000,-16300000,-13200000,-65700000,- -,-83000000,-42000000,-108600000,-11000000,- -,- -,- -,- -,-201600000,-206900000,- -,-103300000,-2600000,-11100000,-1073900000,-39200000,- -,-28200000,-374100000,-28700000,-527100000,-27500000,-26200000,- -
93,Dividends Paid,- -,- -,- -,- -,-44400000,-35500000,-52300000,-57500000,-60500000,-61500000,-75200000,-67600000,- -,-68600000,-73900000,-78300000,-80500000,-85600000,- -,-86100000,-94900000,-96100000,-99800000,- -,-99000000,-103600000,-275900000,-304000000,-312700000,- -,-321300000,-330900000,-362900000,-384900000,-402000000,-450600000,- -
94,Other Financing Activites,- -,- -,- -,- -,-28300000,-6200000,-198600000,55500000,-33000000,38000000,-2600000,-96300000,- -,70700000,147600000,27000000,43300000,183200000,- -,-256900000,473500000,-64700000,420800000,- -,253400000,-19600000,398200000,1355400000,655000000,- -,-441400000,-146600000,596000000,1289400000,1141000000,1350000000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-79300000,-103200000,-103500000,-23400000,-131200000,-35600000,-85300000,-193100000,- -,-40400000,53600000,-151000000,-22800000,115000000,- -,-338700000,417300000,-298000000,210600000,- -,-48200000,-249000000,-371800000,-1337400000,155500000,- -,-766200000,-433100000,295200000,-561600000,-292500000,615900000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-600000,-3800000,-700000,-2000000,2900000,-1400000,3600000,- -,-7200000,-800000,-9600000,-7400000,1900000,- -,9100000,11700000,4000000,26000000,- -,-32600000,13900000,1300000,-2400000,-44900000,- -,-147100000,-101700000,81000000,-53900000,-1400000,22800000,- -
97,Net Change In Cash,- -,- -,- -,- -,-79300000,-103200000,-103500000,-23400000,-131200000,25600000,6100000,8600000,- -,68200000,53600000,5600000,21600000,6500000,- -,82700000,407800000,-481200000,63800000,- -,-28800000,189100000,-835900000,-190900000,-219800000,- -,400000,666400000,-494300000,-343700000,3200000,1083700000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,69300000,75400000,84000000,- -,152200000,- -,93600000,115200000,121700000,- -,204400000,657800000,176600000,240400000,- -,211600000,400700000,906900000,716000000,496200000,- -,496600000,1131800000,637500000,311400000,314600000,1398300000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,36600000,55400000,94700000,58300000,81100000,43700000,69300000,75400000,- -,84000000,152200000,88000000,93600000,115200000,- -,121700000,250000000,657800000,176600000,- -,240400000,211600000,1742800000,906900000,716000000,- -,496200000,465400000,1131800000,655100000,311400000,314600000,- -
100,Free Cash Flow,- -,- -,- -,- -,64100000,129800000,64200000,14100000,76800000,62100000,111600000,181200000,- -,167900000,-100600000,176400000,165900000,247900000,- -,424900000,309000000,358600000,457200000,- -,375800000,446000000,696800000,580200000,502400000,- -,1004900000,1138200000,976200000,768800000,1081000000,1674000000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93556/000095014695000153/0000950146-95-000153-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/93556/000095013604000768/0000950136-04-000768-index.html,https://www.sec.gov/Archives/edgar/data/93556/000095013606001493/file001.htm,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/93556/000095012309003448/0000950123-09-003448-index.html,https://www.sec.gov/Archives/edgar/data/93556/000095012310014663/0000950123-10-014663-index.html,- -,https://www.sec.gov/Archives/edgar/data/93556/000009355613000004/0000093556-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355614000004/swk_10k2013.htm,undefined,https://www.sec.gov/Archives/edgar/data/93556/000009355615000005/swk_10k2014.htm,https://www.sec.gov/Archives/edgar/data/93556/000009355617000006/0000093556-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355618000008/0000093556-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355619000011/0000093556-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355620000006/0000093556-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355621000008/0000093556-21-000008-index.htm,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
