,https://roic.ai/company/LANC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,79400000,75900000,93600000,97000000,126700000,163500000,189300000,203900000,235100000,235000000,212200000,219420000,225311000,276796000,329462000,358274000,370559000,235283000,137121000,144925000,148233000,239446000,257040000,319068000,248881000,298219000,268354000,194824000,224523000,285110000,248863000,259353000,249558000
82,Other Non-Cash Items,- -,- -,- -,700000,7000000,-10000000,12300000,-36400000,-57600000,-70200000,-30400000,-32700000,-9500000,19800000,-12258000,-4605000,-16633000,-43706000,-24071000,-22842000,118110000,122077000,19162000,15133000,-122439000,12519000,-43458000,68327000,-20832000,36494000,67403000,-32159000,-58620000,38140000,-32184000,-14612000
83,Cash Provided by Operating Activities,- -,- -,- -,33700000,34900000,49600000,67300000,61700000,61100000,46700000,84500000,113500000,120000000,126500000,128445000,126212000,160325000,155985000,119693000,116677000,97015000,94158000,93317000,133164000,107691000,147454000,122447000,131682000,129091000,132772000,142585000,144355000,160714000,197598000,170769000,174189000
84,CAPEX,- -,- -,- -,-18300000,-23900000,-13500000,-17000000,-18900000,-28900000,-36800000,-50200000,-37500000,-64600000,-35900000,-24564000,-22632000,-22546000,-29941000,-18172000,-22683000,-61965000,-55823000,-16832000,-11336000,-12833000,-35343000,-16347000,-24147000,-15961000,-18298000,-16671000,-27005000,-31025000,-70880000,-82642000,-87865000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-49831000,-2250000,-3000000,-20568000,-492000,466000,-22992000,18858000,- -,- -,- -,- -,- -,25610000,-92217000,-12000,-35169000,-318000,-55364000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52695000,-31350000,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46650000,66900000,40765000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1400000,-1200000,-2100000,200000,-1000000,-1200000,-400000,1100000,-3600000,-5600000,-3600000,-3779000,-2073000,-1363000,-4221000,-3291000,-4941000,554000,-2214000,-1316000,362000,-1267000,-415000,-252000,1769000,-1174000,-1810000,-740000,1566000,-109000,-617000,-623000,-1112000
89,Cash Used for Investing Activites,- -,- -,- -,-16900000,-25100000,-15600000,-21900000,-19900000,-30100000,-37200000,-49100000,-41100000,-70200000,-39500000,-28743000,-74536000,-26159000,-37162000,-42031000,-34161000,-25395000,-45264000,710000,-10974000,-14100000,-35758000,-16599000,-22378000,8475000,-112325000,-17423000,-60608000,-31452000,-126861000,-83265000,-88977000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84782000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,1500000,1300000,3400000,500000,4900000,2600000,1800000,5100000,6800000,500000,1203000,3061000,6265000,4340000,3634000,3785000,3835000,3515000,648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-9900000,-8600000,-2100000,-7000000,-3900000,-7700000,-17800000,-21500000,-29600000,-37100000,-66800000,-75101000,-22742000,-28275000,-35552000,-16667000,-56721000,-84343000,-65858000,-89338000,-16894000,-4398000,-43103000,-8315000,-609000,-3120000,-569000,-155000,-866000,-1102000,-7411000,-5459000,-8533000
93,Dividends Paid,- -,- -,- -,-8600000,-8800000,-9100000,-9900000,-11300000,-13400000,-16500000,-19600000,-21100000,-23300000,-24600000,-24747000,-25176000,-26128000,-28152000,-31769000,-34055000,-101760000,-33696000,-32578000,-31854000,-33430000,-35696000,-38464000,-178063000,-46988000,-49778000,-190546000,-58980000,-64531000,-70110000,-75644000,-81233000
94,Other Financing Activites,- -,- -,- -,900000,3600000,-19600000,-29700000,-17900000,-900000,- -,300000,700000,-5100000,-500000,-17270000,-4586000,-7540000,- -,2776000,4524000,3419000,37168000,11896000,30407000,6643000,-1521000,301000,1118000,696000,563000,1417000,1123000,-981000,-2680000,-4416000,-5664000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-17600000,-12300000,-29500000,-43200000,-32600000,-17100000,-31700000,-39000000,-44900000,-58700000,-91400000,-115915000,-49443000,-55678000,-59364000,-42026000,-82467000,-178849000,-58871000,-109372000,-103123000,-31185000,-80320000,-46478000,-177554000,-49412000,-49784000,-189284000,-58723000,-66614000,-80201000,-85519000,-95430000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,100000,- -,- -,- -,9000,-16000,17000,10000,20000,-17000,14000,-12000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4300000,-16204000,2217000,78505000,59469000,35656000,32000,-107215000,2268000,11101000,19067000,62406000,31376000,59370000,-68250000,88154000,-29337000,-64122000,25024000,62648000,-9464000,1985000,-10218000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18900000,2656000,4873000,83378000,142847000,178503000,113265000,6050000,8318000,19417000,38484000,100890000,132266000,191636000,123386000,211539000,182202000,118080000,143104000,205752000,196288000,198273000,188055000
99,Cash at the Beginning of Period,- -,- -,- -,4000000,3200000,700000,5300000,7400000,16500000,30400000,8200000,4700000,32100000,23200000,18860000,2656000,4873000,83378000,142847000,113233000,113265000,6050000,8316000,19417000,38484000,100890000,132266000,191636000,123385000,211539000,182202000,118080000,143104000,205752000,196288000,198273000
100,Free Cash Flow,- -,- -,- -,15400000,11000000,36100000,50300000,42800000,32200000,9900000,34300000,76000000,55400000,90600000,103881000,103580000,137779000,126044000,101521000,93994000,35050000,38335000,76485000,121828000,94858000,112111000,106100000,107535000,113130000,114474000,125914000,117350000,129689000,126718000,88127000,86324000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015294000970/0000950152-94-000970-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015295002188/0000950152-95-002188-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015296004860/0000950152-96-004860-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015297006812/0000950152-97-006812-index.html,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015299007779/0000950152-99-007779-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015200006940/0000950152-00-006940-index.html,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015202007195/0000950152-02-007195-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015203008428/0000950152-03-008428-index.html,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015205007599/0000950152-05-007599-index.htm,https://www.sec.gov/Archives/edgar/data/57515/000095015206007520/l22170ae10vk.htm,https://www.sec.gov/Archives/edgar/data/57515/000095015207007154/0000950152-07-007154-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015208006856/0000950152-08-006856-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095012309038239/0000950123-09-038239-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095012310080836/0000950123-10-080836-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095012311081026/0000950123-11-081026-index.html,https://www.sec.gov/Archives/edgar/data/57515/000119312512373438/0001193125-12-373438-index.html,https://www.sec.gov/Archives/edgar/data/57515/000119312513352262/0001193125-13-352262-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751514000051/0000057515-14-000051-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751515000021/0000057515-15-000021-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751516000050/lanc-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/57515/000005751517000021/0000057515-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751518000020/0000057515-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751519000021/lanc-2019630x10k.htm,https://www.sec.gov/Archives/edgar/data/57515/000005751520000024/0000057515-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/57515/000005751521000017/0000057515-21-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
