,https://roic.ai/company/KEQU,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,-800000,-500000,-2300000,-1800000,-1300000,-800000,-800000,-500000,-1200000,-1500000,-3700000,-3352000,-1678000,-2065000,-3143000,-1619000,-976000,-1886000,-1724000,-2546000,-1500000,-4239000,-5247000,-1435000,-2405000,-2021000,-2568000,-2187000,-2611000,-3395000,-4213000,-2465000,-2397000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,1500000,1000000,-500000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,505000,- -,-17000,2480000,27000,-108000,-1476000,-4327000,-5256000,-1586000,-2392000,-1698000,-4476000,-1478000,-2479000,-3202000,-4213000,-2465000,-2397000
89,Cash Used for Investing Activites,- -,- -,- -,-800000,-500000,-800000,-800000,-1800000,-1100000,-400000,-100000,-1200000,-1500000,-3700000,-3352000,-1678000,-2065000,-2638000,-1619000,-993000,594000,-1697000,-2654000,-1476000,-4327000,-5256000,-1586000,-2392000,-1698000,-4476000,-1478000,-2479000,-3202000,-4213000,-2465000,-2397000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-362000,-1068000,-215000,-283000,-236000,-3854000,-421000,-422000,-421000,-59693000,-58195000,-64797000,-60115000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,100000,184000,40000,50000,71000,42000,25000,3000,27000,681000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,-1500000,- -,- -,- -,- -,- -,- -,- -,-3000,-1000,-107000,- -,- -,- -,- -,- -,- -,-198000,-296000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-100000,-400000,-400000,-400000,-200000,- -,- -,- -,-200000,-400000,-500000,-639000,-690000,-692000,-694000,-696000,-698000,-698000,-698000,-708000,-1322000,-976000,-1030000,-1031000,-1035000,-1122000,-1234000,-1361000,-1570000,-1794000,-2030000,-1044000,- -
94,Other Financing Activites,- -,- -,- -,-700000,-800000,-800000,-800000,100000,-900000,600000,-3100000,-2800000,- -,900000,1616000,442000,-386000,735000,5699000,-2057000,1051000,-5035000,702000,1424000,54000,5750000,228000,-447000,-573000,912000,-1621000,-93000,59003000,62559000,58383000,62097000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-800000,-1200000,-1300000,-2700000,- -,-900000,600000,-3100000,-3000000,-100000,500000,1158000,-209000,-1135000,112000,5045000,-2730000,356000,-5706000,675000,-458000,-2286000,4505000,-1086000,-1718000,-5549000,-743000,-3404000,-2084000,-2484000,2334000,-7458000,1982000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000,-391000,243000,160000,-465000,-94000,-385000,-276000,-211000,185000,-287000,-413000,-179000,19000
97,Net Change In Cash,- -,- -,- -,-800000,-1200000,-1300000,-2700000,- -,-900000,- -,- -,- -,- -,- -,1000,479000,1259000,-1227000,647000,-580000,704000,1302000,1553000,-225000,-1837000,680000,3786000,-377000,437000,-3204000,2178000,7284000,-2790000,198000,-5941000,516000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,488000,1747000,520000,1167000,225000,929000,2231000,3784000,3559000,1722000,2402000,6188000,5811000,6248000,3044000,5222000,12506000,9716000,11156000,5215000,5731000
99,Cash at the Beginning of Period,- -,- -,- -,700000,3800000,5900000,6100000,1000000,200000,200000,100000,- -,- -,1800000,8000,9000,488000,1747000,520000,805000,225000,929000,2231000,3784000,3559000,1722000,2402000,6188000,5811000,6248000,3044000,5222000,12506000,10958000,11156000,5215000
100,Free Cash Flow,- -,- -,- -,4000000,3300000,- -,-3400000,-300000,1100000,-1100000,2600000,3000000,1900000,-2400000,-1157000,688000,2394000,-1844000,-4398000,2167000,-2132000,6981000,845000,600000,294000,-3976000,5488000,1422000,6048000,-277000,5084000,9051000,-212000,-1723000,1696000,-1485000
101,SEC Link,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55529/000095013196003492/0000950131-96-003492-index.html,https://www.sec.gov/Archives/edgar/data/55529/000095013197004497/0000950131-97-004497-index.html,- -,https://www.sec.gov/Archives/edgar/data/55529/000095013199004506/0000950131-99-004506-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/55529/000095013102002735/0000950131-02-002735-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312503022693/0001193125-03-022693-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312504119649/d10k.htm,https://www.sec.gov/Archives/edgar/data/55529/000119312505139689/d10k.htm,https://www.sec.gov/Archives/edgar/data/55529/000119312506146277/d10k.htm,https://www.sec.gov/Archives/edgar/data/55529/000119312507157322/0001193125-07-157322-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312508153581/0001193125-08-153581-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312509151570/0001193125-09-151570-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312510160114/0001193125-10-160114-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312511189439/0001193125-11-189439-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312512301987/0001193125-12-301987-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312513297072/0001193125-13-297072-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312514272359/0001193125-14-272359-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312515256731/0001193125-15-256731-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312516653120/0001193125-16-653120-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312517232965/0001193125-17-232965-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312518222169/0001193125-18-222169-index.html,https://www.sec.gov/Archives/edgar/data/55529/000005552919000040/0000055529-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/55529/000005552920000010/0000055529-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/55529/000005552921000013/0000055529-21-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
