,https://roic.ai/company/GIGA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,-300000,-200000,-800000,-900000,-4500000,-5500000,-700000,-1700000,-2200000,-100000,4500000,-1348000,-2108000,-92000,-80000,92000,31000,-131000,-202000,-201000,-68000,-152000,-368000,-214000,-179000,-228000,-16000,183000,809000,-688000,- -,-123000,-94000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-745000,-5794000,-10147000,-1981000,-663000,-80000,-604000,-1967000,-3106000
91,Common Stock Issued,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,200000,400000,100000,100000,174000,367000,239000,61000,57000,4000,247000,- -,22000,- -,124000,195000,- -,- -,- -,- -,3127000,- -,- -,- -,2564000,- -
92,Common Stock Repurchased,- -,- -,- -,-5800000,-900000,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-800000,-1300000,-4200000,-122000,-196000,-231000,-160000,-76000,-10000,- -,- -,- -,41000,52000,10000,1977000,2009000,7734000,10816000,1877000,- -,2449000,1304000,1664000,2920000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-5600000,-900000,- -,- -,- -,- -,- -,200000,-400000,-1200000,-4100000,52000,171000,8000,-99000,-19000,-6000,247000,- -,22000,41000,176000,205000,1977000,1264000,1940000,669000,3023000,-663000,2369000,700000,2261000,-186000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-5600000,-900000,- -,- -,- -,-6800000,- -,200000,-400000,-1200000,-4100000,769000,14000,3711000,-2175000,-2253000,-212000,872000,-1608000,41000,-327000,1556000,-1666000,957000,-483000,-823000,111000,161000,90000,64000,-607000,-221000,79000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,2700000,- -,- -,- -,- -,- -,3455000,3469000,7180000,5005000,2752000,2540000,3412000,1804000,1845000,1518000,3074000,1408000,2365000,1882000,1059000,1170000,1331000,1421000,1485000,878000,657000,736000
99,Cash at the Beginning of Period,- -,- -,- -,12000000,8400000,9900000,10700000,9400000,9500000,2700000,2100000,5900000,7000000,4600000,2686000,3455000,3469000,7180000,5005000,2752000,2540000,3412000,1804000,1845000,1518000,3074000,1408000,2365000,1882000,1059000,1170000,1331000,1421000,1485000,878000,657000
100,Free Cash Flow,- -,- -,- -,2100000,2300000,800000,-1200000,3800000,-2000000,-600000,4800000,2900000,-1900000,-3400000,704000,306000,3087000,-2156000,-2344000,-422000,641000,-1610000,14000,-369000,1380000,-1871000,-1020000,-1747000,-2763000,-558000,-3237000,-97000,-2305000,-1307000,-2482000,265000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719274/000095014903001247/0000950149-03-001247-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000095014904001146/0000950149-04-001146-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000095014905000432/0000950149-05-000432-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000095014906000327/0000950149-06-000327-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000095013407013646/0000950134-07-013646-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000071927408000010/0000719274-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000071927409000020/0000719274-09-000020-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000071927410000012/0000719274-10-000012-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774911003462/0001437749-11-003462-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774912006228/0001437749-12-006228-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774913008202/0001437749-13-008202-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774914011759/0001437749-14-011759-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774915012040/0001437749-15-012040-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774916033427/0001437749-16-033427-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774917011543/0001437749-17-011543-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774918012069/0001437749-18-012069-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774919011070/0001437749-19-011070-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774920011940/0001437749-20-011940-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774921015674/0001437749-21-015674-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
