,https://roic.ai/company/VMC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-103000000,-119900000,-63600000,-75200000,-96000000,-100100000,-109200000,-151700000,-173300000,-203300000,-1095100000,-605490000,-286854000,-248778000,-193923000,-203800000,-215646000,-435207000,-483322000,-353196000,-109729000,-86324000,-98912000,-93357000,-275380000,-224852000,-289262000,-350148000,-459566000,-469088000,-384094000,-362194000,-451300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-138794000,-43445000,-3543000,-34555000,-93965000,121385000,-3267338000,141726000,-20905000,-19580000,64208000,21166000,-38347000,437122000,-27198000,-32537000,-822433000,-210163000,-42407000,-42255000,-1639400000
86,Purchases of Investments,- -,- -,- -,- -,-9000000,-18800000,-13000000,- -,-9600000,-2100000,-2200000,-1200000,200000,- -,- -,- -,- -,- -,-10221000,-378463000,-313490000,- -,- -,-1201000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,21300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,473936000,318156000,175140000,5026000,- -,33282000,3653000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-29800000,-110900000,-22100000,-35500000,1800000,-72200000,5000000,-52900000,16400000,2500000,119200000,75576000,38990000,25888000,81700000,48377000,155773000,33675000,91335000,23631000,17350000,13875000,15225000,82590000,17537000,26061000,6718000,17608000,12508000,9360000,10664000,22935000,216600000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-120500000,-249600000,-98700000,-110700000,-103800000,-174400000,-106400000,-205800000,-156700000,-200800000,-975900000,-529914000,-386658000,-266335000,-125987000,-94505000,-149172000,-105007000,-3654299000,-189040000,-80002000,-88376000,-19479000,10399000,-296190000,238331000,-309742000,-365077000,-1269491000,-669891000,-415837000,-381514000,-1874100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1209687000,-519204000,-743075000,-134780000,-306602000,-672829000,-901060000,-3130000,-1468308000,-1498955000,-499923000,-250025000,-1465200000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5116000,21508000,37940000,28889000,35074000,79674000,606546000,41734000,4936000,- -,3821000,30620000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-58400000,-59200000,-5200000,-32400000,-40000000,-28600000,-50100000,-45200000,-43100000,-65000000,-12500000,- -,- -,- -,- -,- -,-228479000,-522801000,-4800000,- -,- -,- -,- -,- -,- -,- -,-21475000,-161463000,-60303000,-133983000,-2602000,-26132000,- -
93,Dividends Paid,- -,- -,- -,- -,-45000000,-46400000,-45700000,-45100000,-46300000,-48100000,-51800000,-58400000,-63600000,-70000000,-78700000,-84765000,-91080000,-95384000,-99580000,-106331000,-118229000,-144082000,-181315000,-214783000,-171468000,-127792000,-98172000,-5183000,-5191000,-28884000,-53214000,-106333000,-132335000,-148109000,-163973000,-180216000,-196400000
94,Other Financing Activites,- -,- -,- -,- -,-10200000,89400000,-33300000,-16200000,-4600000,36500000,-44000000,-7200000,-4600000,25200000,536400000,198964000,13002000,-29857000,-52634000,-277606000,-11556000,-56256000,3076854000,-135730000,413647000,516208000,795045000,10728000,165923000,119961000,924900000,-33659000,2164386000,1515919000,328315000,691035000,1567300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-113600000,-16200000,-84200000,-93700000,-90900000,-40200000,-145900000,-110800000,-111300000,-109800000,445200000,114199000,-78078000,-125241000,-147098000,-362429000,-320324000,-694250000,2925813000,-270839000,-360962000,-89054000,-41266000,-129235000,-142049000,-551132000,-50849000,-304585000,503440000,-265128000,-338183000,234662000,-94300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-113600000,-16200000,-84200000,-93700000,-90900000,-40200000,-145900000,-110800000,-111300000,-109800000,-127800000,2442000,45526000,69926000,245961000,123681000,3688000,-219908000,-20342000,-24694000,12071000,25276000,108298000,119639000,-81740000,-52465000,142787000,-25074000,-121373000,-102242000,230102000,923507000,-956500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52800000,55276000,100802000,170728000,416689000,271450000,275138000,55230000,34888000,10194000,22265000,47541000,155839000,275478000,193738000,141273000,284060000,258986000,146646000,44404000,274506000,1198013000,241500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,68100000,84300000,18600000,19000000,15700000,14000000,7700000,21900000,50800000,128600000,180600000,52834000,55276000,100802000,170728000,147769000,271450000,275138000,55230000,34888000,10194000,22265000,47541000,155839000,275478000,193738000,141273000,284060000,268019000,146646000,44404000,274506000,1198000000
100,Free Cash Flow,- -,- -,- -,- -,147200000,80200000,119700000,125900000,97000000,108100000,157300000,193800000,172500000,159300000,-692100000,-187333000,223408000,212724000,325123000,376815000,257538000,144142000,224822000,81989000,343306000,116382000,70131000,145118000,81119000,35484000,214116000,294440000,185112000,363689000,600028000,708165000,560600000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396009/000095014409001772/0000950144-09-001772-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000095012310018400/0000950123-10-018400-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000095012311019699/g24488e10vk.htm,https://www.sec.gov/Archives/edgar/data/1396009/000119312512089430/0001193125-12-089430-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000119312513084128/0001193125-13-084128-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000006/vmc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000005/vmc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000044/0001396009-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600917000005/0001396009-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600918000011/0001396009-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600919000021/0001396009-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600920000006/0001396009-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600921000009/0001396009-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1396009/000139600922000010/0001396009-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
