,https://roic.ai/company/CZR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,-19000000,-58000000,-94000000,- -,-20000000,-48000000,-123000000,-13000000,-3000000,1000000,46000000,115000000,-196000000,47000000,51000000,89000000,33000000,31000000,-610000000,-126000000,-537000000,-7000000,208000000,234000000,906000000,14282000,25649000,10469000,-287000,31973000,171019000,-83803000,4082000000,14000000
82,Other Non-Cash Items,- -,24000000,44900000,34100000,- -,-107000000,70000000,137700000,-70700000,74400000,29700000,-8300000,-5200000,588500000,-157500000,89700000,-19100000,124500000,-135400000,826800000,-429100000,5496000000,-3567000000,362800000,457700000,-660294000,879326000,8294000,-100697000,16734000,-88172000,-81514000,245103000,-3640803000,968000000
83,Cash Provided by Operating Activities,- -,197000000,236400000,103200000,- -,108800000,198200000,227300000,213700000,285700000,255100000,297900000,490100000,547600000,724600000,723200000,735900000,866400000,591500000,1558900000,1597700000,534500000,220200000,170800000,125600000,28366000,23536000,33879000,56715000,97570000,130241000,323280000,312526000,-571000000,1172000000
84,CAPEX,- -,-154000000,-253600000,-174200000,- -,-92800000,-219000000,-219100000,-186200000,-314500000,-229500000,-140400000,-340500000,-421400000,-506100000,-349100000,-383600000,-644400000,-1149500000,-2511300000,-1376700000,-1307000000,-464500000,-167800000,-283200000,-9181000,-7413000,-10564000,-36762000,-47380000,-83522000,-147415000,-170766000,-198000000,-832000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,-283000000,-7500000,- -,48110000,-126026000,-194000,-1344263000,-1113808000,-771000,-6029000000,-899000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7500000,- -,- -,-1010000,- -,-604000,-8008000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4944000,25000000,239000000
88,Other Investing Activites,- -,49500000,62500000,3500000,- -,-6500000,-6800000,-112300000,-23000000,-69200000,8500000,-622800000,156100000,-298200000,-242400000,-141400000,-90800000,-1487400000,-1162700000,262800000,-547100000,-17331300000,-58800000,-134100000,-450800000,-6832000,-7560000,-9970000,-31718000,-40954000,20614000,1002000,536133000,-18000000,-1743000000
89,Cash Used for Investing Activites,- -,-104500000,-191100000,-170700000,- -,-99300000,-225800000,-331400000,-209200000,-383700000,-221000000,-763200000,-184400000,-719600000,-748500000,-490500000,-474400000,-2131800000,-2312200000,-2248500000,-1923800000,-18638300000,-523300000,-287900000,-1017000000,-21832000,-7560000,38140000,-158754000,-41148000,-1407775000,-1268229000,369540000,-6185000000,-2923000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43700000,-7352000,-5369000,-13750000,-768377000,-142024000,-1149361000,-70358000,-736000000,-4645000000,-2349000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2718000000,3000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000000,-41000000,2500000,-123600000,-232500000,-130500000,-174700000,16200000,36600000,106700000,66300000,126200000,-1200000,- -,- -,- -,- -,- -,-148000,- -,- -,- -,-9131000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66200000,-141300000,-208200000,-282700000,-299200000,- -,- -,- -,- -,-4135000,-6097000,-575000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-290500000,-57900000,51800000,- -,-400000,44400000,130800000,6900000,120200000,17700000,505400000,-107500000,470100000,209900000,1400000,-198000000,1461200000,2057600000,981200000,409500000,18045500000,570700000,187400000,855200000,106000,- -,245000,861090000,68353000,2500462000,1123380000,23821000,12568000000,1796000000
95,Cash Used/Provided by Financing Activities,- -,-290500000,-57900000,51800000,- -,-400000,44400000,130800000,6900000,107200000,-23300000,507900000,-231100000,237600000,79400000,-173300000,-248000000,1356500000,1956100000,764800000,236500000,18044300000,570700000,187400000,811500000,-11381000,-11466000,-14228000,92713000,-73671000,1351101000,1043891000,-712179000,10641000000,-550000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129000000,32000000
97,Net Change In Cash,- -,-198000000,-12500000,-15800000,- -,9100000,16800000,26700000,11400000,9200000,10800000,42600000,74600000,65600000,55500000,59400000,13500000,91100000,235400000,75200000,-89600000,-59500000,267600000,70300000,-79900000,-4847000,4510000,57791000,-9326000,-17249000,73567000,98942000,-30113000,3999000000,-2259000000
98,Cash at the End of Period,- -,-198000000,45500000,40200000,- -,44100000,60800000,84700000,96400000,105200000,116800000,158600000,233600000,299600000,354500000,416400000,409500000,489100000,724400000,799200000,710400000,650500000,918600000,988300000,907100000,25303000,29813000,87604000,78278000,61029000,134596000,246691000,216578000,4216000000,2021000000
99,Cash at the Beginning of Period,- -,- -,58000000,56000000,- -,35000000,44000000,58000000,85000000,96000000,106000000,116000000,159000000,234000000,299000000,357000000,396000000,398000000,489000000,724000000,800000000,710000000,651000000,918000000,987000000,30150000,25303000,29813000,87604000,78278000,61029000,147749000,246691000,217000000,4280000000
100,Free Cash Flow,- -,43000000,-17200000,-71000000,- -,16000000,-20800000,8200000,27500000,-28800000,25600000,157500000,149600000,126200000,218500000,374100000,352300000,222000000,-558000000,-952400000,221000000,-772500000,-244300000,3000000,-169600000,19185000,16123000,23315000,19953000,50190000,46719000,175865000,141760000,-769000000,340000000
101,SEC Link,undefined,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858339/000104746904006606/a2129773z10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000104746905005121/a2152383z10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000110465906016242/a06-2584_110k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312507044315/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312508043934/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312509055861/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312510051491/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312511056393/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312512115625/d268435d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833913000013/a201210-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833914000014/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833915000055/a2014q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/1610979/000161097916000033/0001610979-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1610979/000161097917000007/0001610979-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/858339/000085833918000052/a2017q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833919000015/a2018q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833920000023/a2019q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089521000085/0001590895-21-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089522000061/0001590895-22-000061-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
