,https://roic.ai/company/NGG,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-197600000,-216000000,-238000000,-582000000,-566000000,-628000000,-745000000,-730000000,-806000000,-838000000,-688000000,-858000000,-1006000000,-810000000,-1059000000,-1271000000,-1337000000,-1463000000,- -,-1160000000,-892000000,-1413000000
94,Other Financing Activites,200000000,12800000,- -,1038400000,366900000,707400000,717700000,1226900000,1015400000,3414400000,267000000,148000000,1936000000,-2273217880,10224461150,1339000000,3831000000,930000000,3291000000,1011000000,4722000000,270000000,1179000000,1162000000,3325000000,-5785000000,1750000000,2529000000,3812000000
95,Cash Used/Provided by Financing Activities,200100000,-135600000,-447800000,1067100000,-216000000,503900000,687600000,773600000,-127600000,216600000,-408000000,-806000000,453000000,-5712000000,1494000000,-1592000000,-877000000,-2212000000,-430000000,-1900000000,2715000000,-2972000000,-3253000000,-1328000000,69000000,-5785000000,-1364000000,-1606000000,750000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,593000000,534000000,112000000,14000000,-14000000,4000000,18000000,-1000000,-3000000,- -,14000000,-26000000,24000000,4000000,16000000,- -,3000000,4000000,-7000000
97,Net Change In Cash,124300000,-99800000,-73300000,-64000000,-21400000,83700000,-21800000,26400000,-1900000,53600000,421000000,1246000000,-901000000,1195000000,138000000,-1423000000,556000000,-29000000,-349000000,-43000000,349000000,-309000000,-223000000,8000000,1015000000,-1090000000,-77000000,-179000000,84000000
98,Cash at the End of Period,199400000,99600000,26300000,-158800000,-43100000,-144800000,933900000,342600000,-737500000,-1223900000,-13878000000,-12632000000,-13638000000,1449000000,1587000000,164000000,720000000,691000000,342000000,299000000,648000000,339000000,116000000,124000000,1139000000,- -,252000000,73000000,157000000
99,Cash at the Beginning of Period,75100000,199400000,99600000,-94800000,-21700000,-228500000,955700000,316200000,-735600000,-1277500000,-14299000000,-13878000000,-12737000000,254000000,1449000000,1587000000,164000000,720000000,691000000,342000000,299000000,648000000,339000000,116000000,124000000,- -,329000000,252000000,73000000
100,Free Cash Flow,26100000,111400000,129200000,-1237600000,409700000,-800000000,-166500000,-134700000,-400000000,26600000,1713000000,1276000000,744000000,1205000000,740000000,288000000,228000000,1405000000,1724000000,878000000,361000000,896000000,1724000000,1740000000,1710000000,35000000,377000000,-282000000,-327000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1004315/000102123103000668/0001021231-03-000668-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000112528204002765/0001125282-04-002765-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000104746905017356/0001047469-05-017356-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012306007886/0000950123-06-007886-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012307008896/0000950123-07-008896-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012308006935/0000950123-08-006935-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012309014200/0000950123-09-014200-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012310052651/0000950123-10-052651-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012311058451/0000950123-11-058451-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312512267777/0001193125-12-267777-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312513252366/0001193125-13-252366-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312514226324/0001193125-14-226324-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312515214291/0001193125-15-214291-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312516614641/0001193125-16-614641-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312517195204/0001193125-17-195204-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000100431518000038/0001004315-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000100431519000071/0001004315-19-000071-index.htm,- -,- -
102,Forex Rate,1.5148,1.484,1.622,1.5265,1.6387,1.6728,1.6107,1.5921,1.4161,1.4258,1.5832,1.8458,1.8899,1.7382,1.968,1.983,1.4327,1.5185,1.6031,1.601,1.5201,1.6662,1.4816,1.4358,1.2545,1.4015,1.3031,1.2418,1.3779
