,https://roic.ai/company/VRTX,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,-25200000,-9400000,6700000,-14100000,-29000000,-40400000,-118800000,-20400000,36400000,-236329000,-145087000,-15962000,119585000,107428000,-1732000,-208471000,405166000,-360650000,-508732000,7301000,212412000,-425817000,-54130000,73959000,268856000,104469000,-437681000,-202158000,-1235318000,99388000,-340900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19997000,-131000,-22000,-250000000,-21488000,-83742000,-81692000,-20335000,-93029000,-319336000,-33388000,-39185000,-42275000,-47000000
91,Common Stock Issued,- -,51900000,100000,3600000,73800000,1100000,85500000,164900000,2800000,5500000,42438000,19653000,13327000,11959000,8742000,- -,366035000,31965000,362128000,849235000,33434000,124862000,191721000,265878000,274615000,185592000,68230000,344840000,289293000,343244000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350043000,-192015000,-739407000,-1561300000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-1000000,-1300000,-2000000,-1900000,600000,1600000,-100000,1400000,-2700000,501593000,-23635000,515000,25509000,-17368000,197456000,-170000,-42155000,278607000,149902000,391645000,900000,1971000,-1252000,304453000,23662000,158070000,42900000,22919000,14729000,276401000,130300000
95,Cash Used/Provided by Financing Activities,- -,50900000,-1200000,1600000,71900000,1700000,87100000,164800000,4200000,2800000,544031000,-3982000,13842000,37468000,-8626000,197456000,365865000,-10190000,620738000,999006000,425057000,-124238000,172204000,180884000,497376000,188919000,133271000,68404000,-71219000,126773000,-505281000,-1478000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-516000,-311000,552000,631000,205000,-631000,207000,-8000,-154000,-5145000,-377000,214000,-141000,4708000,-2176000,-2834000,-4666000,5802000,-6182000,1643000,20552000,-13400000
97,Net Change In Cash,- -,50900000,-1200000,1600000,71900000,1700000,87100000,164800000,4200000,7300000,290542000,-157454000,-81107000,-9939000,-43153000,23039000,135126000,142492000,33452000,57543000,-203461000,232123000,14087000,79892000,55960000,89509000,469177000,481467000,990727000,462428000,2868164000,811200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,31500000,322090000,189205000,108098000,98159000,55006000,78045000,213171000,355663000,389115000,446658000,243197000,475320000,489407000,569299000,625259000,714768000,1183945000,1665412000,2658253000,3120681000,5988845000,6800100000
99,Cash at the Beginning of Period,- -,4400000,27600000,11600000,28600000,71600000,28400000,34900000,71500000,24200000,31548000,346659000,189205000,108098000,98159000,55006000,78045000,213171000,355663000,389115000,446658000,243197000,475320000,489407000,569299000,625259000,714768000,1183945000,1667526000,2658253000,3120681000,5988900000
100,Free Cash Flow,- -,-3700000,-6800000,6800000,-16600000,-21400000,-44300000,-15400000,-39000000,-48000000,-28557000,-61973000,-120758000,-184974000,-154655000,-189013000,-54892000,-284891000,-258662000,-451082000,-673496000,49140000,196701000,-102963000,-564400000,-410734000,179540000,585521000,1174762000,1493879000,2993707000,2408500000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875320/000104746903011252/a2105571z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746904007993/a2129731z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746905006705/a2152583z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746906003585/a2167642z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000110465907015545/a07-3650_110k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746908001101/a2182258z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746909001305/0001047469-09-001305-index.html,https://www.sec.gov/Archives/edgar/data/875320/000104746910001033/0001047469-10-001033-index.html,https://www.sec.gov/Archives/edgar/data/875320/000104746911001025/a2201820z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746912001298/0001047469-12-001298-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532013000009/0000875320-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532014000015/a201310k.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532015000012/a201410k-main.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532016000067/0000875320-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532017000017/0000875320-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532018000009/0000875320-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532019000006/0000875320-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532020000007/0000875320-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532021000006/0000875320-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532022000007/0000875320-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
