,https://roic.ai/company/WMT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84000000,-61000000,-58000000,-78000000,-148000000,-255000000,-422000000,-210000000,-101000000,373000000,-304000000,-456000000,-214000000,-564000000,-101000000,-297000000,-733000000,-796000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-1076700000,-1087500000,-1459600000,-1884000000,-1324000000,-3053000000,-1850000000,99000000,-365000000,-379000000,-2088000000,-1795000000,-1235000000,-2236000000,-1973000000,-2635000000,-1733000000,-1274000000,-775000000,-220000000,2265000000,-3086000000,-3727000000,-2759000000,-1667000000,-1229000000,-703000000,1021000000,-140000000,-1311000000,-300000000,-2395000000,-11764000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1914000000,448000000,1208000000,1048000000,1108000000,1849000000,2061000000,368000000,1447000000,2658000000,1694000000,2390000000,2344000000,865000000,-410000000,1052000000,2557000000,2687000000,1061000000,531000000,2678000000,2008000000,3942000000,4086000000,1831000000,-274000000,6966000000,5520000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227000000,-88000000,9000000,78000000,-139000000,244000000,-2134000000,-2134000000,-2997000000,-4397000000,-5002000000,-5166000000,-10869000000,-6441000000,-7230000000,-6591000000,-7325000000,-11878000000,-8160000000,-1994000000,-4380000000,-9239000000,-18857000000,-15580000000,-15984000000,-2578000000,-6309000000
82,Other Non-Cash Items,- -,- -,- -,- -,5000000,-356400000,-765700000,-1400200000,-1007700000,-845000000,-1434000000,1452000000,1846000000,1849000000,599000000,-284000000,2492000000,541000000,3776000000,1509000000,2419000000,3496000000,7017000000,-2001000000,6050000000,-1677000000,110000000,4777000000,-5074000000,-2635000000,6299000000,11905000000,17868000000,7627000000,-529000000,-3905000000,4336000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,866800000,1295900000,1356700000,1278300000,2195500000,2906000000,2383000000,5930000000,7123000000,7580000000,8194000000,9604000000,10260000000,12532000000,15996000000,15044000000,17633000000,20164000000,20354000000,23147000000,26249000000,23643000000,24255000000,25591000000,23257000000,28564000000,27389000000,31530000000,28337000000,27753000000,25255000000,36074000000,24181000000
84,CAPEX,- -,- -,- -,- -,-954600000,-1624200000,-2511000000,-3782000000,-4474200000,-3734000000,-3566000000,-2643000000,-2636000000,-3734000000,-6183000000,-8042000000,-8383000000,-9355000000,-10308000000,-12893000000,-14563000000,-15666000000,-14937000000,-11499000000,-12184000000,-12699000000,-13510000000,-12898000000,-13115000000,-12174000000,-11477000000,-10619000000,-10051000000,-10344000000,-10705000000,-10264000000,-13106000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-786000000,-57000000,- -,-1865000000,-855000000,-10419000000,-627000000,- -,-749000000,1462000000,-315000000,-601000000,542000000,-1595000000,-738000000,- -,-202000000,-3548000000,-316000000,-15000000,671000000,246000000,-1801000000,671000000,-13780000000,777000000,-124000000,7576000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-197800000,-434000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1901000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1134000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,60800000,98100000,361100000,275700000,186000000,1162000000,291000000,575000000,80000000,171000000,-244000000,-45000000,103000000,395000000,534000000,857000000,981000000,661000000,862000000,1495000000,564000000,708000000,449000000,603000000,832000000,378000000,556000000,334000000,320000000,88000000,800000000,317000000,-485000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-893800000,-1526100000,-2149900000,-3506300000,-4486000000,-3792000000,-3332000000,-2068000000,-4421000000,-4418000000,-16846000000,-8714000000,-7146000000,-9709000000,-8312000000,-12351000000,-14183000000,-14463000000,-15670000000,-10742000000,-11620000000,-12193000000,-16609000000,-12611000000,-12298000000,-11125000000,-10675000000,-13987000000,-9060000000,-24036000000,-9128000000,-10071000000,-6015000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107000000,-207000000,-615000000,-648000000,-1176000000,-996000000,-1692000000,-3686000000,-1479000000,-3846000000,-2335000000,-2969000000,-6098000000,-9066000000,-5739000000,-6379000000,-4443000000,-4939000000,-1478000000,-4968000000,-3904000000,-4432000000,-2055000000,-16120000000,-3784000000,-1907000000,-5706000000,-13010000000
91,Common Stock Issued,- -,- -,- -,- -,6200000,19000000,12500000,16000000,9700000,- -,- -,- -,- -,- -,- -,581000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-25800000,- -,- -,- -,- -,- -,-208000000,-1569000000,-1202000000,-101000000,-193000000,-1214000000,-3232000000,-5046000000,-4549000000,-3580000000,-1718000000,-7691000000,-3521000000,-7276000000,-14776000000,-6298000000,-7600000000,-6683000000,-1015000000,-4112000000,-8298000000,-8296000000,-7410000000,-5717000000,-2625000000,-9787000000
93,Dividends Paid,- -,- -,- -,- -,-124500000,-158900000,-195000000,-241400000,-298800000,-391000000,-458000000,-481000000,-611000000,-693000000,-890000000,-1070000000,-1249000000,-1328000000,-1569000000,-2214000000,-2511000000,-2802000000,-3586000000,-3746000000,-4217000000,-4437000000,-5048000000,-5361000000,-6139000000,-6185000000,-6294000000,-6216000000,-6124000000,-6102000000,-6048000000,-6116000000,-6152000000
94,Other Financing Activites,- -,- -,- -,- -,145500000,396200000,993300000,2435200000,2587400000,1409000000,1652000000,-1758000000,690000000,341000000,10616000000,1932000000,3171000000,3817000000,4898000000,6489000000,6638000000,5779000000,13209000000,3088000000,3681000000,11628000000,7827000000,2467000000,6773000000,-3967000000,-1284000000,-2360000000,10665000000,14759000000,-627000000,-1670000000,6121000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,27200000,230500000,810800000,2209800000,2298300000,911000000,987000000,-3062000000,-2138000000,-2730000000,8629000000,-442000000,-2978000000,-2222000000,-5563000000,-2609000000,-2422000000,-4839000000,-7134000000,-9918000000,-14191000000,-12028000000,-8458000000,-11972000000,-11017000000,-15071000000,-16122000000,-18929000000,-19875000000,-2537000000,-14299000000,-16117000000,-22828000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000000,-29000000,-4000000,320000000,205000000,-102000000,97000000,252000000,-781000000,194000000,66000000,-33000000,223000000,-442000000,-514000000,-1022000000,-452000000,487000000,-438000000,-69000000,235000000,-140000000
97,Net Change In Cash,- -,- -,- -,- -,27200000,230500000,810800000,2209800000,2298300000,25000000,38000000,800000000,564000000,432000000,-23000000,198000000,107000000,597000000,2441000000,289000000,926000000,959000000,-2198000000,1706000000,632000000,-512000000,-845000000,1231000000,-500000000,1854000000,-430000000,-1838000000,-111000000,742000000,1759000000,8273000000,-2954000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000000,83000000,883000000,1447000000,1879000000,1856000000,2054000000,2161000000,2758000000,5199000000,5488000000,6414000000,7373000000,5569000000,7275000000,7907000000,7395000000,6550000000,7781000000,7281000000,9135000000,8705000000,6867000000,6756000000,7756000000,9515000000,17788000000,14834000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,12600000,12800000,13000000,30600000,12400000,20000000,45000000,83000000,883000000,1447000000,1879000000,1856000000,2054000000,2161000000,2758000000,5199000000,5488000000,6414000000,7767000000,5569000000,7275000000,7907000000,7395000000,6550000000,7781000000,7281000000,9135000000,8705000000,6867000000,7014000000,7756000000,9515000000,17788000000
100,Free Cash Flow,- -,- -,- -,- -,-87800000,-328300000,-1154300000,-2503700000,-2278700000,-828000000,-1183000000,3287000000,4487000000,3846000000,2011000000,1562000000,1877000000,3177000000,5688000000,2151000000,3070000000,4498000000,5417000000,11648000000,14065000000,10944000000,10745000000,12693000000,10142000000,16390000000,15912000000,20911000000,18286000000,17409000000,14550000000,25810000000,11075000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/104169/000119312506066792/0001193125-06-066792-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312507065603/0001193125-07-065603-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312508071085/0001193125-08-071085-index.htm,- -,https://www.sec.gov/Archives/edgar/data/104169/000119312510071652/0001193125-10-071652-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/0001193125-11-083157-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/0001193125-12-134679-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416913000011/0000104169-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/0000104169-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/0000104169-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416916000079/0000104169-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/0000104169-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/0000104169-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/0000104169-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/0000104169-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/0000104169-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/0000104169-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
