,https://roic.ai/company/DDS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-55800000,355400000,198600000,159600000,326100000,-16700000,105100000,22700000,77400000,33300000,444700000,269200000,-646900000,-79800000,357400000,-556196000,-439304000,-245200000,67600000,-309700000,12090000,207410000,-109800000,-149400000,3600000,157000000,121219000,-85452000,-56263000,-171254000,146847000,80265000,-28199000,59402000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24776000,37272000,-2758000,-2811000,679000,-25670000,9372000,-1092000,8580000,-11416000,3693000,9467000,-3084000
79,Inventory,- -,- -,- -,-17200000,-136600000,-120900000,-146300000,-41000000,-121400000,-62800000,-123300000,-70900000,-227800000,87800000,109180000,228533000,54323000,-32445000,-38069000,-100656000,-123345000,30545000,-7129000,404203000,73714000,10533000,-13977000,9543000,-50740000,-29160000,-24000,-33436000,-57158000,-64856000,63410000,377244000,7585000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15254000,- -,-17981000,11472000,-21752000,104923000,-33702000,156342000,-19615000,104060000,-25597000,-123285000,122607000
81,Other Working Capital,- -,- -,- -,637700000,993100000,1191700000,1351300000,1677400000,1660700000,1765800000,1788500000,1865900000,1899200000,2343900000,2613100000,1966200000,1886400000,2243800000,1687604000,1248300000,1003100000,1070700000,761000000,773090000,980500000,870700000,721300000,724900000,881900000,1003119000,917667000,861404000,690150000,836997000,917262000,889063000,948465000
82,Other Non-Cash Items,- -,- -,- -,17800000,-526600000,-399500000,-327200000,-372000000,-106200000,-171300000,-29800000,-234500000,-299400000,-60600000,-3419000,1150285000,307981000,58815000,668134000,692165000,221328000,-223067000,211889000,350448000,48684000,161288000,-63333000,-17376000,-228851000,-62890000,50136000,193830000,92597000,-176005000,-45166000,160430000,365593000
83,Cash Provided by Operating Activities,- -,- -,- -,147900000,55600000,81800000,176300000,359400000,314500000,395300000,299100000,289300000,247500000,642700000,712264000,797256000,615737000,356942000,432106000,554061000,369142000,360582000,254449000,350005000,554007000,512922000,501140000,522703000,501757000,611589000,450226000,517007000,274285000,367288000,365074000,252946000,1280020000
84,CAPEX,- -,- -,- -,-180500000,-144000000,-241300000,-287900000,-344100000,-316700000,-253000000,-347200000,-350100000,-509500000,-2438300000,-247085000,-225525000,-270595000,-233268000,-227421000,-285331000,-456078000,-320640000,-396337000,-189579000,-75089000,-98184000,-115651000,-136632000,-94923000,-151888000,-165788000,-104824000,-130464000,-137064000,-103383000,-60453000,5901000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4320000,- -,-9000000,- -,- -,- -,- -,- -,-20000000,- -,- -,30580000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-12600000,-55700000,-100600000,-43600000,-11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,68295000,66345000,699543000,158470000,34305000,64350000,67068000,11636000,17569000,32427000,30923000,18295000,8476000,32849000,5175000,20257000,9315000,4711000,12073000,34572000
89,Cash Used for Investing Activites,- -,- -,- -,-193100000,-199700000,-341900000,-331500000,-355100000,-316700000,-253000000,-347200000,-350100000,-509500000,-2438300000,-247085000,-225525000,-270595000,-164973000,-161076000,414212000,-297608000,-266345000,-331987000,-118191000,-63453000,-89615000,-83224000,-105709000,-76628000,-143412000,-132939000,-119649000,-110207000,-127749000,-68092000,-48380000,-69788000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-233888000,-17466000,-56767000,-79020000,-1691000,-784000,-5299000,-3284000,-90483000,-162066000,-966000,-1219000,-1390000
91,Common Stock Issued,- -,- -,- -,100000,155000000,94700000,20600000,21100000,17500000,1500000,1200000,16100000,15800000,25200000,13199000,1373000,2227000,11037000,1130000,16521000,9455000,17248000,6028000,- -,- -,17310000,10820000,6315000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-165500000,-109700000,-168661000,-183753000,-22325000,- -,-18915000,-40381000,-100868000,-3331000,-111592000,-17441000,- -,-413900000,-491157000,-236734000,-301566000,-290408000,-500000000,-240171000,-223013000,-129884000,-130928000,-102879000,-544868000
93,Dividends Paid,- -,- -,- -,-4600000,-7400000,-7300000,-8200000,-6700000,-9000000,-10200000,-17000000,-11400000,-17900000,-17300000,-16955000,-14784000,-13123000,-13529000,-13395000,-13296000,-12987000,-12749000,-12492000,-11898000,-11796000,-11110000,-10002000,-252341000,-7361000,-10367000,-10008000,-9787000,-9424000,-11108000,-11520000,-13976000,-305240000
94,Other Financing Activites,- -,- -,- -,37100000,9100000,156900000,146200000,32200000,-47700000,-133800000,71200000,61800000,407400000,1928000000,-166442000,-379308000,-352941000,-200081000,-221333000,-593742000,-165542000,-201251000,90512000,-194564000,- -,3457000,10171000,44574000,-1437000,- -,-2863000,- -,-1115000,- -,- -,-3230000,-2314000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,32600000,156700000,244300000,158600000,46600000,-39200000,-142500000,55400000,66500000,239800000,1826200000,-338859000,-576472000,-386162000,-202573000,-252513000,-630898000,-269942000,-200083000,-27544000,-223903000,-245684000,-421709000,-536935000,-517206000,-312055000,-301559000,-518170000,-253242000,-324035000,-303058000,-143414000,-121304000,-853812000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,32600000,156700000,244300000,158600000,46600000,-39200000,-142500000,55400000,66500000,239800000,1826200000,126320000,-4741000,-41020000,-10604000,18517000,337375000,-198408000,-105846000,-105082000,7911000,244870000,1598000,-119019000,-100212000,113074000,166618000,-200883000,144116000,-159957000,-63519000,153568000,83262000,356420000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198721000,193980000,152960000,142356000,160873000,498248000,299840000,193994000,88912000,96823000,341693000,343291000,224272000,124060000,237134000,403752000,202869000,346985000,187028000,123509000,277077000,360339000,716759000
99,Cash at the Beginning of Period,- -,- -,- -,54100000,41500000,54100000,38200000,41600000,92600000,51200000,51100000,58400000,64100000,41800000,72401000,198721000,193980000,152960000,142356000,160873000,498248000,299840000,193994000,88912000,96823000,341693000,343291000,224272000,124060000,237134000,403752000,202869000,346985000,187028000,123509000,277077000,360339000
100,Free Cash Flow,- -,- -,- -,-32600000,-88400000,-159500000,-111600000,15300000,-2200000,142300000,-48100000,-60800000,-262000000,-1795600000,465179000,571731000,345142000,123674000,204685000,268730000,-86936000,39942000,-141888000,160426000,478918000,414738000,385489000,386071000,406834000,459701000,284438000,412183000,143821000,230224000,261691000,192493000,1285921000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28917/000002891796000005/0000028917-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891797000003/0000028917-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891798000004/0000028917-98-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28917/000002891702000016/0000028917-02-000016-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28917/000119312506071918/d10k.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312507074149/0001193125-07-074149-index.html,https://www.sec.gov/Archives/edgar/data/28917/000119312508073400/0001193125-08-073400-index.html,https://www.sec.gov/Archives/edgar/data/28917/000119312509070701/0001193125-09-070701-index.html,https://www.sec.gov/Archives/edgar/data/28917/000104746910002784/0001047469-10-002784-index.html,https://www.sec.gov/Archives/edgar/data/28917/000104746911002536/a2202861z10-k.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746912003143/0001047469-12-003143-index.html,https://www.sec.gov/Archives/edgar/data/28917/000104746913003588/0001047469-13-003588-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891714000049/dds-02012014x10k.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891715000046/dds-01312015x10k.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891716000262/0000028917-16-000262-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891717000058/0000028917-17-000058-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891718000159/0000028917-18-000159-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891719000078/0000028917-19-000078-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891720000041/0000028917-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891721000066/0000028917-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891722000009/0000028917-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
