,https://roic.ai/company/RGR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-8200000,-7100000,-3000000,-3500000,-7300000,-12400000,-15700000,-7600000,-4500000,-6000000,-4500000,-7023000,-3605000,-3155000,-3996000,-6945000,-4460000,-3906000,-4468000,-9488000,-13819000,-19409000,-22135000,-27282000,-54616000,-45571000,-28705000,-35215000,-33596000,-10541000,-20296000,-24229000,-28776000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-46800000,-40500000,-74600000,-152300000,-199500000,-168600000,-160600000,-156100000,-160800000,-131500000,-184800000,-156700000,-165183000,-145392000,-148620000,-123098000,-125245000,-114585000,-51328000,-45363000,-77281000,-164966000,-122978000,-59966000,- -,- -,- -,- -,- -,-114259000,-282738000,-369439000,-681940000
87,Sales/Maturities of Investments,- -,- -,- -,- -,43600000,44300000,66100000,139800000,176700000,161900000,174100000,169000000,146400000,133800000,157400000,161436000,167101000,159574000,148370000,144693000,131749000,114485000,42850000,57309000,45098000,163214000,175471000,59966000,- -,- -,- -,- -,- -,- -,267576000,377920000,602976000
88,Other Investing Activites,- -,- -,- -,- -,300000,100000,- -,100000,100000,-100000,- -,-9000000,-6900000,1000000,200000,2360000,- -,322000,10909000,1580000,- -,2251000,12542000,95000,51000,21000,319000,1003000,233000,24000,222000,325000,3000,10000,14000,-28138000,203000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-11100000,-3200000,-11500000,-15900000,-30000000,-19200000,-2200000,-3700000,-25800000,-2700000,-31700000,73000,-1687000,11349000,6663000,16230000,2044000,-1755000,-404000,2553000,-45951000,-21140000,30677000,-26279000,-54383000,-45547000,-28483000,-34890000,-33593000,-124790000,-35444000,-43886000,-107537000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,-25205000,-21126000,-10153000,-14000,-5718000,-1999000,- -,- -,-24002000,-2841000,-14018000,-64850000,- -,-1995000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-10100000,-7400000,-8100000,-16800000,-14100000,-16100000,-18800000,-21500000,-21500000,-21500000,-21500000,-21529000,-21529000,-21529000,-21529000,-16146000,-8073000,- -,- -,- -,-5816000,-6317000,-8159000,-111523000,-41079000,-31446000,-20569000,-32815000,-23905000,-19201000,-14319000,-113896000,-59104000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1412000,808000,-2004000,539000,-121000,-719000,-352000,-5176000,-2482000,-816000,-901000,-1297000,-4801000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-10100000,-7400000,-8200000,-16800000,-14100000,-16100000,-18800000,-21500000,-21500000,-21700000,-21500000,-21529000,-21529000,-21529000,-21529000,-16146000,-8073000,-25205000,-21126000,-9153000,-5418000,-11227000,-12162000,-110984000,-41200000,-56167000,-23762000,-52009000,-91237000,-20017000,-17215000,-115193000,-63905000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-10100000,-7400000,-8200000,-16800000,-14100000,-16100000,-18800000,-21500000,-21500000,-21700000,3500000,-4091000,-235000,-240000,-152000,1395000,-784000,3259000,-2210000,4582000,-4680000,124000,75924000,-50078000,24086000,-46163000,60324000,17901000,-23639000,-24995000,-3072000,-15273000,897000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,4073000,3838000,3598000,3446000,4841000,4057000,7316000,5106000,9688000,5008000,5132000,81056000,30978000,55064000,8901000,69225000,87126000,63487000,38492000,35420000,20147000,21044000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3300000,2600000,800000,5600000,2300000,7700000,7700000,3600000,2700000,4500000,4700000,8164000,4073000,3838000,3598000,3446000,4841000,4057000,7316000,5106000,9688000,5008000,5132000,81056000,30978000,55064000,8901000,69225000,87126000,63487000,38492000,35420000,20147000
100,Free Cash Flow,- -,- -,- -,- -,12300000,1700000,21500000,25900000,42200000,23000000,1200000,16800000,44600000,18600000,52200000,10342000,19376000,6785000,10718000,-5634000,785000,26313000,14852000,1694000,32870000,13082000,35274000,59903000,65053000,9980000,83864000,69585000,67595000,109271000,29291000,119577000,143563000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95029/000095012306005431/0000950123-06-005431-index.htm,- -,https://www.sec.gov/Archives/edgar/data/95029/000095012307003217/y31428e10vk.htm,https://www.sec.gov/Archives/edgar/data/95029/000119380508000685/e603412_10k-sturm.htm,https://www.sec.gov/Archives/edgar/data/95029/000119380509000482/0001193805-09-000482-index.html,https://www.sec.gov/Archives/edgar/data/95029/000119380510000561/0001193805-10-000561-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494711000076/d27924.htm,https://www.sec.gov/Archives/edgar/data/95029/000117494712000070/0001174947-12-000070-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494713000078/0001174947-13-000078-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494714000046/rgr121310k.htm,https://www.sec.gov/Archives/edgar/data/95029/000117494715000283/form10k-13005_rgr.htm,- -,https://www.sec.gov/Archives/edgar/data/95029/000117494717000224/0001174947-17-000224-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494718000243/0001174947-18-000243-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494719000236/0001174947-19-000236-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494720000190/0001174947-20-000190-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494721000168/0001174947-21-000168-index.htm,https://www.sec.gov/Archives/edgar/data/95029/000117494722000269/0001174947-22-000269-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
