,https://roic.ai/company/TSN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000000,81000000,92000000,69000000,77000000,89000000,91000000
77,Change in Working Capital,- -,- -,- -,- -,-5300000,- -,- -,- -,- -,721000000,-67000000,470000000,-272000000,82000000,-194000000,-50000000,184000000,177000000,-155000000,343000000,89000000,13000000,140000000,777000000,124000000,-309000000,333000000,167000000,21000000,-170000000,-578000000,280000000,100000000,-1569000000,999000000,1993000000,381000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000000,-79000000,-114000000,-69000000,-126000000,-93000000,66000000,73000000,-55000000,-2000000,-226000000,191000000,-508000000
79,Inventory,- -,- -,- -,- -,-30700000,-63600000,-14200000,10600000,-66900000,-34000000,-140500000,-126700000,143600000,79800000,-98800000,84000000,- -,-4000000,-78000000,-65000000,13000000,8000000,-166000000,-376000000,493000000,-239000000,-299000000,-259000000,15000000,-148000000,220000000,148000000,-246000000,-207000000,-214000000,-20000000,-567000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-148000000,101000000,152000000,106000000,-12000000,202000000,-162000000,-130000000,61000000,-44000000,-55000000,-64000000,351000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,721000000,654000000,1124000000,852000000,934000000,740000000,690000000,874000000,1051000000,896000000,1239000000,1328000000,1341000000,1481000000,2258000000,2382000000,2073000000,2406000000,2573000000,2594000000,2424000000,1846000000,2126000000,2226000000,657000000,1656000000,3649000000,1110000000
82,Other Non-Cash Items,- -,- -,- -,- -,400000,98900000,12000000,-61400000,-53800000,-854600000,-76700000,-638900000,386100000,257500000,233100000,145000000,-43900000,125000000,67000000,-312000000,130000000,83000000,-249000000,-1103000000,968000000,446000000,-629000000,-202000000,8000000,59000000,1110000000,-202000000,-89000000,1361000000,-1775000000,-1585000000,-768000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,182100000,357100000,297100000,265900000,308400000,50300000,291300000,173300000,541000000,496400000,546700000,587000000,510400000,1174000000,820000000,932000000,999000000,287000000,678000000,288000000,1025000000,1432000000,1046000000,1187000000,1314000000,1178000000,2570000000,2716000000,2599000000,2963000000,2513000000,3874000000,3840000000
84,CAPEX,- -,- -,- -,- -,-128900000,-163800000,-213600000,-108000000,-225300000,-232100000,-347200000,-214000000,-291200000,-568900000,-363300000,-196000000,-260700000,-433000000,-402000000,-486000000,-571000000,-531000000,-285000000,-425000000,-368000000,-550000000,-643000000,-690000000,-558000000,-632000000,-854000000,-695000000,-1069000000,-1200000000,-1259000000,-1199000000,-1209000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1670400000,-73000000,- -,- -,- -,- -,- -,- -,-93000000,- -,- -,- -,-106000000,-8193000000,539000000,- -,-3081000000,-677000000,-2292000000,-154000000,1144000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99000000,-543000000,-941000000,-131000000,-115000000,-37000000,-53000000,-146000000,-58000000,-135000000,-18000000,-38000000,-46000000,-79000000,-42000000,-64000000,-105000000,-72000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000000,4000000,- -,504000000,214000000,917000000,134000000,71000000,92000000,66000000,47000000,117000000,33000000,52000000,37000000,61000000,37000000,63000000,87000000,70000000
88,Other Investing Activites,- -,- -,- -,- -,-1379900000,27600000,7900000,3300000,-77400000,-78100000,-383800000,-8400000,155300000,122700000,197400000,-10000000,-86700000,84000000,37000000,-15000000,49000000,34000000,78000000,7000000,- -,11000000,79000000,41000000,39000000,10000000,31000000,20000000,4000000,-24000000,88000000,-52000000,125000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1508800000,-136200000,-205700000,-104700000,-302700000,-310200000,-731000000,-222400000,-135900000,-446200000,-165900000,-206000000,-2017800000,-328000000,-361000000,-600000000,-561000000,-1224000000,579000000,-399000000,-427000000,-500000000,-644000000,-660000000,-643000000,-8800000000,-270000000,-684000000,-4164000000,-1906000000,-3464000000,-1423000000,58000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-380000000,-1034000000,-500000000,-993000000,-91000000,-639000000,-3340000000,-1479000000,-12629000000,-24259000000,-21600000000,-17763000000,-2632000000
91,Common Stock Issued,- -,- -,- -,- -,- -,93000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33600000,- -,- -,43000000,24000000,42000000,74000000,283000000,- -,- -,- -,- -,- -,2128000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66900000,-32000000,-1300000,-109600000,-22300000,-52100000,-69000000,-47800000,-19000000,-41000000,-72000000,-45000000,-42000000,-61000000,-30000000,-19000000,-48000000,-207000000,-264000000,-614000000,-295000000,-495000000,-1944000000,-860000000,-427000000,-252000000,-207000000,-67000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1700000,-2800000,-5000000,-2300000,- -,- -,- -,- -,- -,- -,- -,-58000000,-54000000,-55000000,-55000000,-55000000,-56000000,-56000000,-60000000,-59000000,-59000000,-57000000,-104000000,-104000000,-147000000,-216000000,-319000000,-431000000,-537000000,-601000000,-636000000
94,Other Financing Activites,- -,- -,- -,- -,1364700000,-353400000,-81200000,-156800000,-6200000,334700000,483400000,53400000,-308800000,-4900000,-342700000,-297000000,1549500000,-789000000,-387000000,-242000000,-367000000,984000000,-1209000000,124000000,609000000,182000000,108000000,1143000000,209000000,5825000000,1947000000,1262000000,15338000000,24015000000,23560000000,17103000000,604000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1364700000,-260400000,-82900000,-159600000,-11200000,265500000,451400000,52100000,-418400000,-27200000,-394800000,-366000000,1535300000,-866000000,-482000000,-326000000,-443000000,929000000,-1252000000,321000000,150000000,-959000000,-658000000,-171000000,-600000000,6915000000,-2035000000,-2377000000,1530000000,-1102000000,1171000000,-1468000000,-2731000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5600000,500000,300000,-100000,-2200000,-2000000,-800000,1000000,-3000000,2000000,12000000,-4000000,9000000,-2000000,6000000,1000000,-6000000,-1000000,3000000,- -,-15000000,6000000,4000000,-3000000,-6000000,-1000000,4000000
97,Net Change In Cash,- -,- -,- -,- -,1364700000,-260400000,-82900000,-159600000,-11200000,265500000,451400000,52100000,-418400000,-27200000,-16200000,13000000,27100000,-19000000,-26000000,8000000,7000000,-12000000,14000000,208000000,754000000,-26000000,-262000000,355000000,74000000,-707000000,250000000,-339000000,-31000000,-48000000,214000000,936000000,1041000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30300000,43000000,70000000,51000000,25000000,33000000,40000000,28000000,42000000,250000000,1004000000,978000000,716000000,1071000000,1145000000,438000000,688000000,349000000,318000000,270000000,484000000,1420000000,2507000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,18500000,56400000,16900000,25500000,27100000,21500000,27000000,33100000,36600000,23600000,46500000,30000000,42900000,70000000,51000000,25000000,33000000,40000000,28000000,42000000,250000000,1004000000,978000000,716000000,1071000000,1145000000,438000000,688000000,349000000,318000000,270000000,484000000,1466000000
100,Free Cash Flow,- -,- -,- -,- -,53200000,193300000,83500000,157900000,83100000,-181800000,-55900000,-40700000,249800000,-72500000,183400000,391000000,249700000,741000000,418000000,446000000,428000000,-244000000,393000000,-137000000,657000000,882000000,403000000,497000000,756000000,546000000,1716000000,2021000000,1530000000,1763000000,1254000000,2675000000,2631000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100493/000010049394000026/0000100493-94-000026-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100493/000010049398000013/0000100493-98-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/100493/000010049300000012/0000100493-00-000012-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049301500040/0000100493-01-500040-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049302000026/0000100493-02-000026-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049303000064/0000100493-03-000064-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100493/000010049307000102/0000100493-07-000102-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049308000060/0000100493-08-000060-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049309000067/0000100493-09-000067-index.html,https://www.sec.gov/Archives/edgar/data/100493/000119312510265708/0001193125-10-265708-index.html,https://www.sec.gov/Archives/edgar/data/100493/000119312511317791/0001193125-11-317791-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049312000065/0000100493-12-000065-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049313000079/0000100493-13-000079-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049314000220/0000100493-14-000220-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049315000109/0000100493-15-000109-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049316000281/0000100493-16-000281-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049317000133/0000100493-17-000133-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049318000108/0000100493-18-000108-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049319000118/0000100493-19-000118-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049320000132/0000100493-20-000132-index.htm,https://www.sec.gov/Archives/edgar/data/100493/000010049321000122/0000100493-21-000122-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
