,https://roic.ai/company/CMS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,-7000000,30000000,-5000000,6000000,50000000,-26000000,59000000,49000000,22000000,-69000000,- -,153000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-391000000,-600000000,-709000000,-937000000,-403000000,-690000000,-753000000,-777000000,-150000000,844000000,1244000000,1786000000,987000000,407000000,964000000,788000000,738000000,227000000,625000000,581000000,583000000,18000000,-375000000,-309000000,-156000000,-373000000,-670000000,805000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,365000000,612000000,484000000,584000000,-357000000,917000000,472000000,986000000,396000000,-1201000000,51000000,188000000,1837000000,1043000000,-427000000,103000000,-134000000,552000000,-364000000,117000000,56000000,685000000,396000000,-119000000,-222000000,185000000,-400000000,-2349000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,612000000,682000000,661000000,657000000,516000000,917000000,453000000,417000000,403000000,-251000000,572000000,646000000,688000000,27000000,559000000,848000000,959000000,1169000000,1241000000,1421000000,1447000000,1640000000,1629000000,1705000000,1703000000,1790000000,1276000000,1819000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-575000000,-535000000,-659000000,-711000000,-1295000000,-1124000000,-1032000000,-1262000000,-747000000,-535000000,-525000000,-593000000,-670000000,-1291000000,-826000000,-867000000,-864000000,-882000000,-1276000000,-1381000000,-1652000000,-1653000000,-1779000000,-1780000000,-2220000000,-2236000000,-2448000000,-2076000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-146000000,-20000000,- -,- -,-1938000000,-74000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-154000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102000000,-293000000,-212000000,-880000000,-345000000,-380000000,- -,- -,- -,- -,-3050000000,-456000000,-131000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2942000000,613000000,254000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000000,-42000000,50000000,7000000,6000000,-122000000,239000000,136000000,1831000000,738000000,241000000,-105000000,-204000000,1949000000,-13000000,-886000000,-1003000000,-1058000000,-1301000000,-1476000000,-1835000000,-1801000000,-1808000000,-1753000000,-2606000000,-2684000000,-2736000000,-1233000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-709000000,-1016000000,-841000000,-1584000000,-1634000000,-3564000000,-867000000,-1126000000,1084000000,203000000,-392000000,-541000000,-751000000,658000000,-839000000,-935000000,-1003000000,-1058000000,-1350000000,-1532000000,-1910000000,-2044000000,-1915000000,-1868000000,-2606000000,-2816000000,-2867000000,-1233000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1212000000,-941000000,-437000000,-1562000000,-776000000,-801000000,-260000000,-750000000,-1254000000,-2004000000,-1285000000,-2010000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,223000000,160000000,192000000,510000000,269000000,810000000,552000000,464000000,357000000,272000000,290000000,295000000,8000000,15000000,9000000,9000000,10000000,29000000,30000000,36000000,43000000,43000000,72000000,83000000,41000000,12000000,253000000,26000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-1000000,-1000000,-122000000,-3000000,-194000000,-395000000,-6000000,-9000000,- -,-11000000,- -,- -,-32000000,-1000000,-4000000,-239000000,- -,- -,-7000000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67000000,-84000000,-103000000,-119000000,-140000000,-163000000,-167000000,-189000000,-149000000,- -,- -,-11000000,-11000000,-56000000,-95000000,-125000000,-162000000,-211000000,-252000000,-273000000,-295000000,-322000000,-347000000,-377000000,-407000000,-436000000,-467000000,-509000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,236000000,92000000,669000000,1024000000,2225000000,474000000,447000000,-1436000000,-42000000,-322000000,-210000000,-431000000,-617000000,232000000,1297000000,1534000000,420000000,1825000000,1210000000,1551000000,1002000000,1280000000,1658000000,3244000000,2717000000,3843000000,188000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,311000000,180000000,938000000,1150000000,2678000000,464000000,716000000,-1237000000,230000000,-43000000,74000000,-434000000,-690000000,145000000,-35000000,202000000,-199000000,41000000,190000000,498000000,463000000,255000000,110000000,874000000,1008000000,1619000000,-295000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,-1000000,1000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,-23000000,- -,11000000,32000000,31000000,50000000,7000000,250000000,181000000,137000000,178000000,-496000000,-3000000,-135000000,-117000000,157000000,-86000000,-68000000,79000000,35000000,59000000,-31000000,-53000000,-29000000,-18000000,28000000,291000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,56000000,56000000,67000000,101000000,132000000,182000000,189000000,377000000,532000000,669000000,847000000,351000000,348000000,213000000,90000000,247000000,161000000,93000000,172000000,207000000,266000000,257000000,204000000,175000000,157000000,185000000,476000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,79000000,56000000,56000000,69000000,101000000,132000000,182000000,127000000,351000000,532000000,669000000,847000000,351000000,348000000,207000000,90000000,247000000,161000000,93000000,172000000,207000000,288000000,257000000,204000000,175000000,157000000,185000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,147000000,2000000,-54000000,-779000000,-207000000,-579000000,-845000000,-344000000,-786000000,47000000,53000000,18000000,-1264000000,-267000000,-19000000,95000000,287000000,-35000000,40000000,-205000000,-13000000,-150000000,-75000000,-517000000,-446000000,-1172000000,1819000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/811156/000020153395000029/0000201533-95-000029-index.html,https://www.sec.gov/Archives/edgar/data/811156/000020153396000043/0000201533-96-000043-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811156/000095012405001425/k91832e10vk.txt,https://www.sec.gov/Archives/edgar/data/811156/000095012406000851/k02628e10vk.txt,- -,https://www.sec.gov/Archives/edgar/data/811156/000095012408000749/k23633e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000095015209001765/k47328e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000095012310018474/k48861e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000095012311017966/k50057e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000119312512074276/d287367d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/811156/000110465914006974/a14-1343_210k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/a15-1932_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465916095725/a15-23273_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465917006823/a17-1055_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465918009493/a18-1030_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000081115619000003/consumersenergy10k12312018.htm,https://www.sec.gov/Archives/edgar/data/201533/000081115620000004/0000811156-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/811156/000081115621000016/0000811156-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/811156/000081115622000048/0000811156-22-000048-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
