,https://roic.ai/company/SON,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,10200000,5100000,5600000,-3700000,5500000,-17600000,-12900000,-20400000,-1500000,-2300000,-15300000,-24413000,23438000,19307000,-10117000,-38395000,-6447000,33159000,-9259000,5017000,36492000,-57071000,3423000,16157000,-32787000,7414000,-2567000,-11515000,-16067000,-6150000,2631000,12125000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62614000,15438000,43255000,-13798000,-16010000,65894000,25642000,12349000,5550000,4226000,-4380000,-25383000,21487000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,222100000,229300000,262500000,438900000,225300000,306500000,258713000,204899000,63240000,75671000,282226000,265014000,282974000,269598000,231794000,190934000,376867000,476308000,455661000,511249000,484838000,384862000,546152000,563666000,436342000,116704000,318920000,-308484000
82,Other Non-Cash Items,- -,- -,- -,- -,-1200000,80400000,-14600000,44300000,-74100000,-250900000,-37600000,-65200000,15900000,43900000,-192900000,72941000,145967000,90576000,6049000,-274834000,-55654000,119924000,94957000,267257000,250061000,-40152000,-89750000,195014000,203190000,145948000,293649000,-73579000,163564000,402352000,422411000,29403000,692633000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,167800000,187900000,156500000,157400000,162800000,219500000,254600000,291800000,300000000,227800000,240000000,362450000,364341000,271445000,331838000,252188000,227363000,482563000,445136000,379394000,390988000,375136000,245275000,403915000,538027000,417915000,452930000,398679000,349358000,589898000,425850000,705621000,298672000
84,CAPEX,- -,- -,- -,- -,-133400000,-149300000,-90600000,-109300000,-115600000,-126700000,-181400000,-232000000,-230700000,-273800000,-320100000,-117151000,-101983000,-123959000,-113574000,-119800000,-129112000,-123279000,-169444000,-123114000,-104150000,-145910000,-173372000,-214862000,-172442000,-177076000,-192295000,-186741000,-188913000,-192574000,-195934000,-194127000,-242853000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5670000,-273187000,-8500000,-6232000,-267016000,-3566000,-227304000,-236263000,-5535000,-5504000,-137835000,-566908000,-477000,-7522000,-338115000,-20104000,-88338000,-382038000,-277177000,-298380000,54150000,69360000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,- -,-1293000,-1765000,-8450000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2652000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100700000,3400000,10400000,-28300000,-316800000,-24900000,-102600000,-79000000,54200000,290400000,26200000,21466000,3302000,8036000,83886000,8638000,13377000,21030000,23417000,19758000,19909000,8486000,11121000,31967000,10511000,7758000,32530000,271937000,5271000,25623000,15217000,13650000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-32700000,-145900000,-80200000,-137600000,-432400000,-151600000,-284000000,-311000000,-176500000,16600000,-293900000,-101355000,-371868000,-124423000,-35920000,-378178000,-119301000,-332053000,-379638000,-110184000,-91510000,-283709000,-729159000,-183372000,-169453000,-507433000,-179869000,-3142000,-565680000,-444128000,-479097000,-126327000,-173493000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-192115000,-140256000,-358927000,-17054000,-46820000,-294347000,-49624000,-182900000,-306305000,-217320000,-281262000,-139582000,-886055000,-107077000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,300000,7800000,174900000,- -,8400000,17200000,19200000,32900000,5400000,4932000,14043000,21618000,8752000,31450000,34617000,74413000,49698000,6470000,7159000,23155000,21253000,9739000,15781000,5373000,1324000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-8200000,-20700000,- -,-3100000,-2400000,-29500000,-18700000,-122600000,-600000,-169100000,-13000000,-138012000,-2055000,- -,- -,- -,- -,-82668000,-109206000,-843000,-1239000,-24658000,-49442000,-4167000,-27239000,-87800000,-7868000,-106739000,-6335000,-14561000,-9608000,-8483000,-218085000
93,Dividends Paid,- -,- -,- -,- -,-35600000,-39200000,-39700000,-42400000,-46300000,-56000000,-60900000,-65700000,-67700000,-72000000,-76400000,-78718000,-76080000,-79768000,-81128000,-85060000,-90126000,-94745000,-102658000,-106558000,-107887000,-111756000,-114958000,-119771000,-124845000,-128793000,-138032000,-146364000,-153137000,-161434000,-170253000,-172626000,-178622000
94,Other Financing Activites,- -,- -,- -,- -,-82300000,30600000,-42700000,35800000,139000000,19200000,136000000,199900000,-91400000,-32900000,117900000,-49119000,72308000,-93795000,-173147000,209653000,-110075000,-22681000,87196000,51668000,22565000,355604000,667686000,133650000,-84417000,300307000,71120000,243712000,580029000,183603000,396643000,904290000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-126100000,-29300000,-82100000,-1900000,265200000,-66300000,64800000,28800000,-140500000,-241100000,33900000,-260917000,8216000,-151945000,-245523000,156043000,-165584000,-125681000,-74970000,-241378000,-219658000,-116582000,507485000,-27369000,-515067000,39463000,-256356000,-315696000,203237000,-273654000,77200000,-162874000,-503784000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-3700000,1500000,-5500000,-8500000,-7900000,1000000,-2200000,- -,-600000,400000,-700000,-1474000,222000,198000,3054000,2818000,-595000,2061000,-6268000,3065000,3770000,-1841000,-6327000,4387000,-9024000,-6344000,4561000,-5049000,10771000,-6639000,941000,3145000,- -
97,Net Change In Cash,- -,- -,- -,- -,-126100000,-29300000,-82100000,-1900000,265200000,-66300000,64800000,28800000,-140500000,-241100000,-20700000,-1296000,911000,-4725000,53449000,32871000,-58117000,26890000,-15740000,30897000,83590000,-26996000,17274000,197561000,-155517000,-56399000,21266000,74792000,-2314000,-134523000,24894000,419565000,-393870000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36500000,35219000,36130000,31405000,84854000,117725000,59608000,86498000,70758000,101655000,185245000,158249000,175523000,373084000,217567000,161168000,182434000,257226000,254912000,120389000,145283000,564848000,170978000
99,Cash at the Beginning of Period,- -,- -,- -,- -,20400000,25700000,39900000,28600000,38100000,25900000,28400000,61600000,71300000,53600000,57200000,36515000,35219000,36130000,31405000,84854000,117725000,59608000,86498000,70758000,101655000,185245000,158249000,175523000,373084000,217567000,161168000,182434000,257226000,254912000,120389000,145283000,564848000
100,Free Cash Flow,- -,- -,- -,- -,34400000,38600000,65900000,48100000,47200000,92800000,73200000,59800000,69300000,-46000000,-80100000,245299000,262358000,147486000,218264000,132388000,98251000,359284000,275692000,256280000,286838000,229226000,71903000,189053000,365585000,240839000,260635000,211938000,160445000,397324000,229916000,511494000,55819000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91767/000095014495000871/0000950144-95-000871-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91767/000095014403002818/g80911e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014404001875/g87423e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014405001972/g93476ke10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014406001529/g99753e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014407001705/g05676e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312508041845/d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312509040463/0001193125-09-040463-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312510042088/0001193125-10-042088-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312511048615/d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312512088468/0001193125-12-088468-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312513086675/0001193125-13-086675-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312514079079/d668302d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312515072931/d847921d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312516485573/0001193125-16-485573-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312517064495/0001193125-17-064495-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312518063468/0001193125-18-063468-index.html,https://www.sec.gov/Archives/edgar/data/91767/000009176719000015/0000091767-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/91767/000009176720000033/0000091767-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/91767/000009176721000011/0000091767-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/91767/000009176722000014/0000091767-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
