,https://roic.ai/company/PKI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,52400000,129200000,104400000,127800000,112100000,- -,150200000,80200000,34800000,- -,69600000,145548000,123299000,101504000,167475000,- -,200757000,127440000,205127000,217844000,- -,148722000,164253000,152170000,158591000,281597000,- -,287098000,288453000,311038000,363469000,- -,892177000
84,CAPEX,- -,- -,- -,- -,-23300000,-19800000,-26600000,-22400000,-27900000,- -,-61800000,-80500000,-48700000,- -,-264500000,-70598000,-88699000,-67819000,-17547000,- -,-18961000,-44473000,-46978000,-43325000,- -,-31686000,-33646000,-42408000,-38991000,-29072000,- -,-29632000,-39089000,-93253000,-81331000,- -,-77506000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-397384000,45458000,-22511000,534000,- -,2765000,-133128000,-315872000,-90491000,- -,-122690000,-150374000,-40858000,-15699000,-271477000,- -,-72040000,-1526083000,-59659000,-399855000,- -,-407215000
86,Purchases of Investments,- -,- -,- -,- -,-3900000,-4700000,-3400000,-1100000,-2500000,- -,- -,- -,- -,- -,- -,-20457000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122690000,- -,- -,- -,- -,- -,- -,-10783000,-7019000,-6387000,- -,-20059000
87,Sales/Maturities of Investments,- -,- -,- -,- -,33900000,5000000,14500000,5300000,7800000,- -,10600000,9400000,4100000,- -,7600000,- -,- -,- -,- -,- -,- -,23627000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36541000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-80900000,-24100000,1900000,-55600000,-22600000,- -,12400000,-200000,46500000,- -,210400000,87009000,109760000,-65707000,194240000,- -,4513000,14478000,13511000,-1862000,- -,91513000,445523000,-39451000,14488000,-24420000,- -,-28816000,250953000,-93181000,-81331000,- -,-77224000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-74200000,-43600000,-13600000,-73800000,-45200000,- -,-38800000,-71300000,1900000,- -,-46500000,-401430000,66519000,-156037000,177227000,- -,-11683000,-139496000,-349339000,-135678000,- -,-153867000,295149000,-80309000,-1211000,-295897000,- -,-100856000,-1249372000,-159859000,-487573000,- -,-504498000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-363234000,-508995000,-435850000,-699119000,-368675000,- -,-486072000,-238796000,-1292383000,-2237740000,- -,-902168000
91,Common Stock Issued,- -,- -,- -,- -,13000000,16100000,21700000,28600000,26200000,- -,3700000,4800000,6700000,- -,28300000,46902000,39475000,19051000,3617000,- -,15041000,21520000,32377000,43741000,- -,6244000,29035000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-49000000,-55700000,-24200000,-28600000,-45000000,- -,-135100000,-30800000,-28100000,- -,-41200000,-10589000,-1784000,-5925000,- -,- -,- -,-190121000,-202971000,-75514000,- -,-14619000,-72768000,-2104000,-127398000,-65529000,- -,-76439000,-3834000,-57445000,-6313000,- -,-6944000
93,Dividends Paid,- -,- -,- -,- -,-19900000,-21700000,-23500000,-27600000,-29400000,- -,-29300000,-26600000,-25700000,- -,-25400000,-27533000,-28294000,-35279000,-35409000,- -,-35781000,-35455000,-33704000,-33072000,- -,-32701000,-32992000,-31903000,-31600000,-31620000,- -,-31571000,-30793000,-31009000,-31059000,- -,-31212000
94,Other Financing Activites,- -,- -,- -,- -,64300000,-18800000,-35500000,-17800000,-14800000,- -,57800000,16100000,24400000,- -,52300000,251009000,-179726000,52826000,-266559000,- -,-175198000,-109450000,353185000,-36240000,- -,406722000,367353000,425694000,703957000,496755000,- -,486943000,1055659000,1201607000,2425242000,- -,737452000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,8400000,-80100000,-61500000,-45400000,-63000000,- -,-102900000,-36500000,-22700000,- -,14000000,259789000,-170329000,30673000,-298351000,- -,-195938000,-313506000,148887000,-101085000,- -,2412000,-218367000,-44163000,-154160000,30931000,- -,-107139000,782236000,-179230000,150130000,- -,-202872000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-500000,-1900000,-1500000,- -,1300000,-700000,-4000000,- -,500000,-5006000,-5523000,16225000,14533000,- -,12878000,14357000,7614000,-5319000,- -,3330000,-656000,1404000,-1422000,-15052000,- -,-15992000,21552000,-8004000,-447000,- -,25913000
97,Net Change In Cash,- -,- -,- -,- -,8400000,-80100000,-61500000,-45400000,-63000000,- -,-102900000,-36500000,-22700000,- -,14000000,-1099000,13966000,-7635000,60884000,- -,6014000,-311205000,12289000,-24238000,- -,597000,240379000,29102000,1798000,1579000,- -,63111000,-157131000,-36055000,25579000,- -,210720000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125551000,139517000,130615000,191499000,- -,197513000,191059000,203348000,179110000,- -,179707000,420086000,171444000,173242000,174821000,- -,237932000,202134000,166315000,191894000,- -,402614000
99,Cash at the Beginning of Period,- -,- -,- -,- -,41900000,28600000,34200000,63000000,69800000,- -,66400000,76200000,47800000,- -,57900000,126650000,125551000,138250000,130615000,- -,191499000,502264000,191059000,203348000,- -,179110000,179707000,142342000,171444000,173242000,- -,174821000,359265000,202370000,166315000,- -,191894000
100,Free Cash Flow,- -,- -,- -,- -,29100000,109400000,77800000,105400000,84200000,- -,88400000,-300000,-13900000,- -,-194900000,74950000,34600000,33685000,149928000,- -,181796000,82967000,158149000,174519000,- -,117036000,130607000,109762000,119600000,252525000,- -,257466000,249364000,217785000,282138000,- -,814671000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/31791/000003179196000004/0000031791-96-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/31791/000095013598001768/0000950135-98-001768-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/31791/000095013502001706/0000950135-02-001706-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000095013503001805/0000950135-03-001805-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000095013504001251/0000950135-04-001251-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000119312505048036/0001193125-05-048036-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312507044201/0001193125-07-044201-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312508041972/0001193125-08-041972-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312509039117/0001193125-09-039117-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000119312510044544/0001193125-10-044544-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/0001193125-11-051468-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000144530513000333/0001445305-13-000333-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000144530514000585/0001445305-14-000585-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179115000003/0000031791-15-000003-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000003179116000014/0000031791-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179118000004/0000031791-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179119000003/0000031791-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179120000003/0000031791-20-000003-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000003179121000003/0000031791-21-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
