,https://roic.ai/company/CGNX,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,7300000,3000000,3100000,1000000,1600000,31400000,4400000,2500000,5000000,4300000,13900000,17920000,4637000,5004000,20650000,43900000,27215000,10359000,6819000,15052000,146000,28384000,30863000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1000000,- -,- -,-2500000,- -,- -,- -,- -,- -,-39900000,- -,- -,- -,-26425000,- -,- -,-11690000,-86296000,-32663000,-92969000,- -,- -,-10000000,- -,-47908000,-59673000,-126351000,-47149000,-123715000,-203822000,-61690000,-51036000,-161652000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5237000,-12756000,-14960000,-15058000,-14898000,-19281000,-11897000,-10014000,-15114000,-66213000,- -,- -,-18062000,-25213000,-29037000,-31865000,-35124000,-390508000,-43263000
94,Other Financing Activites,-300000,- -,- -,100000,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,1413000,241000,1671000,-9547000,1858000,4045000,21062000,35450000,24801000,37546000,43131000,52631000,25783000,64581000,124676000,63292000
95,Cash Used/Provided by Financing Activities,6000000,3000000,3100000,-1400000,1600000,31400000,4400000,2500000,5000000,-35500000,13900000,17920000,4637000,-21421000,15413000,31144000,565000,-89582000,-40501000,-95527000,-21298000,20228000,9794000,-45151000,-12458000,-34872000,-106867000,-29231000,-100121000,-209904000,-32233000,-316868000,-141623000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-100000,100000,300000,600000,-1000000,-1100000,-670000,1597000,-4875000,-660000,2120000,-3645000,3083000,111000,-4954000,2174000,-6713000,-960000,-10069000,557000,-1951000,-4668000,-3352000,8294000,-1093000,-437000,2671000,-2815000
97,Net Change In Cash,6000000,3000000,3100000,-1400000,1600000,31400000,4400000,2500000,5000000,-35500000,20900000,-5740000,-11265000,29204000,15363000,4290000,18586000,14505000,16783000,22994000,-7307000,-86628000,4900000,7057000,-4516000,15050000,-3719000,27666000,26941000,1630000,63219000,97642000,-82912000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48700000,42925000,31660000,60864000,76227000,54270000,72856000,87361000,104144000,127138000,119831000,33203000,38103000,45160000,40644000,55694000,51975000,79641000,106582000,108212000,171431000,269073000,186161000
99,Cash at the Beginning of Period,4600000,6000000,4100000,13400000,14400000,21800000,56300000,23900000,48400000,38200000,27800000,48665000,42925000,31660000,60864000,49980000,54270000,72856000,87361000,104144000,127138000,119831000,33203000,38103000,45160000,40644000,55694000,51975000,79641000,106582000,108212000,171431000,269073000
100,Free Cash Flow,3500000,4400000,9000000,5700000,5400000,5900000,11300000,40900000,41600000,22500000,52000000,68669000,16415000,14219000,28502000,60056000,38942000,44255000,43838000,52925000,6817000,70491000,78274000,91253000,82075000,135036000,89660000,169265000,195569000,186359000,231480000,229097000,298610000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/851205/000095013596001529/0000950135-96-001529-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/851205/000095013507001256/b63634cce10vk.htm,https://www.sec.gov/Archives/edgar/data/851205/000095013508001020/b68104cce10vk.htm,https://www.sec.gov/Archives/edgar/data/851205/000095013509001024/0000950135-09-001024-index.html,https://www.sec.gov/Archives/edgar/data/851205/000095012310011521/0000950123-10-011521-index.html,https://www.sec.gov/Archives/edgar/data/851205/000095012311011782/b83539e10vk.htm,https://www.sec.gov/Archives/edgar/data/851205/000119312512049244/0001193125-12-049244-index.html,https://www.sec.gov/Archives/edgar/data/851205/000119312513048665/0001193125-13-048665-index.html,https://www.sec.gov/Archives/edgar/data/851205/000119312514051054/d632893d10k.htm,https://www.sec.gov/Archives/edgar/data/851205/000085120515000003/cgnx-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/851205/000085120516000027/0000851205-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120517000003/0000851205-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120518000004/0000851205-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120519000003/0000851205-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120520000002/0000851205-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120521000005/0000851205-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/851205/000085120522000008/0000851205-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
