,https://roic.ai/company/NEOG,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,16100000,9300000,6900000,- -,- -,11900000,25600000,25400000,31415000,10399000,30173000,41184000,39019000,831000,6533000,- -,- -,- -,- -,40076000,72270000,67039000,91207000,93662000,147189000,149226000,299751000,339225000,406731000,764597000
88,Other Investing Activites,- -,- -,- -,- -,- -,-800000,- -,-600000,- -,100000,-3700000,-600000,-2648000,-4748000,-3587000,-1850000,-10034000,126000,342000,- -,-147000,-134000,-302000,- -,-12424000,-9215000,-11808000,-9173000,-14713000,-14607000,-21414000,-15049000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,800000,500000,-1600000,-1200000,-1100000,-11400000,-1800000,-1200000,-2436000,-3710000,-3311000,-7806000,-7572000,-3231000,-23500000,-4704000,-12618000,-13970000,-25733000,-28035000,-15785000,-37952000,-51292000,-28455000,-61149000,-62136000,-83082000,-119148000,-88785000,-105564000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,100000,200000,100000,200000,300000,10300000,300000,100000,270000,936000,1471000,712000,995000,1023000,1098000,15435000,5060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-1326000,-573000,-315000,-558000,- -,-257000,-29000,- -,- -,-923000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3135000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-200000,- -,-300000,700000,-100000,-1100000,- -,- -,-48000,-499000,-77000,- -,3900000,-3650000,9955000,-9424000,531000,3598000,6709000,12034000,6876000,12491000,19608000,11033000,15308000,25070000,22838000,17034000,29405000,33544000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-100000,200000,-200000,900000,200000,9200000,300000,-2100000,-1104000,-136000,1079000,154000,4895000,-2884000,11024000,6011000,5591000,2557000,6709000,12034000,6876000,12491000,19608000,11033000,15308000,25070000,22838000,13899000,29405000,33544000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196000,-167000,-113000,659000,-984000,-294000,-898000,-3380000,21000,-1917000,264000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,1135000,-1350000,1164000,-951000,304000,607000,-163000,11465000,846000,-428000,8964000,13038000,13201000,987000,-9357000,25386000,-10804000,22310000,5507000,-41386000,24581000,9333000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,2198000,848000,2012000,1061000,1365000,1972000,1809000,13424000,14270000,13842000,22806000,35844000,49045000,50032000,40675000,66061000,55257000,77567000,83074000,41688000,66269000,75602000
99,Cash at the Beginning of Period,- -,- -,- -,- -,400000,400000,600000,3000000,2200000,600000,700000,700000,1063000,2198000,848000,2012000,1061000,1365000,1972000,1959000,13424000,14270000,13842000,22806000,35844000,49045000,50032000,40675000,66061000,55257000,77567000,83074000,41688000,66269000
100,Free Cash Flow,- -,- -,- -,- -,-900000,-600000,1500000,-1100000,-200000,1600000,900000,2800000,3756000,1397000,1679000,4240000,-2062000,4034000,9621000,5454000,5402000,8149000,22557000,21047000,9864000,17664000,10125000,34173000,21109000,45696000,48185000,49181000,61826000,54377000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711377/000088969799000140/0000889697-99-000140-index.html,https://www.sec.gov/Archives/edgar/data/711377/000106731200000335/0001067312-00-000335-index.html,https://www.sec.gov/Archives/edgar/data/711377/000104596901500986/0001045969-01-500986-index.html,https://www.sec.gov/Archives/edgar/data/711377/000095013102003395/0000950131-02-003395-index.html,- -,https://www.sec.gov/Archives/edgar/data/711377/000119312504141736/0001193125-04-141736-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312505168470/0001193125-05-168470-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312506172719/0001193125-06-172719-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312507182686/0001193125-07-182686-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312508177895/0001193125-08-177895-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312509175691/0001193125-09-175691-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312510189979/0001193125-10-189979-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312511202797/0001193125-11-202797-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312512322702/0001193125-12-322702-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312513309676/0001193125-13-309676-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312514286974/0001193125-14-286974-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312515271129/0001193125-15-271129-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312516664134/0001193125-16-664134-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312517240208/0001193125-17-240208-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312518229573/0001193125-18-229573-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312519206929/0001193125-19-206929-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312520204007/0001193125-20-204007-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312521230829/0001193125-21-230829-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
