,https://roic.ai/company/IT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53319000,55845000,46378000,- -,- -,- -,22527000,24371000,17960000,26418000,27275000,31067000,34494000,79618000,103559000,140004000
44,Other Non-Current Assets,- -,- -,- -,8000000,43400000,115200000,84500000,83641000,67660000,- -,69874000,77957000,82901000,28203000,33198000,29542000,67263000,93093000,90345000,50868000,57260000,74389000,86635000,60004000,162675000,121875000,142627000,152757000,168685000
45,Total Non-Current Assets,- -,- -,- -,133900000,219700000,321800000,371200000,490097000,390181000,- -,367787000,373349000,564498000,555760000,575420000,538541000,657454000,664556000,674087000,693811000,698700000,807693000,1033689000,1024139000,4694565000,4389735000,5132553000,4992909000,4796244000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,444100000,645300000,832900000,803400000,1002965000,839002000,- -,917264000,861194000,1026617000,1039793000,1133210000,1093065000,1215279000,1285658000,1379872000,1621277000,1783582000,1904351000,2174686000,2367335000,7283173000,6201474000,7151294000,7315967000,7416324000
48,Accounts Payable,- -,- -,- -,60500000,85400000,96200000,95900000,201407000,161251000,- -,175609000,181502000,243036000,13333000,11264000,12130000,14312000,17791000,27573000,27344000,17671000,16802000,31570000,41009000,49000000,37508000,32995000,38588000,49277000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,15000000,- -,- -,40000000,- -,220000000,236500000,177750000,205000000,40156000,50000000,90000000,68750000,20000000,35000000,30000000,379721000,165578000,216234000,104510000,95685000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29508000,17693000,15030000,15917000,18897000,14392000,18538000,13714000,20378000,46758000,19725000,7878000,88046000,67551000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,351263000,- -,315524000,307696000,333065000,375881000,423522000,395278000,437207000,523263000,611647000,692237000,766114000,841457000,900801000,989478000,1630198000,1745244000,1928020000,1974548000,2238035000
52,Other Current Liabilities,- -,- -,- -,230900000,286800000,318600000,377700000,385932000,- -,- -,- -,- -,66667000,194669000,204726000,207251000,241654000,229942000,231917000,260419000,307388000,336959000,356121000,399762000,763666000,672605000,679285000,829848000,995783000
53,Total Current Liabilities,- -,- -,- -,291400000,372200000,414800000,473600000,587339000,527514000,- -,491133000,529198000,642768000,803883000,876012000,792409000,898173000,811152000,921137000,1070000000,1159923000,1215218000,1323492000,1460249000,2822585000,2620935000,2856534000,2947494000,3378780000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,250000000,307254000,326200000,- -,- -,150000000,180000000,150000000,157500000,238500000,124000000,180000000,150000000,115000000,136250000,385000000,790000000,664391000,2899124000,2116109000,2043888000,2738452000,3154599000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5508000,8959000,7056000,7603000,11289000,16205000,21194000,24409000,26754000,48176000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206338000,214687000,189814000,173233000,181789000
57,Other Non-Current Liabilities,- -,- -,- -,2500000,3200000,3200000,5300000,33552000,19806000,- -,50385000,51948000,57261000,59592000,82200000,83472000,80571000,107450000,126951000,124096000,117134000,135906000,185991000,170528000,355456000,377792000,1098056000,339606000,281922000
