,https://roic.ai/company/FLS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,-100000,2100000,-900000,1300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99768000,-104679000,70741000,45845000,18179000,-12331000,50752000,-113639000,-69831000,12403000,-4823000,22870000,-22571000,-19505000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,96014000,135000000,154020000,284200000,268200000,258100000,464035000,481368000,539022000,458376000,341259000,376277000,418845000,646591000,724429000,1041239000,1067369000,1158033000,1149591000,1289283000,1322288000,1271830000,1153220000,1315837000,1302170000,1392482000,1762700000,-92694000
82,Other Non-Cash Items,- -,- -,- -,- -,14300000,10500000,22000000,44500000,26200000,-99289000,-55290000,-34101000,-129280000,-19100000,42000000,-260717000,-127638000,47777000,119928000,285788000,38168000,-71648000,-127935000,-228371000,-449616000,-192367000,-437944000,-65396000,-279612000,-133819000,37978000,54179000,4523000,-47558000,-159602000,-304012000,86181000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,23400000,20700000,31700000,24800000,30500000,27900000,33461000,48259000,90000000,54100000,81900000,17418000,-47929000,248867000,184019000,267501000,127445000,163186000,417365000,406025000,431277000,355775000,218213000,517130000,487759000,570962000,417092000,227594000,311066000,190831000,312741000,310537000,250119000
84,CAPEX,- -,- -,- -,- -,-13400000,-16600000,-15400000,-15300000,-8900000,-9943000,-13317000,-16852000,-39600000,-58200000,-46200000,-27733000,-35225000,-30875000,-28788000,-45241000,-49271000,-73528000,-88975000,-126932000,-108448000,-102002000,-107967000,-135539000,-139090000,-132619000,-181861000,-89699000,-61602000,-83993000,-66170000,-57405000,-54936000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14900000,-12217000,- -,- -,- -,- -,-765396000,-1685000,-535067000,- -,-9429000,- -,-7978000,-2312000,- -,-30750000,-199396000,-90505000,-7821000,-30561000,46805000,-353654000,-5064000,232767000,-3663000,- -,- -,-7204000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3651000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1900000,300000,-500000,-26300000,-2000000,-9321000,-14940000,-16852000,10100000,-400000,- -,- -,8723000,8720000,2207000,40593000,9962000,3827000,14198000,-117222000,-107892000,-90972000,-103698000,-118606000,-137437000,-130888000,-171641000,-86405000,-56167000,-77803000,-23837000,-41700000,-52273000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-11500000,-16300000,-15900000,-41600000,-10900000,-24221000,-27157000,-16852000,-29500000,-58600000,-46200000,-793129000,-28187000,-557222000,-26581000,-14077000,-39309000,-77679000,-77089000,-117222000,-138642000,-286717000,-194203000,-126427000,-167998000,-84083000,-525295000,-91469000,176600000,-81466000,-23837000,-41700000,-59477000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6727000,-6188000,-21738000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5682000,-8446000,-544016000,-25000000,-955000000,-25000000,-40000000,-45000000,-60000000,-60000000,-60000000,-180000000,-191258000,-1251048000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,697000,567000,2333000,2600000,4800000,- -,615000,162021000,292775000,- -,6787000,1111000,39915000,16693000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41000,-27838000,- -,-64500000,-5800000,- -,- -,- -,- -,- -,- -,-63165000,-44798000,-164950000,-40955000,-46015000,-150000000,-771942000,-458310000,-246504000,-303651000,- -,- -,- -,-15000000,-32112000,-17531000
93,Dividends Paid,- -,- -,- -,- -,-5500000,-6200000,-7000000,-7500000,-7600000,-8034000,-10730000,-12615000,-26100000,-22300000,-21200000,- -,- -,- -,- -,- -,- -,- -,-25681000,-51481000,-59204000,-64065000,-69557000,-73765000,-76897000,-85118000,-93650000,-97746000,-99233000,-99416000,-99557000,-104159000,-104604000
94,Other Financing Activites,- -,- -,- -,- -,-2400000,-7100000,-4500000,21700000,-6500000,4561000,9338000,38576000,-14300000,54400000,-2000000,788496000,-102480000,35303000,-165767000,-257392000,-54384000,-91287000,3945000,39409000,1527000,511183000,5601000,1371785000,304383000,3964000,503623000,26907000,-26120000,-13868000,64903000,475116000,773476000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-7900000,-13300000,-11500000,14200000,-14100000,-9503000,-7054000,-21282000,-37800000,-27600000,-29000000,789111000,59541000,328078000,-165767000,-250605000,-53273000,-114537000,-49841000,-182704000,-107078000,-142913000,-238956000,-428922000,-255824000,-367658000,61322000,-130839000,-185353000,-173284000,-229654000,147587000,-599707000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-100000,600000,400000,-1800000,-200000,-475000,559000,-85000,-3100000,-1500000,-1100000,-1522000,-4233000,8037000,12606000,7418000,-5758000,3166000,13140000,-4882000,-3293000,-22886000,-5277000,5115000,-4385000,-32675000,-37025000,-4568000,33970000,-19843000,-7953000,7870000,-27757000
97,Net Change In Cash,- -,- -,- -,- -,-7900000,-13300000,-11500000,14200000,-14100000,-6299000,-191000,10040000,-37800000,-27600000,5600000,11878000,-20808000,27760000,4277000,10237000,29105000,-25864000,303575000,101217000,182264000,-96741000,-220223000,-33104000,59552000,86546000,-83906000,718000,336283000,-83762000,51297000,424294000,-436822000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,16341000,19434000,29474000,- -,- -,30500000,42341000,21533000,49293000,53522000,63759000,92864000,67000000,370575000,471792000,654320000,557579000,337356000,304252000,363804000,450350000,366444000,367162000,703445000,619683000,670980000,1095274000,658452000
99,Cash at the Beginning of Period,- -,- -,- -,- -,21200000,25200000,17000000,21600000,17300000,22640000,19625000,19434000,38900000,58600000,24900000,30463000,42341000,21533000,49245000,53522000,63759000,92864000,67000000,370575000,472056000,654320000,557579000,337356000,304252000,363804000,450350000,366444000,367162000,703445000,619683000,670980000,1095274000
100,Free Cash Flow,- -,- -,- -,- -,10000000,4100000,16300000,9500000,21600000,17957000,20144000,31407000,50400000,-4100000,35700000,-10315000,-83154000,217992000,155231000,222260000,78174000,89658000,328390000,279093000,322829000,253773000,110246000,381591000,348669000,438343000,235231000,137895000,249464000,106838000,246571000,253132000,195183000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30625/000095015295000230/0000950152-95-000230-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30625/000104746904013685/a2132200z10-k.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013406002644/d26473e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013406012442/d37184e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013407004599/d42679e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013408003592/d54035e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013409003726/0000950134-09-003726-index.html,https://www.sec.gov/Archives/edgar/data/30625/000095012310016384/0000950123-10-016384-index.html,https://www.sec.gov/Archives/edgar/data/30625/000095012311017117/d78719e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062512000005/0000030625-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062513000019/0000030625-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062514000017/fls12312013financialstatem.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062515000021/fls12312014financialstatem.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062516000121/0000030625-16-000121-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062517000046/0000030625-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/30625/000162828018002486/0001628280-18-002486-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062519000009/0000030625-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062520000007/0000030625-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062521000034/0000030625-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062522000039/0000030625-22-000039-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
