,https://roic.ai/company/SKY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,113700000,125200000,128900000,127600000,39600000,43400000,47800000,74100000,80800000,134000000,142200000,147400000,123401000,149591000,156360000,158795000,161985000,154663000,164225000,141828000,132594000,104374000,84948000,53665000,36789000,27430000,23423000,16464000,18917000,95990000,111987000,212166000,236125000
82,Other Non-Cash Items,- -,- -,- -,- -,-9200000,-26000000,-8200000,-8900000,74500000,-9400000,-13500000,-22800000,-12100000,-49200000,-15200000,-11975000,21811000,-31466000,-3831000,-9990000,3430000,-1137000,-16095000,18244000,8348000,30250000,17795000,29692000,11348000,1911000,8766000,7995000,546000,-83066000,-13686000,-120287000,17710000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,8800000,-2300000,3300000,-1700000,-900000,12300000,9600000,26700000,19100000,27600000,22400000,12336000,12967000,10868000,12916000,2036000,15461000,8987000,-792000,-6528000,-13616000,-15251000,-25575000,-18597000,-14039000,-17596000,-4335000,3853000,2868000,31623000,65228000,76743000,153897000
84,CAPEX,- -,- -,- -,- -,-3700000,-3200000,-3900000,-2400000,-4100000,-8100000,-16400000,-3000000,-3300000,-3100000,-7100000,-4115000,-2499000,-3330000,-1523000,-1928000,-2356000,-221980000,-4968000,-2092000,-1574000,-891000,-816000,-614000,-75000,-753000,-473000,-1132000,-1355000,-9442000,-12092000,-15389000,-8016000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9722000,- -,-52548000
86,Purchases of Investments,- -,- -,- -,- -,-204400000,-256600000,-248100000,-215300000,-14300000,-46300000,-82800000,-265200000,-522700000,-494500000,-516200000,-439613000,-400456000,-434253000,-371797000,-376077000,-352521000,-2485000,-338815000,-397942000,-222954000,-298946000,-194943000,-49988000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,199200000,266900000,253200000,226600000,27800000,49100000,92400000,252500000,529800000,483700000,511800000,447895000,399140000,435274000,366398000,381434000,357530000,217786000,365874000,412136000,238945000,315854000,227939000,67979000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,2400000,- -,100000,1400000,1300000,-100000,4700000,4100000,4800000,100000,100000,8000,1390000,732000,84000,679000,-113000,1386000,-158000,2648000,4520000,4708000,-105000,5014000,13941000,6208000,6028000,-57000,2212000,821000,340000,1296000,3756000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-6500000,7100000,1300000,10300000,10700000,-5400000,-2100000,-11600000,8600000,-13800000,-11400000,4175000,-2425000,-1577000,-6838000,4108000,2540000,-5293000,21933000,14750000,18937000,20725000,32075000,22391000,13866000,5455000,5555000,-1189000,857000,-8621000,-2030000,-14093000,-56808000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2022000,- -,- -,-418000,-51900000,-15000000,-38000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,-600000,-9700000,-22800000,-6900000,-11300000,-7361000,-5974000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-5400000,-5400000,-5400000,-5400000,-5400000,-5400000,-5400000,-5500000,-6100000,-5700000,-6000000,-6410000,-6124000,-6042000,-6041000,-6042000,-14433000,-6041000,-22824000,-6041000,-6042000,-6042000,-6041000,-1510000,- -,- -,- -,- -,- -,-888000,-65277000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6334000,-234000,- -,- -,11642000,44659000,36569000,-9813000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-5400000,-5400000,-5400000,-5400000,-5400000,-6400000,-6000000,-15100000,-28900000,-12600000,-17400000,-13771000,-12098000,-6042000,-6041000,-6042000,-14433000,-6041000,-22824000,-6041000,-6042000,-6042000,-6041000,-1510000,- -,6334000,-2256000,- -,- -,10336000,-72518000,21569000,-47813000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586000,-662000,-1398000,3850000
97,Net Change In Cash,- -,- -,- -,- -,-5400000,-5400000,-5400000,-5400000,-5400000,-6400000,-6000000,-15100000,-28900000,-12600000,-17400000,2740000,-1556000,3249000,37000,102000,3568000,-2347000,-1683000,2181000,-721000,-568000,459000,2284000,-173000,-5807000,-1036000,2664000,3725000,33924000,-9982000,82821000,53126000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7006000,5450000,8699000,8736000,8838000,12406000,10059000,8376000,10557000,9836000,9268000,9727000,12011000,11838000,6031000,4995000,7659000,11384000,136616000,126634000,209455000,262581000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5700000,2500000,1900000,1100000,4400000,8800000,9200000,10800000,10700000,9500000,10700000,4266000,7006000,5450000,8699000,8736000,8838000,12406000,10059000,8376000,10557000,9836000,9268000,9727000,12011000,11838000,6031000,4995000,7659000,102692000,136616000,126634000,209455000
100,Free Cash Flow,- -,- -,- -,- -,5100000,-5500000,-600000,-4100000,-5000000,4200000,-6800000,23700000,15800000,24500000,15300000,8221000,10468000,7538000,11393000,108000,13105000,-212993000,-5760000,-8620000,-15190000,-16142000,-26391000,-19211000,-14114000,-18349000,-4808000,2721000,1513000,22181000,53136000,61354000,145881000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90896/000009089694000040/0000090896-94-000040-index.html,https://www.sec.gov/Archives/edgar/data/90896/000009089695000014/0000090896-95-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90896/000009089600000010/0000090896-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/90896/000009089601500011/0000090896-01-500011-index.html,- -,https://www.sec.gov/Archives/edgar/data/90896/000095013703004040/c78215e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013704005951/c86899e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013705009303/c96346e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013706008690/c05835e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013707011289/0000950137-07-011289-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095013708010051/0000950137-08-010051-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095012309028438/0000950123-09-028438-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095012310074402/0000950123-10-074402-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095012311070440/0000950123-11-070440-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312512319737/0001193125-12-319737-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312513304925/0001193125-13-304925-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312514318814/0001193125-14-318814-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312515303378/0001193125-15-303378-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312516673582/d212209d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/90896/000119312518115639/0001193125-18-115639-index.htm,https://www.sec.gov/Archives/edgar/data/90896/000156459019020324/0001564590-19-020324-index.html,https://www.sec.gov/Archives/edgar/data/90896/000156459020026572/0001564590-20-026572-index.htm,https://www.sec.gov/Archives/edgar/data/90896/000156459021030013/0001564590-21-030013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
