,https://roic.ai/company/OSK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-20800000,27300000,-31900000,-17600000,30800000,13900000,- -,-25100000,29800000,10000000,-49300000,11250000,-14835000,48937000,-25655000,-94404000,-110874000,-48947000,116000000,-38700000,112600000,-82700000,58800000,-161900000,113100000,-153400000,-378800000,327200000,-202300000,-38600000,-111000000,-246700000,246700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55800000,169400000,54200000,-72200000,-156000000,62400000,-28700000,-87600000,177200000,124300000,12800000,-222500000,252100000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,82000000,91800000,67500000,50100000,41100000,43500000,70461000,123949000,33964000,-1436000,31026000,178845000,121320000,646900000,689200000,484600000,403900000,762800000,990000000,1172700000,1072700000,971200000,1049900000,1356700000,1579800000,1666400000,1950700000,2266200000,180500000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,26900000,-14200000,-37400000,-46800000,35000000,20900000,1600000,53000000,42600000,-38861000,-77988000,4951000,216276000,-30916000,-153638000,70958000,-571565000,-47000000,373200000,1966700000,-646100000,-282800000,-234400000,99200000,-169400000,-359400000,-76000000,-422700000,-266300000,-450000000,-468600000,-3700000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,7300000,27900000,-7100000,-18500000,38400000,64300000,16800000,-11500000,64100000,78800000,39000000,51698000,-8370000,263968000,105266000,134916000,212311000,177407000,406000000,390400000,898900000,619700000,387700000,268300000,438000000,170400000,82500000,577700000,246500000,436300000,568300000,327300000,1221600000
84,CAPEX,- -,- -,- -,- -,-19700000,-8200000,-6600000,-10000000,-7800000,-5700000,-5300000,-166200000,-6300000,-229700000,-13100000,-22647000,-18493000,-15619000,-24673000,-29950000,-43174000,-56020000,-102000000,-118300000,-46200000,-83200000,-86200000,-64300000,-59900000,-124900000,-158000000,-127300000,-113200000,-100100000,-174200000,-130200000,-114800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7147000,-160241000,- -,- -,-87489000,-31286000,-272842000,-3140500000,- -,- -,- -,- -,8700000,- -,- -,-10000000,- -,- -,- -,- -,- -,-151600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15400000,-6300000,- -,- -,-19400000,-1900000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,10300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-3600000,-1400000,-14100000,-3900000,-6000000,-100000,-1000000,- -,-1100000,-2300000,-1400000,-2365000,-4629000,-7816000,-3509000,-10977000,5951000,1532000,15900000,18100000,-600000,-4700000,17900000,13800000,4500000,12000000,27900000,38100000,48000000,9700000,21200000,52600000,20800000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-23300000,-9600000,-20700000,-13900000,-13800000,-5800000,-6300000,-166200000,-7400000,-228600000,-14500000,-32159000,-183363000,-23435000,-28182000,-128416000,-68509000,-327330000,-3226600000,-100200000,-56100000,-83900000,-68300000,-41800000,-74800000,-114800000,-140100000,-89200000,-65200000,-90400000,-153000000,-77600000,-245600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-731600000,-2020900000,-241400000,-105100000,- -,-710000000,-270000000,-373500000,-23000000,-653800000,- -,-300000000,-5200000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,8600000,- -,- -,- -,1400000,94096000,480000,2254000,9565000,4574000,24257000,3462000,6500000,4500000,358100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2800000,- -,- -,- -,-800000,-5400000,-6500000,- -,- -,- -,- -,- -,- -,- -,-612000,-1030000,-1600000,-1400000,-200000,- -,- -,-13300000,-201800000,-403300000,-200400000,-100100000,-4800000,-257000000,-357400000,-51500000,-122100000
93,Dividends Paid,- -,- -,- -,- -,-4300000,-4500000,-4300000,-4300000,-4300000,-4300000,-4400000,-4400000,-4200000,-4200000,-4200000,-5392000,-5735000,-5777000,-6390000,-9106000,-16022000,-27122000,-29600000,-29800000,-14900000,- -,- -,- -,- -,-50700000,-53100000,-55900000,-62800000,-71200000,-75500000,-81800000,-90400000
94,Other Financing Activites,- -,- -,- -,- -,9300000,-600000,19900000,36600000,-19900000,-39100000,- -,157900000,-22900000,134400000,-20200000,-99811000,195109000,-209334000,-101505000,7759000,-52269000,67944000,2894400000,-246900000,-19500000,1298400000,9900000,1100000,31800000,688000000,310600000,313700000,45800000,643100000,11300000,317800000,37300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,5000000,-5100000,12800000,32300000,-24200000,-43200000,3400000,148100000,-33600000,130200000,-23000000,-11107000,189854000,-212857000,-98330000,3227000,-44646000,43254000,2869700000,-273600000,-408100000,-722500000,-231500000,-117300000,-170000000,-476000000,-212900000,-215800000,-44800000,-338900000,-421600000,-115500000,-180400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-378000,1051000,452000,1109000,-1730000,1174000,4100000,-3600000,7500000,-4700000,1600000,3000000,-400000,700000,-400000,6300000,-11400000,600000,100000,300000,-2700000
97,Net Change In Cash,- -,- -,- -,- -,5000000,-5100000,12800000,32300000,-24200000,-43200000,3400000,148100000,-33600000,130200000,1500000,8432000,-2257000,28727000,-20794000,10836000,97426000,-105495000,53200000,13000000,442200000,-191400000,89500000,112200000,192800000,-419700000,-270900000,279000000,125100000,7600000,-6200000,134500000,792900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,13569000,11312000,40039000,19245000,30081000,127507000,22012000,75200000,88200000,530400000,339000000,428500000,540700000,733500000,313800000,42900000,321900000,447000000,454600000,448400000,582900000,1375800000
99,Cash at the Beginning of Period,- -,- -,- -,- -,13000000,2000000,15300000,300000,200000,600000,15800000,29700000,100000,23200000,3600000,5137000,13569000,11312000,40039000,19245000,30081000,127507000,22000000,75200000,88200000,530400000,339000000,428500000,540700000,733500000,313800000,42900000,321900000,447000000,454600000,448400000,582900000
100,Free Cash Flow,- -,- -,- -,- -,-12400000,19700000,-13700000,-28500000,30600000,58600000,11500000,-177700000,57800000,-150900000,25900000,29051000,-26863000,248349000,80593000,104966000,169137000,121387000,304000000,272100000,852700000,536500000,301500000,204000000,378100000,45500000,-75500000,450400000,133300000,336200000,394100000,197100000,1106800000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/000089706994000126/0000897069-94-000126-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/0000897069-98-000067-index.html,https://www.sec.gov/Archives/edgar/data/775158/000089706998000626/0000897069-98-000626-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/000089706901500630/0000897069-01-500630-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/000089706905002784/cmw1836.htm,https://www.sec.gov/Archives/edgar/data/775158/000089706906002423/cmw2405.htm,https://www.sec.gov/Archives/edgar/data/775158/000089706907002074/0000897069-07-002074-index.html,https://www.sec.gov/Archives/edgar/data/775158/000089706908001739/0000897069-08-001739-index.html,https://www.sec.gov/Archives/edgar/data/775158/000110465909065733/0001104659-09-065733-index.html,https://www.sec.gov/Archives/edgar/data/775158/000110465910059145/0001104659-10-059145-index.html,https://www.sec.gov/Archives/edgar/data/775158/000110465911064553/0001104659-11-064553-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515812000072/0000775158-12-000072-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515813000100/0000775158-13-000100-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515814000189/0000775158-14-000189-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515815000172/0000775158-15-000172-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515816000405/0000775158-16-000405-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515817000172/0000775158-17-000172-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515818000147/0000775158-18-000147-index.html,https://www.sec.gov/Archives/edgar/data/775158/000095012319011559/0000950123-19-011559-index.html,https://www.sec.gov/Archives/edgar/data/775158/000156459020054491/0001564590-20-054491-index.htm,https://www.sec.gov/Archives/edgar/data/775158/000156459021057221/0001564590-21-057221-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
