,https://roic.ai/company/CCL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,-3600000,2500000,-5600000,-7877000,-3698000,-4461000,-1689000,-3913000,-8570000,-8205000,8455000,1667000,-17000000,-73000000,-15000000,-5000000,-57000000,-8000000,10000000,-12000000,-54000000,-16000000,19000000,1000000,5000000,1000000,-49000000,-67000000,79000000,77000000,-63000000
80,Accounts Payable,- -,- -,- -,- -,- -,-400000,-5400000,9900000,5400000,3500000,-5500000,22000000,18800000,27300000,58133000,-63227000,-12011000,34000000,-22000000,66000000,-42000000,86000000,-66000000,74000000,-36000000,67000000,-24000000,79000000,9000000,36000000,109000000,21000000,-24000000,34000000,-165000000,206000000
81,Other Working Capital,- -,- -,- -,- -,- -,-187500000,-163400000,-296200000,-324508000,-338332000,-371809000,-450117000,-764834000,-613277000,-1165812000,478748000,-487654000,-1183000000,-3306000000,-2977000000,-3420000000,-5284000000,-4131000000,-3449000000,-4511000000,-4793000000,-5519000000,-4783000000,-5418000000,-4505000000,-5383000000,-7204000000,-6979000000,-7068000000,1877000000,-275000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,348100000,182400000,387700000,73084000,21506000,63711000,122551000,370004000,-92731000,578945000,-1704048000,1037150000,849346000,2673000000,-78000000,809000000,2424000000,-1391000000,-489000000,1443000000,568000000,861000000,-610000000,1142000000,194000000,1440000000,2628000000,90000000,368000000,-7356000000,5190000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,344400000,394300000,479800000,537136000,587206000,741523000,877580000,1091840000,1329724000,1279535000,1238936000,1469032000,1933000000,3216000000,3410000000,3633000000,4069000000,3391000000,3342000000,3818000000,3766000000,2999000000,2834000000,3430000000,4545000000,5134000000,5322000000,5549000000,5475000000,-6301000000,-4109000000
84,CAPEX,- -,- -,- -,- -,- -,-116700000,-120800000,-712800000,-594789000,-483901000,-901905000,-497657000,-1150413000,-872984000,-1054698000,-826568000,-1986482000,-2516000000,-3586000000,-1977000000,-2480000000,-3312000000,-3353000000,-3380000000,-3579000000,-2696000000,-2332000000,-2149000000,-2583000000,-2294000000,-3062000000,-2944000000,-3749000000,-5429000000,-3620000000,-3607000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,20000000,- -,- -,- -,-242868000,-54715000,-383640000,- -,- -,- -,- -,- -,- -,-339000000,- -,-33000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81000000,-90000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-56400000,-54600000,- -,- -,- -,- -,-38378000,-48000,-13255000,- -,- -,- -,- -,-772000000,-935000000,-18000000,-2098000000,-4000000,-4000000,- -,- -,- -,- -,- -,-219000000,-291000000,-203000000,-39000000,-6000000,- -,-2873000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,22400000,15249000,19720000,37710000,2748000,4100000,- -,- -,531225000,2213000,42000000,1216000000,943000000,6000000,2078000000,11000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2676000000
88,Other Investing Activites,- -,- -,- -,- -,- -,8700000,-28200000,-14800000,-5649000,-63899000,44970000,78386000,68176000,30574000,146311000,-46573000,-35784000,141000000,53000000,-1000000,49000000,-75000000,91000000,31000000,78000000,50000000,560000000,93000000,76000000,35000000,30000000,58000000,286000000,158000000,461000000,351000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-164400000,-203600000,-705200000,-565189000,-528080000,-819225000,-454901000,-1321053000,-910380000,-1292027000,-341916000,-2020053000,-2333000000,-3089000000,-1970000000,-2443000000,-3746000000,-3255000000,-3384000000,-3501000000,-2646000000,-1772000000,-2056000000,-2507000000,-2478000000,-3323000000,-3089000000,-3502000000,-5277000000,-3240000000,-3543000000
90,Debt Repayment,- -,- -,- -,- -,- -,-173400000,-808700000,-483200000,-414381000,-406600000,-735246000,-424391000,-1006586000,-564838000,-388429000,-1971026000,-189678000,-1137000000,-932000000,-1096000000,-2537000000,-1656000000,-5448000000,-3310000000,-2192000000,-1700000000,-1052000000,-2212000000,-2466000000,-1238000000,-1278000000,-1227000000,-1556000000,-1651000000,-1621000000,-5956000000
91,Common Stock Issued,- -,- -,- -,- -,- -,115100000,700000,1400000,2297000,49032000,3728000,5162000,11399000,741600000,7811000,5274000,7240000,53000000,142000000,63000000,66000000,51000000,- -,196000000,545000000,- -,- -,35000000,- -,264000000,40000000,- -,- -,- -,3249000000,1009000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000,-705137000,- -,- -,- -,- -,-386000000,-841000000,-326000000,-83000000,-188000000,-524000000,-454000000,-90000000,-138000000,- -,-533000000,-2340000000,-552000000,-1468000000,-603000000,-12000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-65400000,-77400000,-79000000,-79072000,-85098000,-103877000,-130456000,-178458000,-219179000,-254333000,-245844000,-246323000,-292000000,-400000000,-566000000,-803000000,-990000000,-1261000000,-314000000,-237000000,-671000000,-779000000,-1164000000,-776000000,-816000000,-977000000,-1087000000,-1355000000,-1387000000,-689000000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,41300000,588100000,731400000,513071000,382800000,971361000,155366000,1400142000,7596000,1020091000,2548750000,230396000,2202000000,1111000000,1093000000,2903000000,2317000000,6477000000,3523000000,2004000000,1732000000,731000000,2699000000,2214000000,1381000000,1964000000,414000000,2919000000,2986000000,17723000000,11896000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-82400000,-297300000,170600000,21915000,-59866000,135966000,-394319000,226497000,-34846000,-319997000,337154000,-198365000,826000000,-79000000,-892000000,-1212000000,-604000000,-315000000,-93000000,-404000000,-1093000000,-1190000000,-780000000,-1028000000,-942000000,-2591000000,-2452000000,-1460000000,-655000000,18650000000,6949000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2156000,-5214000,-23000000,-15000000,-13000000,7000000,61000000,-114000000,23000000,-22000000,-6000000,-22000000,-1000000,-26000000,-61000000,-12000000,11000000,-1000000,-9000000,53000000,-13000000
97,Net Change In Cash,- -,- -,- -,- -,- -,-82400000,-297300000,170600000,-6138000,-740000,58264000,28360000,-2716000,384498000,-332489000,1232018000,-754600000,403000000,33000000,535000000,-15000000,-220000000,-293000000,-112000000,-109000000,21000000,15000000,-3000000,-131000000,1064000000,-792000000,-208000000,587000000,-466000000,9162000000,-716000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,54105000,53365000,111629000,139989000,137273000,521771000,189282000,1421300000,666700000,1070000000,643000000,1178000000,1163000000,943000000,650000000,538000000,429000000,450000000,465000000,462000000,331000000,1395000000,603000000,395000000,982000000,530000000,9692000000,8976000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,124100000,221700000,115000000,60243000,54105000,53365000,111629000,139989000,137273000,521771000,189282000,1421300000,667000000,610000000,643000000,1178000000,1163000000,943000000,650000000,538000000,429000000,450000000,465000000,462000000,331000000,1395000000,603000000,395000000,996000000,530000000,9692000000
100,Free Cash Flow,- -,- -,- -,- -,- -,227700000,273500000,-233000000,-57653000,103305000,-160382000,379923000,-58573000,456740000,224837000,412368000,-517450000,-583000000,-370000000,1433000000,1153000000,757000000,38000000,-38000000,239000000,1070000000,667000000,685000000,847000000,2251000000,2072000000,2378000000,1800000000,46000000,-9921000000,-7716000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815097/000081509796000001/0000815097-96-000001-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815097/000116923208000308/0001169232-08-000308-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312509013746/0001193125-09-013746-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312510016470/0001193125-10-016470-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312511018320/0001193125-11-018320-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312512028375/0001193125-12-028375-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312513027239/0001193125-13-027239-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312514025514/0001193125-14-025514-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509715000007/0000815097-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509716000030/0000815097-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509717000001/0000815097-17-000001-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509718000005/0000815097-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509719000004/0000815097-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509720000003/0000815097-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509721000027/0000815097-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509722000009/0000815097-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
