,https://roic.ai/company/BHP,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-288000000,-557000000,77000000,-990000000,-1661000000,337000000,719000000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-14000000,- -,- -,- -,-820000000,902000000,512000000,-769000000,-90000000,46000000,-1044000000,-695000000,380000000,-779000000,-373000000,-325000000,7000000,-125000000,1188000000,501000000
82,Other Non-Cash Items,- -,-1417100000,-1488700000,-1659200000,-1963100000,- -,207800000,236000000,615300000,681100000,1071000000,1763000000,1395000000,12000000,361000000,1163000000,-173000000,84000000,-425000000,-979000000,631000000,1896000000,6450000000,2554000000,932000000,2365000000,740000000,2433000000,8168000000,8142000000,3547000000,8586000000,3368000000,1629000000,10574000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,2336000000,1834500000,2485800000,2935800000,2639000000,3049000000,2228000000,2340000000,2351000000,2553000000,3938000000,3228000000,4660000000,8045000000,10476000000,15595000000,18159000000,18863000000,17920000000,30080000000,24384000000,18252000000,25364000000,19296000000,10625000000,16804000000,18461000000,17871000000,15706000000,27234000000
84,CAPEX,- -,- -,- -,- -,- -,-2147000000,-1267800000,-1787500000,-2094500000,-2901700000,-3099000000,-2367000000,-1703000000,-658000000,-1003000000,-2871000000,-2421000000,-2245000000,-3350000000,-6005000000,-7176000000,-8924000000,-10876000000,-10741000000,-11617000000,-18605000000,-21973000000,-16185000000,-12045000000,-6946000000,-4252000000,-4979000000,-6250000000,-6900000000,-6606000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000000,- -,- -,- -,- -,- -,78000000,- -,-132000000,-4807000000,-12550000000,2202000000,768000000,185000000,206000000,-48000000,204000000,-626000000,-618000000,-1058000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-1465800000,-12300000,-30900000,-170900000,-154000000,-85000000,-89000000,-262000000,-350000000,-390000000,- -,- -,- -,-596000000,-856000000,-320000000,-326000000,-152000000,-238000000,-341000000,-338000000,-1193000000,-15000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,348200000,223800000,231100000,17600000,54000000,1213000000,236000000,144000000,233000000,302000000,- -,54000000,185000000,997000000,331000000,59000000,113000000,34000000,118000000,151000000,204000000,956000000,445000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-255700000,-445200000,-457200000,-2897800000,-498000000,30000000,373000000,-223000000,-79000000,-45000000,405000000,179000000,-5879000000,- -,- -,- -,-126000000,-156000000,- -,-850000000,-304000000,-294000000,-146000000,-505000000,139000000,-285000000,-501000000,-98000000,-181000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7845000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4094000000,-911000000,-862000000,- -,-7017000000,-5299000000,-10228000000,-3748000000,-1155000000,-2173000000,-4460000000,-2580000000,-7198000000,-4168000000,-2788000000,-7120000000,-4406000000,-2764000000,-2204000000,-8395000000
91,Common Stock Issued,- -,- -,- -,- -,- -,596000000,1298900000,287100000,173700000,771400000,527000000,626000000,97000000,164000000,72000000,- -,152000000,51000000,19000000,34000000,22000000,24000000,29000000,12000000,32000000,21000000,21000000,14000000,9000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63100000,-7000000,-395000000,- -,- -,- -,-423000000,- -,- -,-1792000000,-2215000000,-5906000000,-3365000000,-169000000,-274000000,-10329000000,-83000000,- -,- -,-355000000,-106000000,-108000000,- -,-5220000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-363000000,-241200000,-322500000,-346700000,-504700000,-493000000,-281000000,-339000000,-297000000,-472000000,-811000000,-868000000,-1576000000,-1642000000,-1936000000,-2271000000,-3135000000,-4563000000,-4618000000,-5054000000,-5877000000,-6167000000,-6387000000,-6498000000,-4130000000,-2921000000,-5220000000,-11395000000,-6876000000,-7901000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-533400000,-405900000,-464500000,-134900000,2797200000,-51000000,-898000000,-1505000000,-1867000000,-976000000,4645000000,1000000,- -,4006000000,5722000000,6611000000,9363000000,7271000000,728000000,1506000000,12908000000,9548000000,7103000000,2736000000,7308000000,1016000000,-1265000000,-1149000000,-672000000,-1626000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-300400000,651800000,-499900000,-307900000,3000800000,-24000000,-948000000,-1747000000,-2000000000,-1376000000,-683000000,-1626000000,-2387000000,591000000,-5412000000,-6843000000,-7341000000,-1180000000,-5307000000,-16018000000,2509000000,822000000,-6468000000,-8276000000,284000000,-9133000000,-10891000000,-20528000000,-9752000000,-17922000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,6500000,-11700000,6500000,-27100000,9000000,41000000,-13000000,5000000,28000000,-97000000,2000000,5000000,8000000,1000000,11000000,21000000,26000000,26000000,27000000,-56000000,-34000000,23000000,-5000000,-1000000,322000000,56000000,-170000000,-505000000,353000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,367000000,-245000000,217000000,89000000,499000000,53000000,266000000,-400000000,-447000000,1139000000,1775000000,6658000000,1624000000,-2375000000,-5199000000,1169000000,3085000000,-2139000000,3663000000,3832000000,1705000000,-220000000,-2167000000,1820000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,594000000,374000000,559000000,567000000,-6822000000,1552000000,1818000000,1418000000,760000000,1899000000,4173000000,10831000000,12455000000,10080000000,4881000000,6050000000,8752000000,6613000000,10276000000,14108000000,15813000000,15593000000,13426000000,15246000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,305400000,304200000,276100000,309400000,705100000,561000000,227000000,619000000,342000000,478000000,-7321000000,1499000000,1552000000,1818000000,1207000000,760000000,2398000000,4173000000,10831000000,12455000000,10080000000,4881000000,5667000000,8752000000,6613000000,10276000000,14108000000,15813000000,15593000000,13426000000
100,Free Cash Flow,- -,- -,- -,- -,- -,189000000,566700000,698300000,841300000,-262700000,-50000000,-139000000,637000000,1693000000,1550000000,1067000000,807000000,2415000000,4695000000,4471000000,8419000000,9235000000,7987000000,7179000000,18463000000,5779000000,-3721000000,9179000000,7251000000,3679000000,12552000000,13482000000,11621000000,8806000000,20628000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811809/000095016802003905/0000950168-02-003905-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312503065962/0001193125-03-065962-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312504174067/0001193125-04-174067-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312505195492/0001193125-05-195492-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312506196087/0001193125-06-196087-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312507207539/0001193125-07-207539-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312508195937/0001193125-08-195937-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312509191302/0001193125-09-191302-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312510213954/0001193125-10-213954-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312511252637/0001193125-11-252637-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312512394240/0001193125-12-394240-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312513376646/0001193125-13-376646-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312514351924/0001193125-14-351924-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312515325671/0001193125-15-325671-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312516715037/0001193125-16-715037-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312517297000/0001193125-17-297000-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312518275568/0001193125-18-275568-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312519245975/0001193125-19-245975-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
