,https://roic.ai/company/CXW,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,400000,1400000,300000,-600000,-100000,3700000,2000000,28500000,-7100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24219000,23910000,82396000,-2210000,-39403000,21339000,19377000,11359000,17727000,31666000
81,Other Working Capital,- -,- -,- -,7500000,10800000,8000000,10900000,12200000,14100000,11100000,50500000,136700000,- -,- -,- -,- -,68381000,133552000,130023000,146819000,226860000,125932000,146476000,130672000,172438000,161067000,184284000,98328000,46997000,17463000,26631000,36652000,7129000,66574000,403717000,- -
82,Other Non-Cash Items,- -,- -,- -,4300000,4000000,13700000,5800000,10300000,6700000,13000000,-47700000,-27800000,159900000,132900000,697986000,70598000,-25280000,-15541000,-9291000,-236000,-116572000,126246000,-28853000,42288000,-85566000,63263000,-28741000,179206000,155201000,34864000,-34452000,-8072000,27999000,-54624000,-210021000,41348000
83,Cash Provided by Operating Activities,- -,- -,- -,-600000,4500000,5000000,4400000,10400000,11400000,17800000,24400000,92000000,52700000,79500000,-46563000,92761000,101389000,202847000,125981000,153366000,171955000,250880000,273585000,314691000,255515000,351076000,283256000,369504000,423581000,399798000,375373000,341325000,322880000,354384000,355530000,263231000
84,CAPEX,- -,- -,- -,-19800000,-28000000,-8100000,-11100000,-1900000,-23200000,-25900000,-165700000,-297300000,-409500000,-528900000,-78663000,-6435000,-12254000,-96294000,-128028000,-110305000,-163122000,-343141000,-515646000,-142957000,-143663000,-173940000,-79438000,-76525000,-135106000,-224294000,-93463000,-73744000,-121677000,-193320000,-83787000,-80884000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-321000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36252000,- -,-158366000,-43769000,-48867000,-175588000,-48396000,-8849000,- -
86,Purchases of Investments,- -,- -,- -,-8900000,-1000000,-800000,- -,- -,- -,- -,- -,-38200000,- -,- -,- -,- -,- -,- -,-160000,-10328000,-63816000,-3886000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,2800000,4600000,- -,- -,- -,- -,- -,- -,5700000,- -,- -,- -,- -,- -,- -,5000000,- -,- -,86716000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,7400000,600000,400000,6700000,600000,-1700000,-14000000,-36200000,359200000,- -,81300000,40212000,137367000,2902000,-3987000,6971000,4285000,631000,6623000,-514363000,-143880000,-144223000,-172039000,-49496000,-61305000,-111096000,-86035000,-36603000,-58119000,-57230000,-60065000,49408000,238423000
89,Cash Used for Investing Activites,- -,- -,- -,-18500000,-23800000,-8500000,-4400000,-1300000,-24900000,-39900000,-201900000,29400000,-409500000,-447600000,-38451000,130932000,-9673000,-100281000,-116217000,-116348000,-226307000,-253688000,-514363000,-143880000,-144223000,-172039000,-79920000,-125512000,-196887000,-409281000,-122188000,-124562000,-291057000,-244589000,12968000,238423000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76644000,-642819000,-165000000,-296589000,-1023500000,-1198000000,-255000000,-549468000,-409789000,-473983000,-615060000,-987659000,-604108000,-998144000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188400000,132200000,- -,-20000,433000,126076000,4945000,9586000,15765000,16006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13356000,- -,-354000,-258448000,-31028000,-33000,-12290000,-3579000,-19621000,-125701000,-148830000,-239847000,-2808000,-6693000,-4036000,-9454000,-4006000,-5847000,-3005000,-3531000,-3575000,-1639000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,- -,- -,-55100000,-217700000,-4586000,-2182000,-19648000,-12706000,-1612000,- -,- -,- -,- -,- -,- -,- -,-59768000,-299434000,-234048000,-250695000,-255496000,-200326000,-204198000,-209522000,-105978000,-2508000
94,Other Financing Activites,- -,- -,- -,19900000,22800000,2200000,500000,-7100000,11500000,20000000,180200000,9900000,244600000,506900000,17359000,-196073000,-53048000,61337000,-1836000,-32608000,15097000,19228000,313152000,609540000,182139000,387722000,889805000,1275157000,262864000,809998000,388526000,477865000,812394000,1135873000,362838000,674576000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,19900000,22800000,2200000,500000,-7100000,11200000,20000000,180200000,9900000,377900000,421400000,-583000,-198275000,-72617000,-83741000,-29531000,-23055000,18572000,31655000,216887000,-158980000,-131691000,-148714000,-196271000,-228970000,-230220000,381000,-280765000,-202291000,-9869000,-64839000,-350823000,-327715000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,19900000,22800000,2200000,500000,-7100000,11200000,20000000,180200000,9900000,377900000,53400000,-85597000,25418000,19099000,18825000,-19767000,13963000,-35780000,28847000,-23891000,11831000,-20399000,30323000,7065000,15022000,-3526000,-9102000,-27580000,14472000,21954000,44956000,17675000,173939000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84500000,20889000,46307000,65406000,84231000,50938000,64901000,29121000,57968000,34077000,45908000,25509000,55832000,62897000,77919000,74393000,65291000,37711000,52183000,74137000,119093000,136768000,310707000
99,Cash at the Beginning of Period,- -,- -,- -,800000,1100000,4700000,3400000,4000000,6000000,4300000,2100000,4800000,800000,31100000,106486000,20889000,46307000,65406000,70705000,50938000,64901000,29121000,57968000,34077000,45908000,25509000,55832000,62897000,77919000,74393000,65291000,37711000,52183000,74137000,119093000,136768000
100,Free Cash Flow,- -,- -,- -,-20400000,-23500000,-3100000,-6700000,8500000,-11800000,-8100000,-141300000,-205300000,-356800000,-449400000,-125226000,86326000,89135000,106553000,-2047000,43061000,8833000,-92261000,-242061000,171734000,111852000,177136000,203818000,292979000,288475000,175504000,281910000,267581000,201203000,161064000,271743000,182347000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070985/000095014400004324/0000950144-00-004324-index.html,- -,https://www.sec.gov/Archives/edgar/data/1070985/000095014402002578/0000950144-02-002578-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014403003981/0000950144-03-003981-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014404002429/0000950144-04-002429-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014405002154/0000950144-05-002154-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014406001892/g99938e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000095014407001642/g05698e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000095014408001419/g11880e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000095014409001609/0000950144-09-001609-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095012310016309/0000950123-10-016309-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095012311018499/c10722e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000119312512081122/0001193125-12-081122-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000119312513080296/0001193125-13-080296-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000119312514072723/d664216d10k.htm,https://www.sec.gov/Archives/edgar/data/1070985/000119312515061839/d853180d10k.htm,https://www.sec.gov/Archives/edgar/data/1070985/000119312516477634/0001193125-16-477634-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000119312517053982/0001193125-17-053982-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459018002898/0001564590-18-002898-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459019004033/0001564590-19-004033-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459020005570/0001564590-20-005570-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459021007050/0001564590-21-007050-index.htm,https://www.sec.gov/Archives/edgar/data/1070985/000156459022005663/0001564590-22-005663-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
