,https://roic.ai/company/ATO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10900000,-39200000,-75300000,-169500000,-116700000,-151600000,-181890000,-86778000,-133116000,22282000,262644000,151675000,-1616000,149217000,78017000,91519000,-290887000,143355000,-447992000,-295220000,-134810000,-523838000,-1106595000,-473797000,-1436278000,-751409000,-311143000,27460000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,22400000,65100000,70800000,133300000,-12400000,70000000,30317000,-86708000,268404000,-231502000,-92852000,349459000,230825000,165649000,163862000,353198000,476524000,-421321000,591429000,-179596000,-180680000,414090000,526231000,-723009000,1110644000,-762087000,-577481000,-14988000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,41200000,58500000,64500000,68700000,91700000,84700000,54196000,82995000,296231000,49451000,270734000,386944000,311449000,547095000,370933000,919233000,726476000,582844000,586917000,613127000,739986000,836519000,794990000,867090000,1124662000,968769000,1037999000,-1084251000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50400000,-62900000,-77600000,-122300000,-135000000,-110400000,-75557000,-114569000,-133977000,-159439000,-190855000,-333183000,-425324000,-392435000,-472273000,-509494000,-542636000,-622965000,-732858000,-845033000,-835251000,-975132000,-1086950000,-1137089000,-1467591000,-1693477000,-1935676000,-1969540000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000000,-363399000,-15747000,-74650000,-1957000,-1916696000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86128000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32551000,-53597000,-46401000,-29153000,-50517000,-49879000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33309000,41124000,38076000,26369000,51008000,43807000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2700000,3800000,1200000,16200000,800000,7424000,9892000,-8511000,704000,27919000,-2131000,-5767000,-10436000,-10736000,-517201000,-542702000,-627386000,-609260000,-696914000,-837576000,-974755000,-1080490000,-957705000,-1455241000,-1680876000,-1926009000,-1957583000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48400000,-60200000,-73800000,-121100000,-118800000,-109600000,-100133000,-468076000,-158235000,-233385000,-164893000,-2252010000,-431091000,-402871000,-483009000,-517201000,-542702000,-627386000,-609260000,-696914000,-837576000,-974755000,-1079732000,-1056306000,-1463566000,-1683660000,-1925518000,-1963655000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-691334000,-131000,-360131000,-257034000,-208201000,-165865000,-500000000,- -,-632066000,- -,-575000000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,4000000,3700000,9500000,20500000,21700000,13550000,14405000,18321000,25720000,34715000,418767000,23273000,216810000,25466000,29625000,8766000,7796000,1606000,46000,394479000,30952000,98574000,98755000,395092000,694103000,624302000,606667000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101641000,- -,-12535000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12700000,-14200000,-15200000,-26400000,-31800000,-33900000,-35995000,-44112000,-48646000,-55291000,-66736000,-98978000,-102275000,-111664000,-117288000,-121460000,-124287000,-124011000,-125796000,-128115000,-146248000,-160018000,-175126000,-191931000,-214906000,-245717000,-282444000,-323904000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,11400000,22300000,64200000,37200000,40900000,67176000,422672000,-76107000,181197000,112429000,1383461000,234343000,-264460000,189890000,445623000,54268000,520355000,348922000,422017000,-8717000,753697000,380175000,893333000,146080000,852284000,541919000,2861058000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700000,1200000,10800000,47300000,25900000,28700000,44731000,392965000,-106432000,151626000,80408000,1703250000,155341000,-159314000,98068000,-337546000,-163025000,44009000,-44837000,85747000,73649000,124631000,303623000,168091000,326266000,725670000,883777000,3143821000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,-500000,1400000,-5100000,-1300000,3900000,-1206000,7884000,31564000,-32308000,186249000,-161816000,35699000,-15090000,-14008000,64486000,20749000,-533000,-67180000,1960000,-23941000,-13605000,18881000,-21125000,-12638000,10779000,-3742000,95915000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,2300000,3700000,6000000,4700000,8600000,7379000,15263000,46827000,15683000,201932000,40116000,75815000,60725000,46717000,111203000,131952000,131419000,64239000,66199000,42258000,28653000,47534000,26409000,13771000,24550000,20808000,116723000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,2800000,2300000,11100000,6000000,4700000,8585000,7379000,15263000,47991000,15683000,201932000,40116000,75815000,60725000,46717000,111203000,131952000,131419000,64239000,66199000,42258000,28653000,47534000,26409000,13771000,24550000,20808000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9200000,-4400000,-13100000,-53600000,-43300000,-25700000,-21361000,-31574000,162254000,-109988000,79879000,53761000,-113875000,154660000,-101340000,409739000,183840000,-40121000,-145941000,-231906000,-95265000,-138613000,-291960000,-269999000,-342929000,-724708000,-897677000,-3053791000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/731802/000073180294000018/0000731802-94-000018-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/731802/000093066197002911/0000930661-97-002911-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731802/000095013404017924/0000950134-04-017924-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095013405021927/0000950134-05-021927-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095013406022105/0000950134-06-022105-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095013407024659/0000950134-07-024659-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095013408020908/0000950134-08-020908-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095012309063189/0000950123-09-063189-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095012310105040/0000950123-10-105040-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095012311100074/0000950123-11-100074-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000119312512466518/0001193125-12-466518-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180213000017/0000731802-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180214000034/0000731802-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180215000030/0000731802-15-000030-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180216000066/0000731802-16-000066-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180217000041/0000731802-17-000041-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180218000039/0000731802-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180219000037/0000731802-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180220000040/0000731802-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180221000040/0000731802-21-000040-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
