,https://roic.ai/company/TPC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125736000,-449370000,-101143000,-45278000,-89252000,59169000,33667000,139290000,56552000,-32225000,-128107000,89012000,174866000,- -
81,Other Working Capital,46700000,43200000,- -,44100000,40200000,33800000,30800000,31000000,36900000,29900000,36500000,56800000,72000000,57600000,48400000,80477000,93369000,115908000,125397000,178029000,153335000,193952000,293521000,225049000,303118000,592928000,556800000,747577000,787434000,1113980000,1161537000,1318813000,1492546000,1577677000,1401130000,1816094000,- -
82,Other Non-Cash Items,11800000,-7500000,- -,-10900000,-15500000,29400000,56500000,78800000,-25400000,4100000,23600000,44800000,-12200000,30800000,117200000,-16001000,-39839000,-52447000,-14320000,-34160000,47585000,9553000,84572000,237909000,-281605000,-407298000,-147847000,-38561000,-151467000,-587207000,-154197000,-210318000,-208573000,-216765000,688189000,-561649000,65864000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,35700000,70100000,55100000,-1600000,-5000000,24600000,-24300000,12700000,29700000,27800000,42648000,2073000,-3632000,42576000,59766000,30339000,116906000,281530000,126054000,-26047000,26272000,-30524000,-67863000,50728000,-56678000,14072000,113336000,163550000,21402000,136530000,172772000,-148454000
84,CAPEX,- -,- -,- -,- -,- -,-10700000,-15100000,-14400000,-4400000,-3000000,-2200000,-2100000,-1700000,-1400000,-1600000,-1793000,-4528000,-4510000,-5399000,-4486000,-12347000,-21828000,-23885000,-67541000,-37005000,-25200000,-66747000,-41352000,-42360000,-75013000,-35912000,-15743000,-30280000,-77069000,-84196000,-54781000,-38594000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8613000,- -,-73567000,- -,- -,92081000,-6900000,-37658000,-344898000,- -,- -,- -,- -,- -,- -,- -,6607000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,-219165000,-2698000,- -,- -,-535000,- -,- -,- -,- -,-60967000,-20848000,-35167000,-31331000,-30761000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,380000,- -,- -,647000,116000,115856000,3641000,7066000,30191000,16553000,- -,44497000,- -,- -,1370000,21322000,24120000,25204000,24771000
88,Other Investing Activites,- -,- -,- -,- -,- -,-60100000,-35100000,-1100000,-34700000,-12600000,-10200000,-19000000,-4000000,1700000,-15900000,-31199000,-19576000,3881000,5752000,2558000,42463000,3186000,6154000,6697000,2076000,-21739000,3233000,8479000,-1214000,3559000,3497000,-2752000,48468000,6387000,12581000,14550000,7245000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-70800000,-50200000,-15500000,-39100000,-15600000,-12400000,-21100000,-5700000,300000,-13500000,-32992000,-24104000,-629000,-7880000,-1928000,-43451000,-17995000,-25615000,-72072000,-40886000,-77531000,-378221000,-16855000,-43574000,-26957000,-32415000,-18495000,-41409000,-70208000,-76055000,-46358000,-37339000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97181000,-151313000,-35760000,-554969000,-626122000,-676795000,-1026349000,-1054371000,-1562684000,-2195068000,-1738314000,-870277000,-1119887000,-777762000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,3000000,2700000,- -,2200000,1200000,28500000,2600000,1400000,37299000,358000,- -,984000,11624000,1084000,1076000,1047000,- -,- -,- -,- -,-308000,- -,- -,-808000,-584000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,- -,- -,- -,- -,- -,- -,- -,- -,-11261000,- -,-7109000,-9246000,- -,-32081000,- -,-39716000,-191000,-308000,-1882000,-1771000,-808000,-584000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-4500000,-2100000,-2100000,-2100000,-2100000,-2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47090000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,32500000,-22200000,-8000000,-3600000,-7000000,9000000,24900000,-13900000,-17400000,-4000000,-45633000,-9827000,-5250000,-3627000,-980000,22680000,-5085000,-23278000,2264000,180383000,296894000,696767000,675272000,623390000,1127415000,1014199000,1539662000,2119692000,1709335000,892040000,1243224000,723099000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,28000000,-24200000,-7100000,-3000000,-7400000,9000000,26100000,14600000,-14800000,-2600000,-8334000,-9469000,-5250000,-13904000,10644000,16655000,-13255000,-22231000,-126998000,29070000,174328000,141607000,48534000,-55287000,99295000,-41788000,-24190000,-75376000,-28979000,21763000,123337000,-54663000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,28000000,-24200000,-7100000,-3000000,-7400000,9000000,26100000,14600000,-14800000,11700000,1322000,-31500000,-9511000,20792000,68482000,3543000,85656000,233684000,-73016000,-37863000,123069000,-267138000,-36184000,-48133000,15660000,-60131000,70651000,46765000,-77785000,82238000,249751000,-240456000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58200000,59515000,28015000,47031000,67823000,136305000,139848000,225504000,459188000,386172000,348309000,471378000,204240000,168056000,119923000,135583000,75452000,146103000,192868000,119863000,202101000,451852000,211396000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,59200000,52000000,47800000,79600000,35900000,7800000,29100000,9700000,31300000,46500000,58193000,59515000,56542000,47031000,67823000,136305000,139848000,225504000,459188000,386172000,348309000,471378000,204240000,168056000,119923000,135583000,75452000,146103000,197648000,119863000,202101000,451852000
100,Free Cash Flow,- -,- -,- -,- -,- -,25000000,55000000,40700000,-6000000,-8000000,22400000,-26400000,11000000,28300000,26200000,40855000,-2455000,-8142000,37177000,55280000,17992000,95078000,257645000,58513000,-63052000,1072000,-97271000,-109215000,8368000,-131691000,-21840000,97593000,133270000,-55667000,52334000,117991000,-187048000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77543/000007754395000003/0000077543-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754396000003/0000077543-96-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77543/000007754301000002/0000077543-01-000002-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77543/000007754309000018/0000077543-09-000018-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754310000008/0000077543-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/77543/000114036111014534/form10k.htm,https://www.sec.gov/Archives/edgar/data/77543/000114036112012479/0001140361-12-012479-index.html,https://www.sec.gov/Archives/edgar/data/77543/000114036113009018/0001140361-13-009018-index.html,https://www.sec.gov/Archives/edgar/data/77543/000110465914012782/a13-25845_110k.htm,https://www.sec.gov/Archives/edgar/data/77543/000007754315000013/c543-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/77543/000007754316000076/0000077543-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754317000009/0000077543-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754318000016/0000077543-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754319000009/0000077543-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754320000008/0000077543-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754321000020/0000077543-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/77543/000007754322000013/0000077543-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
