,https://roic.ai/company/CTO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-3900000,-4600000,-3600000,-1600000,-1500000,-1400000,-1200000,-400000,-2100000,-4800000,- -,-9530245,-17452183,-3471135,-15589778,-20829185,-33999763,-16927812,-5614256,-18857758,-3487029,-1372047,-3327346,-1478688,-2920739,-1933357,-2398915,-42623497,-94627373,-109394481,-150704654,-167811000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7019571,- -,- -,6654205,-9201588,9924785,- -,- -,- -,- -,- -,- -,-76034452,-49926604,- -,-2137018,96048232,-41000,23864000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-800000,- -,-200000,-15500000,- -,- -,-5192775,-1058938,-3198750,-38729822,-16869733,-24499902,-10793461,-7302989,-5829712,-1873597,- -,-729814,-30187748,-26016666,- -,-2940000,- -,-49796450,-28235000,-507000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,8511252,2691134,5666603,2180465,3447662,28031510,19430625,26087013,15725687,7596993,5856951,6813222,- -,- -,19495476,12045798,20534862,15000000,11960467,- -,22965000,- -
88,Other Investing Activites,- -,- -,- -,- -,300000,200000,3600000,1100000,800000,9400000,3300000,6200000,6200000,4100000,24200000,- -,3253015,-11563390,-1325229,-9947865,17758779,1630205,- -,- -,462765,- -,330992,9554138,-3107638,-2787785,89907232,103301972,3347338,-83016956,56847153,-85811000,-126324000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-3600000,-4400000,- -,-500000,-700000,8000000,1800000,5000000,4100000,-900000,7400000,-1018993,-11508034,-14560697,-22813051,-30528138,-26939296,-6082510,-13228733,-4000747,-2730260,-1344808,2073341,-15362798,-41705551,-55672872,-84196242,-23418661,-79220035,-77895750,103098935,-91122000,-102967000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11802926,-8942141,-14845534,-20905714,-53649817,-51062021,-70540011,-49050000,-35100000,-55996954,-103073325,-72269000,-283519000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15134,- -,7863,18280,107022,22725,16762,5090,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-9152351,-226521,- -,- -,- -,- -,- -,- -,- -,-104647,- -,- -,-453654,- -,-927912,-6484844,-7431896,-7209454,-9837242,-41095712,-4100000,-2210000
93,Dividends Paid,- -,- -,- -,- -,-1300000,-1300000,-1300000,-1300000,-1900000,-2200000,-2800000,-3400000,- -,-4500000,-2200000,-1186851,-1117648,-1123116,-1236152,-1464771,-1699164,-1933441,-2170970,-2290835,-1717446,-228952,-228963,-228726,-344585,-404008,-464279,-682097,-997461,-1484167,-2197556,-14470000,-25905000
94,Other Financing Activites,- -,- -,- -,- -,1200000,2800000,-8100000,-1900000,2400000,-10000000,-4100000,-3000000,-8500000,-2700000,-500000,-425010,-388129,-222626,894879,-1412975,-1419383,-1016768,-1545892,1706612,16461181,10980648,14865470,34742794,88442922,93690472,138674676,70013094,63761001,105975234,140562254,63951000,384548000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-100000,1500000,-9400000,-3200000,500000,-12200000,-6900000,-6400000,-8500000,-7200000,-2900000,-10764212,-1717164,-1345742,-333410,-2859466,-3011525,-2927484,-3700100,-579133,2836162,1809555,-209027,13154700,34448520,41296531,61185542,12849101,20454086,38656871,-5804339,-26888000,72914000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-100000,1500000,-9400000,-3200000,500000,-1500000,-6900000,600000,7600000,-7200000,16200000,-3548486,-10111854,-1022655,6234,-752299,853232,-388879,125562,-475039,-122118,70948,-331443,1295565,3630773,-3051317,2179482,3718885,-1220153,9416581,113704688,-101080000,-2476000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,1800000,9400000,- -,16500000,12909722,2797868,1019976,1026210,273911,1127143,738264,863826,388787,266669,337617,6174,1301739,4932512,1881195,4060677,7779562,6559409,22031964,134904686,33825000,31349000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4100000,5100000,2200000,1400000,1500000,2000000,500000,1200000,1800000,9400000,300000,16458208,12909722,2042631,1019976,1026210,273911,1127143,738264,863826,388787,266669,337617,6174,1301739,4932512,1881195,4060677,7779562,12615383,21199998,134905000,33825000
100,Free Cash Flow,- -,- -,- -,- -,900000,-4700000,4900000,2200000,300000,1300000,3600000,1600000,10000000,-5800000,11700000,-1295526,-14338839,11412649,7562917,11806120,-3195710,-8306697,11440139,-14752917,-3715049,-1765846,-5523103,2024975,7967065,9391667,22791267,-28335052,-37081577,-60739021,-134294562,-150881000,27577000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23795/0000950144-95-001105-index.html,https://www.sec.gov/Archives/edgar/data/23795/000002379596000010/0000023795-96-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/23795/000002379598000005/0000023795-98-000005-index.html,https://www.sec.gov/Archives/edgar/data/23795/000002379599000007/0000023795-99-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/23795/000002379501000004/0000023795-01-000004-index.html,https://www.sec.gov/Archives/edgar/data/23795/000002379502000006/0000023795-02-000006-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23795/000002379506000026/0000023795-06-000026-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23795/000119312513098925/0001193125-13-098925-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000119312514091567/0001193125-14-091567-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000119312515069704/0001193125-15-069704-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000156459016013810/0001564590-16-013810-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837017001013/0001558370-17-001013-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837018001296/0001558370-18-001296-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837019001302/0001558370-19-001302-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837020002154/0001558370-20-002154-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837021002457/0001558370-21-002457-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837022001966/0001558370-22-001966-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
