,https://roic.ai/company/AOS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,82300000,99400000,103800000,121600000,177000,-34238000,-41826000,147443000,-340762000,81608000,-96681000,-3529000,2294000,8181000,-61628000,-153400000,158800000,-50300000,62500000,-22900000,146400000,-138200000,-623600000,11100000,43700000,-102800000,-98600000,51300000,-313800000,47800000,113900000,126700000,162100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,50200000,78900000,57700000,67700000,115351000,119473000,115516000,194076000,-25884000,74658000,48011000,86764000,49828000,115167000,25200000,66600000,186700000,141400000,190500000,106600000,267600000,124800000,58700000,143800000,279600000,263900000,344400000,446600000,326400000,448900000,456200000,562100000,641100000
84,CAPEX,- -,- -,- -,- -,-52500000,-72600000,-58000000,-46900000,-54703000,-76133000,-91001000,-37804000,-44886000,-27846000,-32807000,-40516000,-35318000,-42472000,-44900000,-48400000,-50600000,-68200000,-71400000,-66100000,-57000000,-53500000,-53500000,-69900000,-97700000,-86100000,-72700000,-80700000,-94200000,-85200000,-64400000,-56800000,-75100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,-1111000,-60918000,-126273000,-244592000,- -,-117988000,-23381000,-4800000,-2300000,-14800000,-340700000,- -,- -,-61800000,-8800000,-421100000,-13500000,-4000000,- -,- -,-90800000,-43100000,- -,-107000000,- -,-207600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41000000,- -,- -,- -,- -,- -,-311400000,-132700000,-321900000,-428800000,-563800000,-583500000,-523400000,-272700000,-157400000,-185400000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53200000,- -,12000000,8900000,4600000,- -,308000000,226200000,202000000,315400000,435100000,562700000,595900000,478000000,226000000,118200000
88,Other Investing Activites,- -,- -,- -,- -,200000,-500000,-8800000,-4700000,-2148000,-8620000,-20358000,-194830000,599581000,-9307000,-7566000,-1439000,- -,- -,- -,- -,-4500000,- -,- -,-66100000,-64100000,-62300000,546700000,-69900000,-97700000,-86100000,-72700000,-80700000,-94200000,-85200000,-64400000,-56800000,-75100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-52300000,-73100000,-66800000,-51600000,-56851000,-84753000,-129359000,-233745000,493777000,-163426000,-284965000,-41955000,-153306000,-65853000,-49700000,-50700000,-69900000,-396700000,-71400000,-54100000,-117000000,-66500000,125600000,-86800000,-8200000,-206000000,-186100000,-300200000,-158100000,-12700000,33900000,11800000,-349900000
90,Debt Repayment,- -,- -,- -,- -,-3100000,-20600000,-5400000,-16400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40100000,-95900000,- -,- -,-218800000,-51500000,- -,-33600000,- -,- -,-189000000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,100000,400000,800000,6700000,3167000,1902000,49000,539000,3757000,224000,1149000,816000,1407000,133234000,- -,3000000,12900000,8300000,11400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2600000,-2400000,-300000,-700000,-1380000,-138000,- -,- -,-176550000,-33241000,-2773000,- -,- -,- -,- -,- -,- -,- -,-36600000,- -,- -,- -,-23500000,-22000000,-73700000,-103800000,-128100000,-135200000,-139100000,-202600000,-287700000,-56700000,-366500000
93,Dividends Paid,- -,- -,- -,- -,-10000000,-9900000,-9800000,-8500000,-12200000,-10423000,-12129000,-13807000,-12677000,-11051000,-11172000,-11720000,-12319000,-14278000,-16800000,-18200000,-19000000,-20100000,-21500000,-22300000,-21400000,-24700000,-27700000,-33200000,-42600000,-54400000,-67800000,-84200000,-96900000,-130100000,-149200000,-158700000,-170100000
94,Other Financing Activites,- -,- -,- -,- -,20000000,25100000,24200000,-100000,-42210000,-29478000,23132000,54535000,-142932000,24606000,226845000,-33379000,79436000,-156182000,27200000,5700000,-111800000,268900000,-61000000,2100000,7700000,9000000,211400000,20500000,10200000,39000000,75400000,79800000,83900000,-1400000,61100000,-159400000,115600000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,4400000,-7400000,9500000,-19000000,-52623000,-38137000,11052000,41267000,-328402000,-19462000,214049000,-44283000,68524000,-37226000,10400000,-9500000,-117900000,257100000,-107700000,-60300000,-109600000,-15700000,160200000,-253500000,-157600000,-119200000,-154100000,-139600000,-152100000,-523100000,-375800000,-374800000,-421000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,4400000,-7400000,9500000,-19000000,5877000,-3417000,-2791000,1598000,139491000,-108230000,-22905000,526000,-34954000,12088000,-14100000,6400000,-1100000,1800000,11400000,-7800000,41000000,42600000,344500000,-196500000,113800000,-61300000,4200000,6800000,16200000,-86900000,114300000,199100000,-129800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,11902000,8485000,5694000,6405000,145896000,37666000,14761000,15287000,20759000,32847000,18700000,25100000,24000000,25800000,37200000,29400000,76300000,118900000,463400000,266900000,380700000,319400000,323600000,330400000,346600000,259700000,374000000,573100000,443300000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2500000,4800000,3200000,8900000,6025000,11902000,8485000,4807000,6405000,145896000,37666000,14761000,55713000,20759000,32800000,18700000,25100000,24000000,25800000,37200000,35300000,76300000,118900000,463400000,266900000,380700000,319400000,323600000,330400000,346600000,259700000,374000000,573100000
100,Free Cash Flow,- -,- -,- -,- -,-2300000,6300000,-300000,20800000,60648000,43340000,24515000,156272000,-70770000,46812000,15204000,46248000,14510000,72695000,-19700000,18200000,136100000,73200000,119100000,40500000,210600000,71300000,5200000,73900000,181900000,177800000,271700000,365900000,232200000,363700000,391800000,505300000,566000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91142/000119312505032911/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312506038388/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312507033962/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312508034592/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312509037280/0001193125-09-037280-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312510042097/0001193125-10-042097-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312511045134/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312512081738/0001193125-12-081738-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312513080129/0001193125-13-080129-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312514060153/d644513d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312515050825/d838160d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312516467088/0001193125-16-467088-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312517047795/0001193125-17-047795-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312518048314/0001193125-18-048314-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312519042339/0001193125-19-042339-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312520046736/0001193125-20-046736-index.html,https://www.sec.gov/Archives/edgar/data/91142/000009114221000025/0000091142-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000009114222000028/0000091142-22-000028-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
