,https://roic.ai/company/ATNI,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-17400000,-600000,-1800000,-529000,-67000,-300000,-315000,-331000,-876000,-85000,-110000,-1164000,-134000,-44000,-218000,-344000,-1473000,-1665000,-1893000,-4114000,-12855000,-6198000,-162000,-6589000,- -
93,Dividends Paid,- -,- -,-3900000,-2500000,- -,- -,- -,- -,-700000,-2800000,-4993000,-3992000,-4164000,-6645000,-8371000,-9374000,-6632000,-8839000,-10029000,-19399000,-14439000,-16517000,-18491000,-12096000,-17488000,-19070000,-20965000,-19227000,-10866000,-10880000,-10891000,-10813000
94,Other Financing Activites,- -,-10100000,15100000,1700000,-9600000,-7300000,-5300000,-7900000,-3300000,-3400000,-7179000,3784000,-2395000,-1998000,8821000,42962000,-7533000,-2430000,20812000,74000,265652000,136761000,316861000,-24768000,-14751000,-14458000,133977000,514000,-28371000,-14166000,-42136000,376630000
95,Cash Used/Provided by Financing Activities,- -,71800000,11200000,-800000,-9600000,-7300000,-5300000,-25300000,-4600000,-8000000,-12701000,-275000,-6834000,-8788000,119000,32872000,32755000,-11170000,9923000,-19984000,200743000,-25551000,-37301000,-310474000,-33904000,-41438000,75334000,-40923000,-55230000,-29908000,-73367000,321731000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-682000,- -,- -,-626000,226000,-299000,-282000,-80000,- -
97,Net Change In Cash,- -,71800000,11200000,-800000,-9600000,-7300000,-5300000,-25300000,-4600000,-3600000,-6968000,-6959000,13115000,1669000,7580000,-13407000,34050000,10630000,8492000,10582000,-52917000,11405000,87912000,219960000,-30391000,65829000,-122324000,-61765000,-26983000,-30549000,-57361000,-24300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,31500000,24495000,17536000,30651000,32320000,39900000,26493000,60543000,71173000,79665000,90247000,37330000,48735000,136647000,356607000,326216000,392045000,269721000,207956000,192907000,162358000,104997000,80697000
99,Cash at the Beginning of Period,- -,5200000,23700000,6800000,7700000,17500000,18800000,8200000,15800000,35100000,31463000,24495000,17536000,30651000,32320000,39900000,26493000,60543000,71173000,79665000,90247000,37330000,48735000,136647000,356607000,326216000,392045000,269721000,219890000,192907000,162358000,104997000
100,Free Cash Flow,- -,-39600000,-28100000,1700000,9300000,8600000,-2000000,17600000,30700000,7200000,9515000,7043000,13685000,10361000,16292000,4683000,15783000,20246000,20929000,32882000,-32944000,31202000,110050000,-181318000,19680000,74485000,-23486000,-33478000,-70056000,15178000,10961000,-25594000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879585/000119312504054101/0001193125-04-054101-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000119312505066783/0001193125-05-066783-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000110465906021376/0001104659-06-021376-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746907002018/0001047469-07-002018-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746908002948/0001047469-08-002948-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746909002760/0001047469-09-002760-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746910002307/0001047469-10-002307-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746911002211/0001047469-11-002211-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746912002731/0001047469-12-002731-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746913002987/0001047469-13-002987-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746914002518/0001047469-14-002518-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746915002270/0001047469-15-002270-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837016003680/0001558370-16-003680-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837017001255/0001558370-17-001255-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837018001408/0001558370-18-001408-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837019001338/0001558370-19-001338-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837020001867/0001558370-20-001867-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837021002145/0001558370-21-002145-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837022003733/0001558370-22-003733-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
