,https://roic.ai/company/ANDR,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,3100000,3000000,3000000,3000000,2800000,2700000,2100000,1400000,2000000,4100000,5400000,8800000,11800000,14300000,14000000,15035051,5630915,2131828,-192871,1225724,992636,1562083,1837521,2196689,2718077,3039308,3080486,2262623,1676678,3255298,2116111,2403364,1182903,795998,556850,321491,14940
82,Other Non-Cash Items,- -,- -,-300000,-200000,-120000,-300000,-100000,100000,900000,900000,-900000,-1400000,-2400000,-8000000,-7700000,-5700000,1600000,-1785600,14689299,21211797,650092,-3598968,-51560,-1134627,186228,-521116,-53414,-345058,-83904,1165911,425595,2926728,-1372428,-1689408,624952,191560,308870,-314175,306384
83,Cash Provided by Operating Activities,- -,- -,- -,- -,230000,- -,- -,- -,-100000,-400000,500000,-1500000,-2300000,-5700000,-800000,-7000000,-2500000,-6680509,-4544799,92458,-4844374,-3274312,-397096,-58092,559438,274681,912661,616856,163675,-357741,-693135,1771153,731382,-2517696,-1549100,-993920,-333994,-448543,-456
84,CAPEX,- -,- -,- -,- -,-40000,- -,- -,- -,-200000,-100000,-100000,- -,-200000,-400000,-400000,-2700000,-800000,-369970,-203893,-198426,-53475,-13040,-13364,-44366,-46645,-79133,-235521,-119626,-151619,-89273,-52806,-97045,-47311,-13702,-46681,-71216,-16737,-25292,-30
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,100000,100000,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,450000,- -,- -,- -,-100000,100000,- -,- -,- -,- -,- -,2300000,- -,- -,- -,-151932,3336554,345518,9000,- -,- -,-43622,-39264,-19818,-26092,-38250,-43963,-92093,75403,392820,78589,-46907,-16737,-19303,-12
89,Cash Used for Investing Activites,- -,- -,- -,- -,410000,- -,- -,- -,-800000,200000,- -,100000,-200000,-500000,-300000,-300000,-800000,-369970,-203893,-350358,3283079,332478,-4364,-44366,-46645,-79133,-235521,-119626,-151619,-89273,-52806,-97045,356960,392820,57028,-71216,-16737,-25292,-41
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81327,-39673,- -,- -,- -,-6805068,-4112549,-5999000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,600000,300000,2300000,1100000,7600000,9131083,16483,- -,- -,2060230,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,3400000,-100000,9500000,-500000,-2081917,-695496,-158793,-21101,-16527,-6853,-12461,-5068,- -,121000,- -,- -,- -,- -,900000,7734750,3600000,5700000,387600,200000,500775,283
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-370000,- -,- -,- -,- -,- -,- -,4300000,2500000,3700000,2200000,10600000,7100000,7049166,-679013,-158793,-21101,2043703,-6853,-12461,-5068,- -,121000,-81327,-39673,- -,- -,900000,929682,-512549,-299000,387600,200000,500775,283
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,280000,- -,- -,- -,- -,- -,- -,4300000,100000,3700000,2200000,10600000,3800000,-1313,-5427705,-416693,-1582396,-898131,-408313,-114919,507725,195548,798140,415903,-27617,-447014,-745941,2574108,2018024,-2637425,-1791072,-677536,-150731,26940,-362582
98,Cash at the End of Period,- -,- -,- -,- -,380000,- -,- -,- -,- -,- -,- -,- -,3400000,- -,- -,- -,9200000,9151835,3724130,3307437,1725041,826910,418597,303678,811403,1006951,1805091,2220994,2193377,1746363,1000422,3574530,5592554,2955129,1164057,486521,335790,362730,148
99,Cash at the Beginning of Period,- -,- -,- -,- -,100000,- -,- -,- -,1200000,400000,100000,500000,3300000,3400000,900000,2100000,5400000,9153148,9151835,3724130,3307437,1725041,826910,418597,303678,811403,1006951,1805091,2220994,2193377,1746363,1000422,3574530,5592554,2955129,1164057,486521,335790,362730
100,Free Cash Flow,- -,- -,- -,- -,190000,- -,- -,- -,-300000,-500000,400000,-1500000,-2500000,-6100000,-1200000,-9700000,-3300000,-7050479,-4748692,-105968,-4897849,-3287352,-410460,-102458,512793,195548,677140,497230,12056,-447014,-745941,1674108,684071,-2531398,-1595781,-1065136,-350731,-473835,-485
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6494/0000905148-96-000241-index.html,https://www.sec.gov/Archives/edgar/data/6494/000090514897000476/0000905148-97-000476-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6494/000090514801000830/0000905148-01-000830-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/6494/000119312504053760/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000119312505077806/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000119312506070212/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000119312507067434/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000115752308002627/a5644174.htm,https://www.sec.gov/Archives/edgar/data/6494/000115752309002440/0001157523-09-002440-index.html,https://www.sec.gov/Archives/edgar/data/6494/000115752310001600/0001157523-10-001600-index.html,https://www.sec.gov/Archives/edgar/data/6494/000114544311000339/d28006_10k.htm,https://www.sec.gov/Archives/edgar/data/6494/000114544312000257/0001145443-12-000257-index.html,https://www.sec.gov/Archives/edgar/data/6494/000114544313000876/0001145443-13-000876-index.html,https://www.sec.gov/Archives/edgar/data/6494/000114544314000358/d31045-10k.htm,https://www.sec.gov/Archives/edgar/data/6494/000114544315000491/d285376.htm,https://www.sec.gov/Archives/edgar/data/6494/000120677416005177/0001206774-16-005177-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677417000958/0001206774-17-000958-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677418000959/0001206774-18-000959-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677419001153/0001206774-19-001153-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677420000985/0001206774-20-000985-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677421000940/0001206774-21-000940-index.htm,https://www.sec.gov/Archives/edgar/data/6494/000120677422000942/0001206774-22-000942-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
