,https://roic.ai/company/LUV,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1331000000,1868000000,1554000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1828804000,2075167000,2237142000,2318078000,2816325000,3218252000,4983088000,4532133000,4826000000,5813000000,7543000000,7011000000,9831000000,9355000000,8803000000,9226000000,11191000000,11604000000,12009000000,13425000000,13954000000,14845000000,14680000000,16390000000,16063000000,25712000000,25906000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144033000,145112000,221207000,335904000,505005000,507897000,766774000,776663000,789000000,790000000,802000000,808000000,808000000,808000000,808000000,808000000,808000000,808000000,808000000,808000000,808000000,808000000,808000000,808000000,808000000,888000000,888000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1120581000,1321550000,1632115000,2044975000,2385854000,2902007000,3228408000,3455448000,3883000000,4089000000,4557000000,4307000000,4788000000,4919000000,4983000000,5399000000,5395000000,5768000000,6431000000,7416000000,9409000000,11418000000,14621000000,15967000000,17945000000,14777000000,15774000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1005081000,-1188405000,-1375631000,-1601409000,-1840799000,-2148070000,-2456207000,53658000,122000000,417000000,892000000,582000000,1241000000,-984000000,-578000000,-262000000,-224000000,-119000000,-3000000,-738000000,-1051000000,-323000000,12000000,20000000,-61000000,-105000000,388000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1167785000,1370055000,1531327000,1618448000,1785728000,2189486000,2475078000,135848000,258000000,228000000,424000000,752000000,104000000,210000000,253000000,292000000,898000000,535000000,100000000,-711000000,-1808000000,-3462000000,-5011000000,-6942000000,-8860000000,-6684000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1427318000,1648312000,2009018000,2397918000,2835788000,3451320000,4014053000,4421617000,5052000000,5524000000,6675000000,6449000000,6941000000,4953000000,5466000000,6237000000,6877000000,6992000000,7336000000,6775000000,7358000000,8441000000,10430000000,9853000000,9832000000,8876000000,10414000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3256122000,3723479000,4246160000,4715996000,5652113000,6669572000,8997141000,8953750000,9878000000,11337000000,14218000000,13460000000,16772000000,14308000000,14269000000,15463000000,18068000000,18596000000,19345000000,20200000000,21312000000,23286000000,25110000000,26243000000,25895000000,34588000000,36320000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3256122000,3723479000,4246160000,4715996000,5652113000,6669572000,8997141000,8953750000,9878000000,11337000000,14218000000,13460000000,16772000000,14308000000,14269000000,15463000000,18068000000,18596000000,19345000000,20200000000,21312000000,23286000000,25110000000,26242000000,25895000000,34588000000,36320000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/92380/000095013499002046/0000950134-99-002046-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/92380/000095013405002093/0000950134-05-002093-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000095013406001553/0000950134-06-001553-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000095013407001724/0000950134-07-001724-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000095013408001572/0000950134-08-001572-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312509015591/0001193125-09-015591-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312510017191/0001193125-10-017191-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312511026045/0001193125-11-026045-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312512049647/0001193125-12-049647-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312513041608/0001193125-13-041608-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238014000010/0000092380-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238015000027/0000092380-15-000027-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238016000175/0000092380-16-000175-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238017000029/0000092380-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238018000031/0000092380-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238019000022/0000092380-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238020000024/0000092380-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238021000033/0000092380-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238022000007/0000092380-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,71600000,47100000,26900000,103500000,169600000,179331000,182626000,207337000,317772000,433431000,474378000,603093000,511147000,240969000,442000000,313000000,548000000,499000000,645000000,178000000,99000000,459000000,178000000,421000000,754000000,1136000000,2181000000,2244000000,3488000000,2465000000,2300000000,-3074000000,977000000
74,Depreciation and Amortization,- -,- -,- -,- -,-72300000,-79400000,-86200000,-101200000,-119300000,139045000,156771000,183470000,195568000,225212000,248660000,281276000,317831000,356304000,384000000,431000000,469000000,515000000,555000000,599000000,616000000,628000000,715000000,844000000,867000000,938000000,1015000000,1221000000,1218000000,1201000000,1219000000,1255000000,1272000000
75,Deferred Income Tax,- -,- -,- -,- -,17000000,-9100000,-3500000,21300000,53200000,49887000,48147000,67253000,81711000,108335000,142940000,153447000,207922000,169629000,183000000,184000000,257000000,277000000,328000000,56000000,72000000,133000000,123000000,251000000,50000000,501000000,-109000000,455000000,-1212000000,301000000,-55000000,-716000000,-21000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
