,https://roic.ai/company/TVTY,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,3200000,- -,-6700000,-5200000,-5300000,-8400000,-1020303,-496411,- -,- -,- -,- -,- -,- -,- -,- -,-13000,-3690000,-5456000,-5581000,-6889000,-6872000,-7717000,-1164000,-1121000,-787000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,3100000,-200000,-7300000,-8900000,-9200000,-11800000,-2324538,-3488135,-3699640,-10595887,-6873842,-14271456,-16169000,-85236000,-10241000,-27471000,-531636000,-86663000,-62426000,-48849000,-79702000,-60477000,-49893000,-51205000,-37363000,-38872000,-5910000,-7637000,-1087531000,541043000,-15972000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-458087000,-676407000,-417490000,-736355000,-529874000,-481515000,-597837000,-527115000,-449084000,-373536000,-574603000,-795100000,-502275000
91,Common Stock Issued,- -,- -,12500000,100000,700000,600000,100000,300000,424702,348617,1080722,83654,1503181,1998580,1649000,4258000,4599000,5328000,16221000,6711000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2200000,-100000,- -,-686007,-477187,-1273481,- -,- -,- -,- -,- -,- -,-5654000,-94340000,- -,-4494000,-23690000,- -,- -,- -,-1833000,- -,- -,- -,- -,- -,-751000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-18200000,-400000,-1100000,- -,1000000,600000,- -,- -,- -,-250000,- -,-275497,-383000,43737000,-51243000,13660000,306605000,56573000,404659000,655480000,444170000,756912000,509978000,481338000,577819000,528078000,374772000,245983000,1580394000,182509000,391622000
95,Cash Used/Provided by Financing Activities,- -,- -,-5700000,-300000,-400000,600000,-1100000,800000,424702,-337390,603535,-1439827,1503181,1723083,1266000,47995000,-46644000,18988000,317172000,-31056000,-53428000,-25421000,2990000,20557000,-19896000,-177000,-21851000,963000,-74312000,-127553000,1005791000,-612591000,-111404000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185000,91000,220000,117000,-914000,-1535000,-1641000,-261000,1784000,-56000,-12000,- -,- -
97,Net Change In Cash,- -,- -,-5700000,-300000,-400000,600000,-1100000,800000,-334882,1016750,257445,-6475739,5350495,11548278,12032000,16231000,18320000,91325000,-107137000,-12413000,-2801000,-1292000,-200000,895000,825000,-819000,105000,1369000,26838000,-26507000,553000,97899000,-40253000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,12226821,13243571,13501016,7025277,12375772,23924050,35956000,52187000,63467000,154792000,47655000,35242000,2356000,1064000,864000,1759000,2584000,1765000,1870000,1602000,28440000,1933000,2486000,100385000,60132000
99,Cash at the Beginning of Period,- -,- -,2200000,4500000,10300000,9400000,11800000,13700000,12561703,12226821,13243571,13501016,7025277,12375772,23924000,35956000,45147000,63467000,154792000,47655000,5157000,2356000,1064000,864000,1759000,2584000,1765000,233000,1602000,28440000,1933000,2486000,100385000
100,Free Cash Flow,- -,- -,4800000,6200000,6300000,6900000,8300000,7900000,260719,1850551,-346090,-5035912,6001835,10267191,10766000,28459000,59044000,72452000,77820000,22785000,63758000,28456000,27002000,-8214000,30182000,9107000,26230000,23428000,99366000,99686000,57592000,153922000,72373000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/704415/000095014498013339/0000950144-98-013339-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014499013668/0000950144-99-013668-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014400014499/0000950144-00-014499-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014401509626/0000950144-01-509626-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014402012121/0000950144-02-012121-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000095014403013235/0000950144-03-013235-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000095014404011042/0000950144-04-011042-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000116923205005375/0001169232-05-005375-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441506000108/0000704415-06-000108-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441507000078/0000704415-07-000078-index.htm,- -,https://www.sec.gov/Archives/edgar/data/704415/000070441510000044/0000704415-10-000044-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441511000009/0000704415-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441512000006/0000704415-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441513000006/0000704415-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441514000015/0000704415-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441515000012/0000704415-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441516000065/0000704415-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441517000012/0000704415-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441518000006/0000704415-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459019004399/0001564590-19-004399-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459020007464/0001564590-20-007464-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459021010307/0001564590-21-010307-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459022007093/0001564590-22-007093-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
