,https://roic.ai/company/KR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
73,Net Income,- -,- -,- -,-16300000,83300000,100700000,-5900000,-12200000,242200000,303000000,350000000,412000000,- -,25000000,628000000,877000000,1043000000,1205000000,315000000,-104000000,958000000,1115000000,1181000000,1249000000,70000000,1116000000,602000000,1497000000,1519000000,1728000000,2039000000,1975000000,1907000000,3110000000,1659000000,- -,1655000000
74,Depreciation and Amortization,- -,- -,- -,241200000,244700000,242000000,251800000,343100000,293100000,324500000,356800000,394100000,- -,447100000,961000000,1008000000,1076000000,1087000000,1209000000,1256000000,1265000000,1272000000,1356000000,1442000000,1525000000,1600000000,1638000000,1652000000,1703000000,1948000000,2089000000,2340000000,2436000000,2465000000,3289000000,- -,2824000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-21600000,-34300000,- -,- -,- -,- -,65400000,- -,-19900000,308000000,213000000,258000000,468000000,331000000,230000000,-63000000,-60000000,-86000000,341000000,222000000,37000000,31000000,176000000,72000000,73000000,317000000,201000000,-694000000,-45000000,-56000000,- -,-31000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,79000000,81000000,82000000,107000000,155000000,165000000,141000000,151000000,154000000,155000000,- -,203000000
77,Change in Working Capital,- -,- -,- -,25600000,- -,- -,- -,- -,-242900000,-215100000,98000000,57000000,- -,92000000,230000000,22000000,202000000,-69000000,75000000,38000000,-320000000,-577000000,-749000000,1152000000,159000000,-185000000,-1331000000,-1318000000,1223000000,-617000000,-587000000,559000000,-560000000,-391000000,118000000,- -,-796000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-136900000,-93400000,-120900000,-21300000,-12200000,-51800000,10400000,-140800000,-98300000,- -,71800000,-271000000,-114000000,-121000000,-62000000,-20000000,-236000000,-157000000,-173000000,-383000000,-148000000,-45000000,-88000000,-361000000,-78000000,-131000000,-147000000,-184000000,-382000000,-23000000,-354000000,-351000000,- -,80000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,315000000,82000000,58000000,3000000,135000000,440000000,16000000,158000000,213000000,342000000,- -,438000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-242900000,-458000000,-360000000,-303000000,- -,-427000000,-197000000,-175000000,27000000,-42000000,33000000,71000000,-249000000,-826000000,-1575000000,-423000000,-264000000,-449000000,-1780000000,-3098000000,-1875000000,-2492000000,-3079000000,-2520000000,-3080000000,-3471000000,-3353000000,- -,-4149000000
82,Other Non-Cash Items,- -,- -,- -,157200000,169800000,127300000,321200000,286400000,457900000,386100000,-327000000,-74900000,- -,598000000,-569000000,161000000,-232000000,492000000,285000000,910000000,352000000,601000000,879000000,-1288000000,863000000,719000000,1637000000,744000000,-1244000000,876000000,810000000,-944000000,173000000,-1129000000,-501000000,- -,2335000000
83,Cash Provided by Operating Activities,- -,- -,- -,407700000,497800000,448400000,532800000,617300000,750300000,798500000,477800000,853600000,- -,1142200000,1558000000,2281000000,2347000000,3183000000,2215000000,2330000000,2192000000,2351000000,2581000000,2896000000,2922000000,3366000000,2658000000,2833000000,3380000000,4163000000,4833000000,4272000000,3413000000,4164000000,4664000000,- -,6190000000
84,CAPEX,- -,- -,- -,-131300000,-234200000,-208100000,-241200000,-376100000,-534000000,-726100000,-733900000,-612200000,- -,-923500000,-1701000000,-1623000000,-2139000000,-1891000000,-2000000000,-1634000000,-1306000000,-1683000000,-2126000000,-2149000000,-2297000000,-1919000000,-1898000000,-2062000000,-2330000000,-2831000000,-3349000000,-3699000000,-2809000000,-2967000000,-3128000000,- -,-2614000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-230000000,-67000000,-103000000,-126000000,-87000000,-25000000,- -,- -,-90000000,-80000000,-36000000,-7000000,-51000000,-122000000,-2344000000,-252000000,-168000000,-401000000,-16000000,1928000000,327000000,- -,- -
86,Purchases of Investments,- -,- -,- -,-15000000,-13800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-392000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,30100000,19100000,- -,- -,50500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,313000000,27100000,1100000,-23100000,7800000,-63000000,60500000,-123000000,32800000,- -,163900000,111000000,167000000,277000000,110000000,61000000,51000000,27000000,96000000,-2000000,50000000,5500000,-1954000000,-1857000000,-2061000000,-97000000,23000000,-53000000,225000000,118000000,10000000,190000000,- -,3000000
89,Cash Used for Investing Activites,- -,- -,- -,166700000,-190800000,-187900000,-264300000,-368300000,-546500000,-665600000,-856900000,-579400000,- -,-759600000,-1820000000,-1523000000,-1965000000,-1907000000,-2026000000,-1608000000,-1279000000,-1587000000,-2218000000,-2179000000,-2327000000,-1961000000,-1908000000,-2183000000,-4771000000,-3060000000,-3570000000,-3875000000,-2707000000,-1186000000,-2611000000,- -,-2611000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-561000000,-553000000,-177000000,-1445000000,-1455000000,-375000000,-1530000000,-1355000000,-788000000,-1372000000,-2304000000,- -,-2614000000
91,Common Stock Issued,- -,- -,- -,17400000,22000000,23300000,53300000,250600000,55400000,38600000,48100000,41500000,- -,52600000,67000000,57000000,72000000,41000000,39000000,25000000,78000000,168000000,188000000,172000000,51000000,29000000,118000000,110000000,196000000,110000000,120000000,68000000,51000000,65000000,55000000,- -,172000000
92,Common Stock Repurchased,- -,- -,- -,-250600000,-300000,-800000,- -,- -,-300000,-200000,-300000,-85200000,- -,-121900000,-6000000,-581000000,-732000000,-785000000,-301000000,-319000000,-252000000,-633000000,-1421000000,-637000000,-218000000,-545000000,-1547000000,-1261000000,-609000000,-1283000000,-703000000,-1766000000,-1633000000,-2010000000,-465000000,- -,-1647000000
93,Dividends Paid,- -,- -,- -,-2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-140000000,-202000000,-227000000,-238000000,-250000000,-257000000,-267000000,-319000000,-338000000,-385000000,-429000000,-443000000,-437000000,-486000000,- -,-589000000
94,Other Financing Activites,- -,- -,- -,-434500000,-389600000,-333600000,-221700000,-482300000,-352900000,-198600000,331300000,-232000000,- -,-257400000,219000000,-354000000,278000000,-522000000,61000000,-443000000,-673000000,-180000000,1125000000,-77000000,532000000,315000000,476000000,2263000000,3741000000,650000000,1244000000,3130000000,2132000000,858000000,1117000000,- -,1233000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-670000000,-367900000,-311100000,-168400000,-231700000,-297800000,-160200000,379100000,-275700000,- -,-326700000,280000000,-878000000,-382000000,-1266000000,-201000000,-737000000,-847000000,-785000000,-310000000,-769000000,-434000000,-1004000000,-1387000000,-600000000,1554000000,-1236000000,-1254000000,-352000000,-681000000,-2896000000,-2083000000,- -,-3445000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-670000000,-367900000,-311100000,-168400000,-231700000,-297800000,-160200000,379100000,-275700000,- -,-326700000,18000000,-120000000,- -,10000000,-12000000,-15000000,66000000,-21000000,53000000,-52000000,161000000,401000000,-637000000,50000000,163000000,-133000000,9000000,45000000,25000000,82000000,-30000000,- -,134000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281000000,161000000,161000000,171000000,159000000,144000000,210000000,189000000,242000000,263000000,424000000,825000000,188000000,238000000,401000000,268000000,277000000,322000000,347000000,429000000,399000000,- -,- -
99,Cash at the Beginning of Period,- -,- -,- -,211000000,115500000,54500000,4000000,104000000,121300000,27200000,- -,67100000,- -,65500000,263000000,281000000,161000000,161000000,171000000,159000000,144000000,210000000,189000000,315000000,263000000,424000000,825000000,188000000,238000000,401000000,268000000,277000000,322000000,347000000,429000000,- -,399000000
100,Free Cash Flow,- -,- -,- -,276400000,263600000,240300000,291600000,241200000,216300000,72400000,-256100000,241400000,- -,218700000,-143000000,658000000,208000000,1292000000,215000000,696000000,886000000,668000000,455000000,747000000,625000000,1447000000,760000000,771000000,1050000000,1332000000,1484000000,573000000,604000000,1197000000,1536000000,- -,3576000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56873/000005687395000014/0000056873-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095013196001197/0000950131-96-001197-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095013197001919/0000950131-97-001919-index.html,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/56873/000095015200003212/0000950152-00-003212-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095015201501370/0000950152-01-501370-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095010902002476/0000950109-02-002476-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095016803001570/0000950168-03-001570-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000119312504062346/0001193125-04-062346-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000119312505077143/0001193125-05-077143-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000120677406000702/0001206774-06-000702-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000120677407000901/0001206774-07-000901-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465908021727/0001104659-08-021727-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465909021710/0001104659-09-021710-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465910017258/0001104659-10-017258-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465911017372/0001104659-11-017372-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465912021358/0001104659-12-021358-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465913026395/0001104659-13-026395-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465914024819/0001104659-14-024819-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465915024557/0001104659-15-024557-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465916108277/0001104659-16-108277-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837017002198/0001558370-17-002198-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837018002753/0001558370-18-002753-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837019002756/0001558370-19-002756-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837020003501/0001558370-20-003501-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/56873/000155837022004595/0001558370-22-004595-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
