,https://roic.ai/company/MATX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-1100000,-2000000,-1200000,-1000000,14500000,1100000,2640000,-16616000,24276000,4605000,-1326000,-1219000,857000,1330000,-1000000,1000000,-4000000,-1000000,-3000000,-6000000,-6000000,6000000,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,7300000,12600000,-6800000,-500000,-5000000,-3600000,-3900000,7100000,-700000,5300000,10400000,9305000,62205000,-24787000,7000000,26000000,39000000,-28000000,19000000,-37000000,20000000,9000000,14000000,-7900000,2200000,13500000,-9400000,500000,20400000,71200000,-13900000,44800000,39600000
81,Other Working Capital,- -,- -,- -,- -,34500000,51700000,26000000,45900000,72700000,71716000,84399000,101431000,114806000,67113000,59805000,55861000,24445000,82584000,64000000,53000000,49000000,28000000,99000000,46000000,10000000,-89000000,-3000000,40700000,148300000,296000000,-19700000,-5000000,-20300000,-52400000,-147100000,-205600000,24300000
82,Other Non-Cash Items,- -,- -,- -,- -,-84400000,48700000,172200000,190800000,166200000,-15191000,-124874000,-48686000,-14619000,77571000,-15972000,-72014000,3712000,-141214000,-2416000,14000000,4000000,-120000000,-208000000,65000000,-8000000,37000000,-146000000,-93200000,-99900000,-133600000,310000000,-87300000,24800000,92300000,64800000,34600000,-46500000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,97400000,135200000,171600000,157500000,192900000,186761000,71656000,133002000,181869000,135272000,121665000,104278000,150968000,55654000,136000000,173000000,278000000,106000000,124000000,275000000,115000000,150000000,86000000,64100000,195700000,165700000,245300000,157800000,224900000,305000000,248800000,429800000,984100000
84,CAPEX,- -,- -,- -,- -,-98900000,-196200000,-279500000,-203500000,-152500000,-85223000,-462050000,-198621000,-49196000,-131537000,-82172000,-84201000,-99183000,-44613000,-214000000,-151000000,-231000000,-281000000,-122000000,-109000000,-31000000,-95000000,-67000000,-38100000,-35200000,-27900000,-67800000,-179400000,-307200000,-401200000,-310300000,-192300000,-325300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14940000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000000,10000000,- -,- -,- -,-9300000,- -,-29000000,-112600000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1000000,- -,- -,- -,-1100000,-32000,-138002000,-11481000,-12478000,-17745000,-25169000,-12220000,-13771000,-58163000,-21000000,-41000000,-251000000,-106000000,-73000000,-67000000,-52000000,-106000000,-28000000,-4400000,-4400000,-31900000,-77900000,-123400000,-171400000,-340000000,-96200000,-132400000,-31200000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,999000,146684000,50000000,14377000,11458000,9468000,4217000,52113000,53000000,149000000,152000000,202000000,32000000,27000000,10000000,17000000,12000000,4400000,4400000,4400000,105400000,92200000,201700000,344600000,96200000,132400000,31200000
88,Other Investing Activites,- -,- -,- -,- -,218700000,20800000,-7200000,-2400000,35900000,-7168000,695840000,21797000,1428000,108459000,7388000,3877000,141909000,-33106000,8000000,22000000,25000000,61000000,18000000,27000000,32000000,-61000000,-55000000,-25100000,-30700000,-23000000,-62300000,-176900000,-307200000,-264900000,-306900000,-177000000,-323400000
89,Cash Used for Investing Activites,- -,- -,- -,- -,118800000,-175400000,-286700000,-205900000,-117700000,-92423000,126848000,-41621000,-10246000,-11506000,-88495000,-83076000,33172000,-83769000,-174000000,-21000000,-305000000,-124000000,-145000000,-149000000,-31000000,-150000000,-71000000,-25100000,-40000000,-50500000,-63800000,-320700000,-276900000,-260300000,-306900000,-177000000,-323400000
90,Debt Repayment,- -,- -,- -,- -,-180900000,-66000000,-64200000,-176800000,-112700000,-90314000,-189764000,-81888000,-109082000,-68985000,-30533000,-48000000,-137000000,-30500000,-233000000,-158000000,-34000000,-102000000,-88000000,-138000000,-288000000,-202000000,-220000000,-80400000,-57600000,-12500000,-610000000,-1152100000,-350800000,-964600000,-520100000,-1171800000,-435400000
91,Common Stock Issued,- -,- -,- -,- -,3200000,600000,200000,900000,300000,122000,468000,1291000,2132000,1575000,101000,2961000,4558000,16171000,20000000,26000000,11000000,5000000,8000000,2000000,- -,7000000,10000000,25200000,1700000,5800000,2200000,1200000,1900000,700000,300000,100000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-169300000,- -,- -,- -,- -,-17717000,-11580000,-1250000,-16585000,-20838000,-34824000,-48260000,-2270000,- -,- -,-2000000,- -,-72000000,-33000000,-59000000,-1000000,- -,- -,- -,- -,- -,-4900000,-38000000,-19300000,- -,- -,- -,-198300000
93,Dividends Paid,- -,- -,- -,- -,-36800000,-39700000,-40700000,-40700000,-40800000,-40563000,-40035000,-39860000,-39789000,-40323000,-38899000,-36785000,-36488000,-36889000,-37000000,-38000000,-39000000,-42000000,-48000000,-51000000,-52000000,-52000000,-53000000,-61200000,-26800000,-28700000,-30800000,-32200000,-33800000,-35400000,-37200000,-39200000,-45900000
94,Other Financing Activites,- -,- -,- -,- -,168400000,169100000,191200000,267200000,89600000,31000000,65000000,22000000,-10500000,70000000,-12500000,109000000,2900000,60600000,293000000,56000000,104000000,217000000,154000000,122000000,254000000,245000000,256000000,75800000,21600000,99100000,194100000,1372400000,459900000,959300000,619000000,949400000,286900000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-215400000,64000000,86500000,50600000,-63600000,-117472000,-175911000,-99707000,-173824000,-58571000,-116655000,-21084000,-168300000,9382000,43000000,-116000000,42000000,6000000,-7000000,-124000000,-87000000,-2000000,-7000000,-40600000,-61100000,63700000,-449400000,151300000,57900000,-40000000,62000000,-261500000,-392700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-215400000,64000000,86500000,50600000,-63600000,-23134000,22593000,-8326000,-2201000,65195000,-83485000,118000,15840000,-18733000,5000000,36000000,15000000,-12000000,-28000000,2000000,-3000000,-2000000,8000000,-1600000,94600000,178900000,-267900000,-11600000,5900000,4700000,3900000,-8700000,268000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,9557000,32150000,23824000,21623000,86818000,3333000,3451000,19291000,558000,6000000,42000000,57000000,45000000,17000000,19000000,16000000,14000000,22000000,19900000,114500000,293400000,25500000,13900000,19800000,24500000,28400000,19700000,287700000
99,Cash at the Beginning of Period,- -,- -,- -,- -,22800000,23600000,47500000,18900000,21100000,32691000,9557000,32150000,23824000,21623000,86818000,3333000,3451000,19291000,1000000,6000000,42000000,57000000,45000000,17000000,19000000,16000000,14000000,21500000,19900000,114500000,293400000,25500000,13900000,19800000,24500000,28400000,19700000
100,Free Cash Flow,- -,- -,- -,- -,-1500000,-61000000,-107900000,-46000000,40400000,101538000,-390394000,-65619000,132673000,3735000,39493000,20077000,51785000,11041000,-78000000,22000000,47000000,-175000000,2000000,166000000,84000000,55000000,19000000,26000000,160500000,137800000,177500000,-21600000,-82300000,-96200000,-61500000,237500000,658800000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3453/000000345396000007/0000003453-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345397000007/0000003453-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345398000009/0000003453-98-000009-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/3453/000000345301500015/0000003453-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345302000017/0000003453-02-000017-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3453/000000345308000010/form10k_htm.htm,https://www.sec.gov/Archives/edgar/data/3453/000000345309000012/0000003453-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345310000006/0000003453-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345311000006/form10k.htm,https://www.sec.gov/Archives/edgar/data/3453/000000345312000026/0000003453-12-000026-index.html,https://www.sec.gov/Archives/edgar/data/3453/000110465913016637/0001104659-13-016637-index.html,https://www.sec.gov/Archives/edgar/data/3453/000110465914014819/a13-26914_110k.htm,https://www.sec.gov/Archives/edgar/data/3453/000110465915014988/a14-26312_110k.htm,https://www.sec.gov/Archives/edgar/data/3453/000110465916100342/0001104659-16-100342-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837017000947/0001558370-17-000947-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837018001004/0001558370-18-001004-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837019001448/0001558370-19-001448-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837020001757/0001558370-20-001757-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837021001909/0001558370-21-001909-index.htm,https://www.sec.gov/Archives/edgar/data/3453/000155837022002040/0001558370-22-002040-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
