,https://roic.ai/company/DIN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-431179000,-189937000,-1794064000,-279072000,-276886000,-14768000,-1275911000,-14226000,-13978000,-16199000,-76907000,-1322389000,-15701000,-9750000
91,Common Stock Issued,- -,27600000,400000,900000,700000,2600000,900000,4700000,3800000,5000000,3133000,7129000,7561000,10262000,5610000,- -,5944000,231728000,1135000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6631000,-23000,- -,-18634000,-63890000,-77474000,-42695000,-76050000,-2040000,-605000,-1884000,-26250000,- -,-29698000,-32006000,-70014000,-55343000,-10003000,-33603000,-109698000,-29853000,-4191000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16102000,-20696000,-19550000,-18138000,-17293000,-33362000,-24091000,-26117000,- -,- -,-57445000,-42733000,-66164000,-67429000,-69790000,-51125000,-46859000,-23934000,- -
94,Other Financing Activites,2300000,-22900000,8500000,3100000,-2200000,- -,26600000,-3700000,-5100000,23800000,42281000,58677000,148384000,7848000,-9234000,-3597000,-22861000,1700006000,407017000,5821000,1609274000,40339000,62436000,8567000,1219551000,30475000,1841000,239000,73323000,1296015000,237838000,-216455000
95,Cash Used/Provided by Financing Activities,2300000,4700000,8900000,4000000,-1500000,2600000,27500000,1000000,-1300000,28800000,38783000,65783000,155945000,-16626000,-88210000,-100621000,-77750000,1838391000,-58429000,-208812000,-212791000,-264983000,-214450000,-93344000,-131099000,-119929000,-134909000,-95753000,-88312000,-182931000,168350000,-230396000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2300000,4700000,8900000,4000000,-1500000,2600000,27500000,1000000,-1300000,1900000,3032000,-956000,92487000,-70743000,16035000,-20920000,-3595000,7322000,87605000,-32129000,19995000,-41618000,3846000,41474000,-2007000,40781000,-4250000,-22345000,37233000,-27904000,283578000,-30700000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,7208000,6252000,98739000,27996000,44031000,23111000,19516000,26838000,114443000,82314000,102309000,60691000,64537000,106011000,104004000,144785000,140535000,163146000,200379000,172475000,456053000,425353000
99,Cash at the Beginning of Period,1300000,1600000,2700000,5700000,1200000,2000000,3900000,8700000,6000000,2300000,4176000,7208000,6252000,98739000,27996000,44031000,23111000,19516000,26838000,114443000,82314000,102309000,60691000,64537000,106011000,104004000,144785000,185491000,163146000,200379000,172475000,456053000
100,Free Cash Flow,-700000,-2900000,-5700000,-15000000,-7300000,-10700000,-25600000,-18100000,-17900000,-22100000,-31859000,-64094000,-63628000,-9235000,50350000,47988000,55433000,94452000,79074000,142476000,160605000,95354000,35927000,120778000,112587000,128867000,112473000,52363000,126067000,135756000,85576000,178986000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49754/000091205702009419/0000912057-02-009419-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746903010657/0001047469-03-010657-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746904007675/0001047469-04-007675-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000110465905014802/0001104659-05-014802-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000110465906016928/0001104659-06-016928-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000110465907015373/0001104659-07-015373-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746908001872/0001047469-08-001872-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746909001874/0001047469-09-001874-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746910001766/0001047469-10-001766-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746911001735/0001047469-11-001735-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975412000005/0000049754-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975413000003/0000049754-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975414000004/0000049754-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975415000004/0000049754-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975416000018/0000049754-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975417000003/0000049754-17-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/49754/000004975419000004/0000049754-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975420000007/0000049754-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975421000007/0000049754-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975422000008/0000049754-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
