,https://roic.ai/company/MAYS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-400000,- -,- -,- -,-400000,-400000,-100000,- -,- -,-280342,-127056,-548412,-72958,-284,-273,-274,-1476,-1701679,-304169,-1485439,-356179,-1007543,-555218,-57377,-384486,-848200,-854288,-354103,-333099,-721921,-596876
87,Sales/Maturities of Investments,- -,- -,- -,- -,3200000,- -,2200000,- -,700000,2300000,500000,200000,500000,600000,139134,276000,348794,420817,1877354,- -,2710554,- -,- -,224854,1203131,804259,551949,621809,1248412,344271,314008,282435,268857,219744,621161,960597
88,Other Investing Activites,- -,- -,- -,- -,100000,- -,-900000,3000000,-800000,- -,- -,100000,-800000,-600000,-7335,-16434,-52842,-177072,-244029,-162813,-46083,4395910,-39738,- -,- -,-77637,67243,51950,-285810,28791,252626,-136396,-328816,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-500000,-3600000,-500000,-4400000,-1800000,900000,-1600000,-2800000,-1400000,-1300000,-1926772,-3155665,-1998731,-2145203,-6351721,-6114398,-37663,3493140,-3816477,-1322905,-546066,-1344518,-1535967,-3209127,-2645449,-2466920,-2790071,-2811291,-3497647,-4410668,-6462000,-1890212
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2067639,-901395,- -,-3346267,-158662,-170262,-136321,-150763,-1156846,-162568,-168501,-603068,-1147300
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-200000,-100000,- -,- -,- -,- -,- -,-256500,-513750,- -,-227500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,2400000,-700000,-200000,2200000,1200000,-500000,1700000,1400000,-2100000,-900000,-915078,1184920,198441,-537680,2241018,4873713,-408406,-560876,-816602,-53944,691462,-290994,-17023,-123232,-91081,682259,121377,138232,307474,-461056,4634606,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,2400000,-700000,-200000,2000000,1100000,-500000,1700000,1400000,-2100000,-900000,-1171578,671170,198441,-765180,2241018,4873713,-408406,-560876,-816602,-2121583,-209933,-290994,-3363290,-281894,-261343,545938,-29386,-1018614,144906,-629557,4031538,-1147300
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,2400000,-700000,-200000,2000000,1100000,- -,- -,- -,- -,500000,39239,-525952,1947883,-1088569,-1259155,-80392,1812431,3630022,-4489960,-821671,897911,1104724,-1316151,-675485,1228042,2192944,1143122,152369,-126122,-1615899,-859923,-1969082
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1529082,1003130,2951013,1862444,603289,522897,2335328,5965350,1475390,653719,1551630,2656354,1340203,664718,1892760,4085704,5228826,5381195,5255073,5263724,4403801,2434719
99,Cash at the Beginning of Period,- -,- -,- -,- -,2100000,6000000,800000,600000,900000,600000,500000,400000,200000,1000000,1489843,1529082,1003130,2951013,1862444,603289,522897,2335328,5965350,1475390,653719,1551630,2656354,1340203,664718,1892760,4085704,5228826,5381195,6879623,5263724,4403801
100,Free Cash Flow,- -,- -,- -,- -,-1700000,-4100000,-1300000,-4800000,-1300000,-1600000,-1900000,-1700000,3200000,1300000,1359360,-1329632,2001902,-494176,-5133214,-4791019,-443360,-203536,-1931941,1379227,1390152,1025275,2435490,-512132,584160,1658430,1454074,1879232,143034,-872987,-4790701,-1185503
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/54187/000095011095000729/0000950110-95-000729-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011096001268/0000950110-96-001268-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011097001436/0000950110-97-001436-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011098001201/0000950110-98-001201-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011099001317/0000950110-99-001317-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011000001119/0000950110-00-001119-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011001500501/0000950110-01-500501-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/54187/000093041307007857/0000930413-07-007857-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041308005941/0000930413-08-005941-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041309005131/0000930413-09-005131-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041310005011/0000930413-10-005011-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041311006585/0000930413-11-006585-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677412004172/0001206774-12-004172-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677413003463/0001206774-13-003463-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677414002956/0001206774-14-002956-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677415003188/0001206774-15-003188-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677416007318/0001206774-16-007318-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677417002894/0001206774-17-002894-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677418002890/0001206774-18-002890-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677419003357/0001206774-19-003357-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677420002857/0001206774-20-002857-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677421002636/0001206774-21-002636-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
