,https://roic.ai/company/AGYS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53144000,-74484000,41889000,22773000,5994000,4333000,1073000,5528000,-7896000,554000,130000,-3512000,8585000,-7016000
81,Other Working Capital,- -,- -,- -,- -,- -,66600000,69300000,70800000,85200000,131438000,224840000,298535000,461449000,476347000,501533000,596413000,393794000,403671000,263183000,171206000,143219000,486756000,89860000,71619000,88377000,83005000,76286000,72121000,81711000,54407000,41401000,27183000,19343000,20707000,23985000,72249000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-800000,-10100000,-2300000,-29300000,-89017000,-130215000,-143436000,-285116000,-39130000,-61396000,-141076000,399246000,149502000,105114000,149261000,36878000,-547189000,210507000,195286000,58209000,53745000,-5666000,-14010000,-37355000,26866000,16097000,14990000,6935000,-3317000,18839000,-42781000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,14600000,2500000,16100000,9500000,-12655000,-4867000,-27645000,-71600000,35222000,31507000,17609000,209839000,128579000,-16481000,93521000,48799000,38561000,-157341000,-85984000,103850000,14783000,-21698000,-10705000,73000,-2186000,7218000,3433000,6874000,7241000,10575000,28407000
84,CAPEX,- -,- -,- -,- -,- -,-5900000,-7200000,-4200000,-7600000,-11326000,-21004000,-20179000,-44283000,-22137000,-36030000,-22153000,-7389000,-8404000,-1555000,-1951000,-3210000,-6250000,-8775000,-7056000,-13306000,-6991000,-4920000,-7292000,-16223000,-20463000,-20948000,-16046000,-15058000,-5507000,-3420000,-1389000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10068000,-49883000,- -,-123253000,- -,- -,-8672000,-4074000,- -,-66653000,- -,-27964000,474387000,-236210000,-2381000,- -,- -,55840000,- -,34034000,-2941000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6531000,- -,- -,- -,- -,- -,- -,- -,-6822000,- -,- -,- -,-1757000,-14860000,-165000,- -,-87000,-10240000,- -,- -,- -,- -,- -,-2000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3309000,- -,788000,1147000,4770000,9513000,4833000,161000,9237000,4347000,- -,10107000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1468000,- -,-7433000,-11196000,-18521000,-951000,228038000,12781000,105000,- -,350000,-439000,-5516000,12500000,15980000,347000,-7400000,-16378000,-18558000,-21013000,-13865000,-15085000,-5534000,-3447000,-1389000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-5900000,-7200000,-4200000,-7600000,-21394000,-70887000,-18711000,-174067000,-29570000,-47226000,-49346000,-12414000,219634000,-52118000,-1846000,-37208000,469634000,-240654000,-5440000,2270000,-5710000,60339000,-3053000,17569000,-21632000,-21013000,-13865000,-15085000,-5534000,-3447000,-1391000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14356000,59540000,-79761000,-15654000,-1001000,- -,-177000,-144000,-142000,-117000,-124000,-120000,-24000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,600000,100000,400000,200000,533000,944000,43079000,129074000,47000,1251000,2518000,575000,2151000,869000,4006000,5442000,10107000,1447000,- -,89000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-480000,- -,- -,- -,-149999000,- -,- -,- -,-14622000,-278000,-912000,-373000,-435000,-533000,-1171000,-647000,-1092000,-7512000
93,Dividends Paid,- -,- -,- -,- -,- -,-800000,-900000,-1000000,-1300000,-1688000,-2392000,-2705000,-3141000,-3164000,-3233000,-3298000,-3323000,-3350000,-3517000,-3330000,-3608000,-3675000,-3407000,-2718000,-1360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1117000
94,Other Financing Activites,- -,- -,- -,- -,- -,-9500000,5000000,-11400000,3300000,38944000,92040000,9640000,123601000,-4241000,23621000,40382000,-212932000,-49871000,-96913000,-374000,-107822000,-57713000,213000,- -,3508000,14997000,210000,-599000,126000,116000,- -,-197000,- -,- -,- -,33945000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-9700000,4200000,-12000000,2200000,37789000,90592000,50014000,249534000,-7358000,21639000,39602000,-215680000,-51070000,-100041000,302000,-105988000,-51281000,-137390000,56822000,-77524000,-657000,-15413000,-877000,-963000,-401000,-577000,-847000,-1295000,-767000,-1116000,25316000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96000,4000,18000,33000,-1395000,-565000,-306000,-105000,- -,- -,- -,367000,-97000,1314000,911000,695000,403000,5000,-21000,-44000,-280000,-87000,-74000,194000,-112000,-130000,195000
97,Net Change In Cash,- -,- -,- -,- -,- -,-9700000,4200000,-12000000,2200000,3644000,14842000,3676000,3883000,-3101000,5355000,7559000,-18360000,297143000,-168640000,91977000,-94030000,456817000,-534071000,-33691000,29291000,8819000,23233000,-14656000,16635000,-24499000,-14459000,-11353000,-9312000,828000,5882000,52527000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,9598000,24440000,28116000,31999000,28898000,34253000,41812000,23452000,318543000,149903000,241880000,147850000,604667000,70596000,36244000,65535000,74354000,97587000,82931000,99566000,75067000,60608000,49255000,39943000,40771000,46653000,99180000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,3500000,2500000,1900000,1900000,5954000,9598000,24440000,28116000,31999000,28898000,34253000,41812000,21400000,318543000,149903000,241880000,147850000,604667000,69935000,36244000,65535000,74354000,97587000,82931000,99566000,75067000,60608000,49255000,39943000,40771000,46653000
100,Free Cash Flow,- -,- -,- -,- -,- -,8700000,-4700000,11900000,1900000,-23981000,-25871000,-47824000,-115883000,13085000,-4523000,-4544000,202450000,120175000,-18036000,91570000,45589000,32311000,-166116000,-93040000,90544000,7792000,-26618000,-17997000,-16150000,-22649000,-13730000,-12613000,-8184000,1734000,7155000,27018000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78749/000095015294000662/0000950152-94-000662-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78749/000095015200005079/0000950152-00-005079-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095015201502944/0000950152-01-502944-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095015202004851/l93981ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015203006226/l00546ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015204004628/l07661ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015205005588/l14195ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015206005048/l20398ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015207005074/0000950152-07-005074-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095015208010319/l34793ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095012309012356/0000950123-09-012356-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095012310057335/0000950123-10-057335-index.html,https://www.sec.gov/Archives/edgar/data/78749/000119312511164802/0001193125-11-164802-index.html,https://www.sec.gov/Archives/edgar/data/78749/000119312512268267/d355444d10k.htm,https://www.sec.gov/Archives/edgar/data/78749/000007874913000023/0000078749-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874914000013/0000078749-14-000013-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874915000020/0000078749-15-000020-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874916000080/0000078749-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874917000021/0000078749-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874918000022/0000078749-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874919000021/0000078749-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/78749/000156459020026737/agys-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/78749/000156459021029319/0001564590-21-029319-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
